client_id,anciennete_mois,nb_achats_12m,ca_12m,panier_moyen,marge_12m,nb_visites_90j,nb_contacts_service,recence_jours,remise_moyenne,satisfaction_10,nb_categories,canal_principal,region,churn_90j
24,22,2,58.07,29.04,19.87,1,1,127,0.24,8.0,1,magasin,D,0
25,40,0,0.0,0.0,0.0,2,1,199,0.076,8.0,1,mixte,E,0
26,40,2,55.78,27.89,14.6,0,2,258,0.556,6.0,1,web,C,0
27,40,2,167.34,83.67,58.49,3,1,162,0.144,7.0,1,web,C,0
28,41,5,208.53,41.71,62.65,4,1,52,0.249,7.0,2,magasin,A,0
29,52,6,220.48,36.75,80.73,5,1,60,0.254,8.0,4,magasin,D,0
30,32,3,89.33,29.78,27.14,1,0,138,0.078,9.0,2,web,D,0
31,27,9,1026.22,114.02,403.78,13,3,27,0.169,4.0,1,magasin,B,0
32,11,2,71.53,35.76,27.63,2,1,63,0.249,7.0,2,web,B,0
33,38,1,26.18,26.18,7.85,0,1,312,0.053,6.0,1,mixte,A,1
34,9,0,0.0,0.0,0.0,0,0,472,0.202,6.0,1,web,D,0
35,46,12,865.48,72.12,328.03,5,2,4,0.294,10.0,5,web,C,0
36,31,17,470.07,27.65,77.91,8,2,15,0.399,6.0,3,magasin,C,0
37,22,4,136.89,34.22,39.24,0,0,426,0.107,9.0,3,web,C,0
38,33,0,0.0,0.0,0.0,1,0,200,0.6,7.0,1,web,D,0
39,5,3,38.28,12.76,11.07,1,0,10,0.07,8.0,4,magasin,E,0
40,63,7,307.02,43.86,107.12,4,1,12,0.585,9.0,1,magasin,C,0
41,45,7,343.79,49.11,123.02,2,0,171,0.017,8.0,3,mixte,B,0
42,59,6,258.97,43.16,84.05,5,1,7,0.045,7.0,3,web,D,0
43,3,0,0.0,0.0,0.0,0,3,80,0.258,8.0,1,mixte,C,0
44,28,1,38.6,38.6,15.08,4,1,207,0.193,8.0,3,magasin,D,0
45,21,4,208.42,52.1,78.57,0,2,301,0.064,6.0,1,web,C,0
46,75,3,79.92,26.64,22.49,0,1,421,0.175,9.0,3,web,B,0
47,23,11,782.59,71.14,332.28,3,2,19,0.038,9.0,1,web,B,0
48,31,3,63.92,21.31,15.15,2,0,98,0.468,7.0,1,web,D,0
49,84,7,138.77,19.82,42.94,4,0,84,0.458,7.0,3,mixte,E,0
50,22,2,83.63,41.82,28.01,2,3,68,0.185,6.0,4,mixte,D,0
51,38,4,165.36,41.34,46.98,5,1,52,0.015,6.0,1,web,A,0
52,26,6,193.65,32.28,71.21,1,1,94,0.124,7.0,1,magasin,B,0
53,37,0,0.0,0.0,0.0,0,1,608,0.049,6.0,2,magasin,A,0
54,16,1,39.31,39.31,14.47,1,1,250,0.422,8.0,2,web,C,0
55,46,0,0.0,0.0,0.0,0,1,60,0.313,6.0,5,magasin,A,0
56,17,4,281.39,70.35,108.57,1,1,183,0.152,6.0,1,web,B,0
57,26,0,0.0,0.0,0.0,0,3,733,0.406,7.0,2,mixte,C,1
58,68,13,973.16,74.86,418.88,5,0,74,0.003,9.0,4,magasin,C,0
59,53,2,40.39,20.2,13.93,0,0,91,0.475,10.0,1,mixte,B,0
60,21,10,317.08,31.71,85.25,3,0,129,0.184,7.0,4,web,D,0
61,1,0,0.0,0.0,0.0,1,1,164,0.208,5.0,2,mixte,C,0
62,30,2,66.34,33.17,26.12,4,1,96,0.105,9.0,2,mixte,D,0
63,39,4,256.87,64.22,98.47,1,4,263,0.308,6.0,2,web,B,1
64,30,9,725.83,80.65,283.94,2,0,178,0.401,8.0,2,magasin,E,0
65,43,8,475.28,59.41,172.65,2,3,99,0.102,10.0,2,magasin,A,0
66,24,3,126.96,42.32,40.03,2,1,136,0.061,7.0,1,web,E,0
67,71,2,114.22,57.11,38.57,7,2,106,0.016,6.0,2,mixte,C,0
68,39,2,28.51,14.26,6.32,1,2,31,0.386,7.0,1,web,A,0
69,26,5,125.92,25.18,30.44,2,0,154,0.27,7.0,4,web,C,0
70,14,1,16.13,16.13,4.88,2,1,81,0.253,8.0,3,mixte,B,0
71,11,1,51.28,51.28,19.32,0,1,183,0.288,8.0,1,magasin,D,0
72,21,3,155.4,51.8,72.62,2,0,46,0.134,7.0,1,web,E,0
73,29,2,67.39,33.7,21.61,1,1,9,0.379,7.0,1,web,A,0
74,40,4,161.04,40.26,56.58,7,1,77,0.152,6.0,1,magasin,D,0
75,66,6,296.41,49.4,101.37,0,1,59,0.244,8.0,2,mixte,B,0
76,26,5,162.69,32.54,44.58,3,0,69,0.381,7.0,2,web,C,0
77,61,3,53.98,17.99,17.36,1,0,69,0.117,6.0,1,magasin,B,0
78,29,5,397.67,79.53,153.72,2,0,27,0.015,9.0,2,web,B,0
79,21,8,253.63,31.7,61.7,1,1,228,0.179,5.0,2,web,B,0
80,17,3,63.4,21.13,18.02,0,2,223,0.136,6.0,1,web,C,0
81,33,11,646.36,58.76,208.03,2,0,92,0.043,6.0,1,magasin,E,0
82,24,6,129.41,21.57,38.41,0,1,8,0.448,9.0,1,mixte,B,0
83,16,1,31.89,31.89,9.99,0,1,370,0.196,7.0,2,web,D,0
84,25,2,75.72,37.86,25.24,4,0,107,0.102,8.0,1,magasin,B,0
85,24,0,0.0,0.0,0.0,0,2,497,0.118,7.0,1,web,E,0
86,37,6,450.04,75.01,150.98,1,0,135,0.093,7.0,1,mixte,D,0
87,15,2,88.9,44.45,38.94,1,1,362,0.02,9.0,1,web,E,0
88,26,5,55.84,11.17,14.78,2,0,122,0.238,5.0,2,mixte,A,0
89,52,0,0.0,0.0,0.0,0,1,272,0.03,6.0,2,web,B,0
90,8,1,42.46,42.46,13.65,3,2,217,0.13,8.0,5,magasin,A,0
91,40,4,71.31,17.83,19.99,0,1,588,0.32,8.0,2,web,C,0
92,24,2,166.12,83.06,82.88,2,1,5,0.165,5.0,2,web,A,0
93,15,2,68.51,34.26,24.26,1,0,102,0.096,7.0,1,mixte,D,0
94,89,1,38.58,38.58,14.87,3,0,261,0.057,6.0,3,mixte,E,0
95,15,1,30.28,30.28,10.15,0,2,24,0.126,8.0,2,magasin,D,0
96,35,0,0.0,0.0,0.0,1,0,105,0.051,7.0,1,magasin,B,0
97,37,0,0.0,0.0,0.0,0,1,724,0.067,8.0,2,magasin,A,0
98,8,3,188.16,62.72,86.99,0,1,149,0.023,10.0,1,magasin,D,0
99,69,7,264.86,37.84,98.24,0,0,289,0.187,9.0,5,web,B,1
100,59,1,27.87,27.87,10.89,1,2,61,0.369,9.0,1,web,C,0
101,46,2,83.53,41.76,29.38,0,0,388,0.096,6.0,1,mixte,B,0
102,61,12,1547.15,128.93,598.29,8,0,118,0.163,9.0,3,mixte,E,0
103,44,1,41.91,41.91,14.83,0,0,99,0.219,10.0,1,mixte,D,0
104,30,7,345.53,49.36,107.97,3,1,65,0.068,9.0,2,magasin,B,0
105,19,0,0.0,0.0,0.0,2,0,338,0.091,7.0,1,web,C,0
106,69,0,0.0,0.0,0.0,0,0,900,0.131,7.0,2,magasin,B,0
107,39,1,25.03,25.03,7.4,1,1,159,0.344,6.0,1,magasin,B,0
108,53,3,71.22,23.74,25.11,2,1,133,0.461,8.0,1,magasin,D,0
109,31,4,520.19,130.05,236.98,2,5,193,0.214,8.0,3,magasin,C,0
110,7,1,16.49,16.49,5.29,0,2,802,0.187,8.0,1,mixte,D,0
111,40,3,90.65,30.22,29.98,1,1,80,0.088,8.0,1,web,C,0
112,9,3,47.83,15.94,8.59,3,1,255,0.171,7.0,1,magasin,B,0
113,12,0,0.0,0.0,0.0,0,1,900,0.333,6.0,1,magasin,E,1
114,1,1,48.42,48.42,18.05,1,1,192,0.346,7.0,2,web,B,0
115,45,3,118.54,39.51,43.47,1,0,182,0.126,8.0,2,mixte,B,0
116,13,0,0.0,0.0,0.0,1,1,398,0.195,8.0,1,magasin,C,0
117,31,4,87.46,21.86,21.58,3,1,171,0.097,6.0,2,web,E,0
118,39,3,154.3,51.43,61.93,2,0,104,0.168,9.0,2,magasin,B,0
119,75,11,350.0,31.82,88.6,5,0,47,0.137,7.0,1,web,A,0
120,70,2,45.27,22.64,14.84,0,2,441,0.171,9.0,1,magasin,D,0
121,62,0,0.0,0.0,0.0,1,2,464,0.221,9.0,1,web,D,0
122,38,3,100.26,33.42,36.73,3,0,62,0.102,8.0,2,mixte,A,0
123,34,2,53.59,26.8,16.78,1,0,202,0.042,7.0,1,web,E,0
124,35,13,676.33,52.03,201.97,4,2,133,0.338,9.0,3,web,A,0
125,14,15,664.31,44.29,189.79,3,0,1,0.372,9.0,4,web,A,0
126,29,10,1375.68,137.57,675.12,3,1,68,0.006,10.0,1,web,C,0
127,64,11,731.66,66.51,240.35,1,2,275,0.341,10.0,5,magasin,B,0
128,42,0,0.0,0.0,0.0,1,0,193,0.114,9.0,3,magasin,A,0
129,1,3,186.89,62.3,65.8,0,0,370,0.284,8.0,1,magasin,B,0
130,46,2,32.73,16.36,9.18,3,1,31,0.169,7.0,1,web,D,0
131,28,5,229.04,45.81,74.87,0,0,85,0.321,8.0,1,magasin,A,0
132,46,0,0.0,0.0,0.0,0,2,900,0.159,7.0,1,web,B,0
133,32,4,328.36,82.09,116.62,2,2,44,0.12,6.0,6,web,B,0
134,48,2,38.56,19.28,9.97,3,0,113,0.127,6.0,2,mixte,D,0
135,16,0,0.0,0.0,0.0,0,1,530,0.205,7.0,1,web,B,0
136,1,1,24.61,24.61,8.67,1,0,97,0.179,8.0,3,magasin,E,0
137,12,2,28.43,14.22,6.32,1,0,31,0.297,8.0,1,web,D,0
138,49,4,340.4,85.1,154.19,5,1,22,0.243,9.0,3,mixte,B,0
139,29,14,1542.65,110.19,547.81,9,1,107,0.013,9.0,3,mixte,A,0
140,77,56,3858.76,68.91,1025.69,15,4,19,0.191,9.0,4,web,D,0
141,95,5,221.89,44.38,77.01,3,0,116,0.072,8.0,1,web,B,0
142,16,1,30.48,30.48,9.08,1,0,198,0.142,6.0,1,mixte,A,0
143,30,0,0.0,0.0,0.0,0,0,588,0.177,8.0,2,web,B,0
144,36,7,266.62,38.09,101.85,3,2,82,0.236,5.0,2,mixte,E,0
145,23,1,25.35,25.35,7.94,1,0,185,0.113,9.0,2,mixte,E,0
146,34,2,56.02,28.01,19.48,1,0,141,0.16,8.0,2,web,A,0
147,21,0,0.0,0.0,0.0,2,0,264,0.302,7.0,1,web,D,0
148,49,2,159.34,79.67,59.58,0,0,463,0.002,8.0,1,web,C,0
149,40,12,208.14,17.34,62.26,3,3,22,0.205,9.0,2,magasin,A,0
150,24,3,64.56,21.52,14.58,4,1,162,0.185,7.0,2,web,B,0
151,36,2,142.7,71.35,57.39,4,0,30,0.133,7.0,2,magasin,C,0
152,13,1,16.34,16.34,4.53,0,1,264,0.261,6.0,2,mixte,D,0
153,4,1,12.81,12.81,3.71,1,0,242,0.425,6.0,1,web,A,0
154,43,7,129.7,18.53,43.26,3,0,82,0.522,8.0,1,magasin,C,0
155,36,1,115.47,115.47,48.25,0,0,627,0.251,8.0,1,mixte,B,0
156,69,25,2350.63,94.03,788.4,6,2,31,0.225,10.0,1,web,A,0
157,76,3,230.14,76.71,90.19,1,2,470,0.094,7.0,3,magasin,D,0
158,27,12,395.2,32.93,111.59,5,3,8,0.263,10.0,1,web,D,0
159,42,1,22.68,22.68,6.15,1,0,181,0.118,9.0,1,web,D,0
160,19,1,50.28,50.28,20.83,0,3,592,0.077,4.0,1,web,E,1
161,27,0,0.0,0.0,0.0,1,1,186,0.034,8.0,1,magasin,C,0
162,7,3,72.32,24.11,24.03,2,1,100,0.203,9.0,1,magasin,D,0
163,60,17,1501.86,88.34,554.73,3,3,296,0.051,8.0,3,mixte,E,0
164,36,0,0.0,0.0,0.0,0,0,900,0.198,9.0,1,web,E,0
165,96,7,241.78,34.54,78.66,1,2,154,0.252,8.0,2,web,A,0
166,43,1,22.16,22.16,7.64,0,0,204,0.176,9.0,1,magasin,A,0
167,41,7,433.33,61.9,168.96,2,1,172,0.311,6.0,1,web,B,0
168,65,6,250.39,41.73,90.4,2,0,172,0.075,7.0,2,mixte,C,0
169,41,3,150.05,50.02,56.1,4,0,47,0.147,10.0,1,magasin,A,0
170,51,1,22.25,22.25,6.63,2,0,18,0.055,7.0,1,magasin,A,0
171,53,4,82.91,20.73,25.21,1,0,312,0.384,6.0,1,magasin,D,0
172,67,4,194.68,48.67,65.3,0,0,88,0.156,8.0,3,web,A,0
173,1,1,43.14,43.14,19.1,3,0,134,0.097,8.0,1,magasin,A,0
174,14,2,17.26,8.63,4.05,0,0,164,0.219,8.0,1,magasin,A,0
175,28,0,0.0,0.0,0.0,0,1,319,0.434,7.0,3,magasin,A,0
176,35,4,88.36,22.09,25.45,0,2,479,0.348,7.0,2,mixte,C,0
177,38,13,1103.82,84.91,352.55,6,1,28,0.285,7.0,2,web,E,0
178,77,2,125.94,62.97,51.32,3,1,60,0.113,8.0,3,web,B,0
179,10,3,81.63,27.21,21.49,1,0,54,0.243,9.0,1,magasin,A,0
180,16,5,159.07,31.81,49.61,3,1,4,0.086,6.0,1,mixte,D,0
181,24,8,590.8,73.85,246.43,10,1,26,0.219,7.0,2,web,E,0
182,27,7,247.06,35.29,77.19,4,0,40,0.132,7.0,2,magasin,D,0
183,39,0,0.0,0.0,0.0,2,1,2,0.113,7.0,1,mixte,C,0
184,38,8,344.12,43.02,93.29,7,2,56,0.185,8.0,2,web,B,0
185,44,6,181.48,30.25,40.32,1,1,126,0.315,8.0,1,magasin,A,0
186,33,12,453.83,37.82,129.52,8,0,143,0.105,6.0,1,magasin,A,0
187,41,2,156.64,78.32,62.88,1,3,272,0.013,6.0,3,magasin,E,0
188,14,0,0.0,0.0,0.0,0,1,316,0.211,6.0,2,magasin,E,0
189,9,0,0.0,0.0,0.0,1,0,294,0.46,7.0,1,magasin,D,0
190,45,14,1489.08,106.36,603.0,3,1,102,0.124,8.0,4,mixte,D,0
191,66,16,1272.61,79.54,486.67,9,3,7,0.109,10.0,3,web,A,0
192,52,1,16.07,16.07,3.79,0,0,299,0.322,7.0,4,mixte,E,0
193,20,0,0.0,0.0,0.0,0,1,544,0.103,5.0,1,web,D,0
194,47,15,815.08,54.34,324.55,5,0,27,0.209,9.0,3,web,D,0
195,63,0,0.0,0.0,0.0,0,1,642,0.0,9.0,1,web,A,0
196,96,0,0.0,0.0,0.0,1,0,333,0.096,8.0,1,mixte,D,0
197,39,7,117.96,16.85,22.68,3,1,1,0.266,9.0,3,web,D,0
198,40,2,42.36,21.18,9.89,1,2,327,0.141,8.0,1,mixte,E,0
199,61,3,99.08,33.03,36.65,0,4,416,0.381,5.0,2,mixte,A,1
200,23,2,35.88,17.94,11.72,0,0,100,0.189,6.0,1,web,A,0
201,50,2,152.87,76.44,64.22,0,1,299,0.194,7.0,2,magasin,D,0
202,32,8,293.14,36.64,91.37,6,1,228,0.203,6.0,3,magasin,D,0
203,12,2,123.67,61.84,48.41,2,2,32,0.311,5.0,1,magasin,B,0
204,28,13,1141.09,87.78,421.91,5,0,21,0.301,8.0,2,mixte,D,0
205,1,0,0.0,0.0,0.0,0,4,287,0.286,4.0,1,mixte,C,0
206,9,0,0.0,0.0,0.0,0,2,695,0.046,10.0,1,mixte,D,1
207,28,3,46.88,15.63,13.89,2,1,401,0.174,8.0,1,magasin,D,0
208,1,2,102.93,51.46,41.58,0,4,89,0.385,10.0,1,magasin,A,0
209,47,2,18.99,9.49,3.17,1,1,137,0.6,8.0,1,web,C,0
210,40,2,56.43,28.22,19.18,0,1,326,0.268,8.0,1,mixte,C,0
211,32,22,1182.28,53.74,429.38,4,1,35,0.221,9.0,2,mixte,E,0
212,22,0,0.0,0.0,0.0,0,2,900,0.015,7.0,2,web,E,0
213,49,4,162.16,40.54,53.78,1,0,173,0.221,10.0,1,mixte,C,0
214,21,0,0.0,0.0,0.0,2,0,72,0.272,10.0,1,web,A,0
215,11,2,64.09,32.04,24.38,1,1,182,0.158,7.0,3,mixte,D,0
216,79,6,357.54,59.59,128.82,2,0,83,0.004,8.0,2,magasin,E,0
217,30,4,290.43,72.61,123.46,2,0,156,0.201,9.0,2,web,D,0
218,49,13,414.59,31.89,139.92,10,1,9,0.122,8.0,2,mixte,E,0
219,44,1,20.38,20.38,6.25,1,1,248,0.12,9.0,1,magasin,D,0
220,27,2,71.94,35.97,28.13,0,0,496,0.302,8.0,1,web,C,0
221,47,3,128.82,42.94,50.79,7,0,146,0.207,8.0,2,magasin,D,0
222,35,1,84.29,84.29,35.77,3,0,250,0.265,9.0,1,web,B,0
223,26,3,157.68,52.56,57.06,0,1,381,0.5,9.0,2,web,B,0
224,29,0,0.0,0.0,0.0,0,0,6,0.314,7.0,1,web,C,0
225,21,1,45.07,45.07,11.81,0,2,494,0.246,9.0,3,web,A,0
226,26,2,52.18,26.09,17.45,1,1,301,0.168,9.0,2,web,B,0
227,77,51,5189.05,101.75,2208.32,14,2,5,0.151,8.0,6,web,D,0
228,29,20,1687.93,84.4,649.92,3,3,66,0.27,8.0,3,magasin,C,0
229,13,0,0.0,0.0,0.0,0,0,762,0.133,9.0,2,mixte,E,0
230,86,3,64.39,21.46,14.22,1,0,264,0.142,8.0,1,mixte,A,0
231,27,1,16.08,16.08,4.69,0,1,239,0.175,6.0,1,web,B,0
232,57,3,82.31,27.44,26.93,0,1,324,0.192,8.0,3,web,C,0
233,71,4,87.4,21.85,26.29,1,2,84,0.116,10.0,1,web,B,0
234,31,15,702.98,46.87,304.52,7,2,9,0.104,10.0,4,mixte,D,0
235,11,1,23.86,23.86,7.55,0,0,79,0.144,8.0,1,web,A,0
236,8,0,0.0,0.0,0.0,0,0,714,0.276,8.0,3,mixte,C,0
237,1,0,0.0,0.0,0.0,0,1,72,0.411,5.0,1,magasin,A,0
238,45,2,83.11,41.56,36.59,1,0,369,0.047,9.0,2,magasin,D,0
239,18,0,0.0,0.0,0.0,0,1,897,0.241,8.0,2,magasin,B,1
240,54,2,19.37,9.68,4.03,1,0,26,0.34,8.0,1,web,E,0
241,1,0,0.0,0.0,0.0,0,0,815,0.115,7.0,1,mixte,D,1
242,24,4,323.57,80.89,137.97,2,0,114,0.043,6.0,2,web,E,0
243,15,1,16.47,16.47,4.4,0,1,136,0.305,6.0,1,magasin,B,0
244,1,0,0.0,0.0,0.0,0,0,900,0.155,7.0,2,web,D,0
245,36,40,2362.16,59.05,945.55,7,3,43,0.345,8.0,2,magasin,E,0
246,23,2,34.6,17.3,9.43,0,1,20,0.6,7.0,1,mixte,E,0
247,67,0,0.0,0.0,0.0,1,0,128,0.075,5.0,3,web,B,0
248,33,13,666.6,51.28,226.45,6,2,284,0.332,7.0,1,mixte,E,0
249,42,57,9297.67,163.12,3932.32,13,0,3,0.297,6.0,4,web,D,0
250,15,0,0.0,0.0,0.0,0,1,900,0.373,3.0,1,mixte,C,0
251,29,2,45.93,22.96,15.03,0,1,357,0.166,6.0,1,web,A,0
252,69,0,0.0,0.0,0.0,1,3,792,0.27,7.0,1,web,B,1
253,28,15,757.17,50.48,268.04,5,1,58,0.113,10.0,1,web,B,0
254,19,0,0.0,0.0,0.0,0,0,84,0.147,10.0,1,magasin,D,0
255,36,2,59.26,29.63,20.31,1,1,122,0.267,8.0,1,web,B,0
256,69,7,320.83,45.83,122.3,0,2,277,0.123,7.0,6,magasin,C,0
257,49,2,63.0,31.5,19.22,2,0,471,0.203,10.0,2,web,E,0
258,22,0,0.0,0.0,0.0,0,1,30,0.119,7.0,1,web,E,0
259,20,2,27.7,13.85,5.88,0,1,839,0.218,7.0,2,web,D,1
260,13,0,0.0,0.0,0.0,2,0,1,0.152,9.0,1,web,E,0
261,44,1,8.27,8.27,1.79,1,1,94,0.117,7.0,1,web,D,0
262,40,1,30.61,30.61,12.09,1,0,53,0.441,5.0,1,mixte,B,0
263,57,6,358.49,59.75,139.88,4,3,212,0.067,6.0,2,magasin,A,0
264,17,0,0.0,0.0,0.0,1,0,368,0.262,8.0,1,web,D,0
265,23,10,799.14,79.91,293.49,3,0,148,0.169,8.0,2,magasin,C,0
266,19,8,478.39,59.8,182.87,1,0,171,0.0,8.0,3,web,E,0
267,48,9,367.73,40.86,127.08,3,1,162,0.333,8.0,2,web,B,0
268,71,6,286.24,47.71,106.23,3,0,52,0.086,8.0,1,web,A,0
269,15,3,76.42,25.47,24.5,2,1,127,0.254,8.0,1,magasin,C,0
270,51,6,145.98,24.33,47.52,1,2,194,0.391,7.0,1,magasin,E,0
271,1,0,0.0,0.0,0.0,0,2,900,0.314,5.0,1,web,A,0
272,21,5,545.23,109.05,281.36,2,1,13,0.109,10.0,2,mixte,E,0
273,12,6,92.51,15.42,23.98,1,0,76,0.224,10.0,1,magasin,E,0
274,78,29,1838.74,63.4,651.93,12,0,0,0.11,7.0,4,web,D,0
275,45,12,383.76,31.98,134.28,6,1,50,0.073,10.0,5,web,C,0
276,18,6,159.29,26.55,35.96,6,0,10,0.436,6.0,2,web,A,0
277,22,4,203.29,50.82,86.43,0,0,275,0.133,8.0,1,magasin,D,0
278,33,0,0.0,0.0,0.0,0,4,900,0.355,5.0,1,mixte,B,0
279,37,8,240.05,30.01,73.72,2,1,195,0.487,6.0,3,web,E,0
280,25,3,112.3,37.43,23.24,3,1,300,0.272,6.0,2,web,E,0
281,39,1,42.83,42.83,14.41,1,3,381,0.09,6.0,1,web,E,0
282,1,0,0.0,0.0,0.0,0,3,794,0.21,4.0,3,mixte,C,0
283,38,6,415.79,69.3,139.49,3,1,92,0.242,10.0,4,web,C,0
284,96,3,253.85,84.62,98.68,4,0,112,0.105,8.0,3,web,B,0
285,37,0,0.0,0.0,0.0,1,0,152,0.582,10.0,1,web,D,0
286,37,4,116.98,29.24,33.79,1,1,321,0.032,7.0,2,web,B,0
287,66,2,56.47,28.24,15.97,0,2,597,0.114,6.0,1,web,B,1
288,29,4,148.27,37.07,54.67,1,0,99,0.005,7.0,1,magasin,E,0
289,96,0,0.0,0.0,0.0,0,0,583,0.24,7.0,2,web,C,0
290,5,3,60.27,20.09,18.51,1,0,164,0.155,8.0,1,magasin,D,0
291,31,1,71.43,71.43,34.43,0,1,423,0.009,6.0,1,web,D,0
292,19,1,24.13,24.13,7.15,0,1,471,0.113,5.0,1,magasin,E,0
293,55,10,547.31,54.73,197.46,0,2,187,0.036,10.0,3,magasin,D,0
294,1,0,0.0,0.0,0.0,0,1,900,0.146,8.0,2,mixte,C,0
295,29,3,51.89,17.3,13.85,0,0,330,0.114,6.0,1,mixte,E,1
296,35,5,218.94,43.79,79.48,0,0,332,0.028,10.0,4,mixte,A,0
297,34,4,108.48,27.12,39.53,0,0,557,0.163,7.0,2,magasin,A,0
298,96,1,67.74,67.74,34.61,1,1,481,0.028,8.0,1,magasin,C,0
299,53,0,0.0,0.0,0.0,0,0,777,0.16,7.0,1,magasin,A,1
300,52,3,75.27,25.09,20.44,4,1,50,0.079,6.0,1,magasin,B,0
301,61,12,1522.87,126.91,662.71,8,1,11,0.001,8.0,4,magasin,E,0
302,34,0,0.0,0.0,0.0,3,1,195,0.128,3.0,4,magasin,A,0
303,26,4,121.25,30.31,44.89,5,0,95,0.394,10.0,4,mixte,D,0
304,70,1,26.53,26.53,9.96,1,0,81,0.048,9.0,3,magasin,B,0
305,22,4,151.12,37.78,57.2,2,1,85,0.075,9.0,1,web,D,0
306,21,3,56.27,18.76,22.13,1,1,287,0.236,8.0,1,web,D,0
307,24,2,28.27,14.14,6.83,1,3,357,0.234,7.0,2,web,A,1
308,64,8,430.37,53.8,134.19,3,1,56,0.14,7.0,4,magasin,B,0
309,37,5,248.68,49.74,89.28,4,0,239,0.558,7.0,3,web,E,0
310,67,18,689.44,38.3,214.87,5,3,56,0.113,7.0,5,mixte,C,0
311,29,7,699.42,99.92,350.71,6,0,8,0.05,8.0,1,web,C,0
312,58,2,75.18,37.59,23.38,5,4,69,0.165,9.0,1,web,C,0
313,44,20,2327.02,116.35,994.69,5,1,68,0.145,6.0,9,mixte,A,0
314,12,9,340.71,37.86,107.73,0,0,223,0.149,5.0,3,mixte,C,0
315,20,2,36.75,18.38,10.92,2,1,202,0.12,8.0,4,magasin,A,0
316,34,3,91.72,30.57,33.73,0,2,270,0.096,7.0,1,web,E,0
317,35,5,93.45,18.69,27.55,2,1,18,0.368,7.0,2,web,A,0
318,14,0,0.0,0.0,0.0,0,2,900,0.23,4.0,2,web,B,0
319,41,3,151.97,50.66,43.98,1,2,408,0.074,4.0,2,magasin,C,0
320,30,0,0.0,0.0,0.0,0,0,510,0.271,6.0,1,magasin,D,0
321,52,8,1310.16,163.77,614.53,5,2,22,0.0,8.0,2,web,A,0
322,47,5,139.86,27.97,39.57,2,0,73,0.412,8.0,1,web,E,0
323,49,17,3630.2,213.54,1893.82,4,2,57,0.0,8.0,3,magasin,C,0
324,35,8,332.37,41.55,105.25,5,0,33,0.067,9.0,4,magasin,E,0
325,45,24,1742.46,72.6,598.87,5,2,73,0.149,9.0,3,web,C,0
326,25,7,369.45,52.78,127.66,2,0,26,0.324,5.0,3,mixte,C,0
327,7,0,0.0,0.0,0.0,2,0,91,0.125,6.0,2,web,C,0
328,71,1,16.29,16.29,3.42,2,1,165,0.294,8.0,1,magasin,C,0
329,36,1,35.4,35.4,12.08,1,1,19,0.473,4.0,2,web,C,0
330,39,4,170.85,42.71,67.65,1,0,116,0.507,8.0,1,web,A,0
331,37,20,248.47,12.42,69.2,5,1,101,0.149,5.0,1,mixte,E,0
332,48,7,298.27,42.61,108.82,7,3,24,0.113,9.0,3,mixte,B,0
333,12,0,0.0,0.0,0.0,0,0,238,0.087,9.0,1,magasin,D,0
334,36,2,79.14,39.57,34.99,0,0,36,0.071,6.0,1,web,D,0
335,78,5,713.67,142.73,334.97,1,0,250,0.005,8.0,1,magasin,B,0
