id,date_ref,anciennete_mois,facture_moy,evol_facture,appels_service,conso_data_go,engagement,promos_recues,churn_90j
A0148351,2025-09-01,59,43.53,-0.116,1,8.9,1,1,0
A0058502,2025-09-01,4,5.23,0.07,0,11.4,1,0,0
A0144433,2025-09-01,61,40.13,0.022,0,6.4,1,1,0
A0130754,2025-09-01,42,20.91,0.006,2,26.4,0,0,0
A0043743,2025-09-01,19,24.08,-0.117,0,5.1,0,0,0
A0077567,2025-09-01,64,54.4,-0.0,1,17.3,1,0,0
A0165977,2025-09-01,26,24.78,0.18,1,12.7,1,2,0
A0168535,2025-09-01,81,46.76,0.002,0,18.4,0,2,0
A0131530,2025-09-01,39,12.36,-0.153,2,12.6,1,0,0
A0000945,2025-09-01,74,77.29,-0.165,0,18.6,0,2,0
A0136560,2025-09-01,93,30.31,-0.016,0,17.6,1,0,0
A0045023,2025-09-01,12,27.64,-0.093,0,11.5,0,3,0
A0164015,2025-09-01,95,25.55,-0.067,0,7.9,1,0,0
A0182726,2025-09-01,11,35.14,-0.065,0,37.6,0,2,0
A0085715,2025-09-01,10,37.21,0.181,3,11.1,0,2,0
A0191395,2025-09-01,15,14.19,0.039,1,28.2,0,3,0
A0151741,2025-09-01,82,44.01,-0.09,1,24.1,0,1,0
A0065120,2025-09-01,54,54.54,-0.122,1,20.6,0,2,0
A0175696,2025-09-01,38,23.9,-0.045,0,9.9,1,1,0
A0076917,2025-09-01,89,23.14,0.308,0,15.3,1,0,0
A0020464,2025-09-01,24,45.49,-0.041,1,16.7,0,3,0
A0118684,2025-09-01,64,22.78,-0.366,2,1.3,1,2,0
A0169953,2025-09-01,42,26.09,-0.053,1,4.8,0,0,0
A0131279,2025-09-01,28,57.79,0.061,1,5.6,1,1,0
A0078786,2025-09-01,6,34.2,-0.113,0,5.3,0,1,0
A0180437,2025-09-01,54,38.69,0.019,1,10.8,0,2,0
A0095937,2025-09-01,69,17.85,0.303,0,5.6,0,2,0
A0077139,2025-09-01,20,26.83,0.165,0,2.1,0,1,0
A0029267,2025-09-01,67,63.24,0.143,0,5.9,1,1,0
A0042517,2025-09-01,88,25.29,-0.19,1,15.4,1,2,0
A0139685,2025-09-01,24,32.76,-0.048,1,4.2,1,0,0
A0159832,2025-09-01,47,49.23,-0.02,0,11.3,1,2,0
A0058396,2025-09-01,3,46.6,-0.005,1,32.2,1,1,0
A0125742,2025-09-01,86,68.22,0.281,1,11.6,1,1,0
A0174227,2025-09-01,71,6.1,0.224,2,3.8,0,1,0
A0029674,2025-09-01,32,9.93,-0.032,2,5.2,1,1,0
A0055075,2025-09-01,93,79.95,0.08,1,20.4,0,1,0
A0104826,2025-09-01,39,15.38,-0.143,1,6.6,0,1,0
A0112362,2025-09-01,13,30.0,0.134,1,8.8,1,0,0
A0079648,2025-09-01,4,19.76,-0.272,0,3.2,1,2,0
A0079931,2025-09-01,94,34.76,0.151,0,4.9,1,1,0
A0025791,2025-09-01,56,27.26,-0.163,1,18.8,1,1,0
A0122582,2025-09-01,53,11.99,0.262,2,4.5,1,1,0
A0186314,2025-09-01,47,45.94,0.177,3,6.1,1,2,0
A0039328,2025-09-01,23,13.81,-0.044,1,21.2,0,1,0
A0159471,2025-09-01,59,15.22,-0.048,0,20.2,0,0,0
A0036058,2025-09-01,73,20.67,-0.17,1,18.5,0,1,0
A0008801,2025-09-01,59,43.31,-0.147,1,9.7,0,2,0
A0149372,2025-09-01,73,32.94,-0.15,0,9.7,0,2,0
A0036275,2025-09-01,3,44.79,-0.128,1,15.3,0,3,0
A0150444,2025-09-01,34,33.85,0.084,0,10.4,1,0,0
A0066171,2025-09-01,62,28.63,-0.082,0,8.4,0,0,0
A0113396,2025-09-01,55,27.6,0.113,1,4.7,1,2,0
A0188083,2025-09-01,75,32.66,-0.061,0,12.2,1,0,0
A0184216,2025-09-01,21,59.32,0.017,0,8.5,1,0,0
A0095292,2025-09-01,95,34.6,0.048,1,6.4,0,2,0
A0041155,2025-09-01,56,24.81,0.007,0,6.1,1,1,0
A0050153,2025-09-01,65,26.1,-0.17,0,7.3,1,0,0
A0170180,2025-09-01,19,25.39,0.138,1,5.9,0,2,0
A0117761,2025-09-01,64,14.52,-0.181,1,17.2,1,0,0
A0033798,2025-09-01,35,15.32,0.068,2,10.5,1,1,0
A0177205,2025-09-01,55,39.45,0.051,1,13.7,0,1,0
A0192871,2025-09-01,76,28.12,-0.051,2,4.3,1,1,0
A0193788,2025-09-01,54,41.71,-0.008,0,15.4,0,3,0
A0124738,2025-09-01,76,48.65,0.04,2,3.5,1,2,0
A0195122,2025-09-01,93,33.31,0.296,0,7.3,0,3,0
A0121377,2025-09-01,64,12.17,0.031,0,8.9,0,1,0
A0100166,2025-09-01,1,59.12,-0.101,0,15.9,1,1,0
A0194111,2025-09-01,87,25.76,0.157,0,5.6,1,1,0
A0120980,2025-09-01,30,30.98,0.19,0,3.5,0,0,0
A0157406,2025-09-01,74,5.91,0.018,0,12.5,0,3,0
A0067841,2025-09-01,16,22.29,0.156,2,10.2,1,0,0
A0157983,2025-09-01,58,51.47,0.221,0,11.2,1,2,0
A0194707,2025-09-01,53,26.04,-0.302,1,9.6,0,1,0
A0010819,2025-09-01,64,43.15,0.12,2,3.3,0,2,0
A0107236,2025-09-01,48,31.72,-0.067,0,24.2,1,2,0
A0073857,2025-09-01,13,35.33,-0.11,0,16.1,1,1,0
A0010412,2025-09-01,21,40.43,-0.065,2,21.7,1,0,0
A0016979,2025-09-01,5,21.6,-0.012,0,13.4,0,0,0
A0053672,2025-09-01,13,37.56,-0.146,0,8.5,0,3,0
A0038706,2025-09-01,24,22.91,-0.07,0,6.5,0,1,0
A0143342,2025-09-01,19,30.27,-0.186,1,8.8,0,0,1
A0042774,2025-09-01,73,20.58,0.027,0,4.9,1,0,0
A0125362,2025-09-01,24,19.47,0.042,2,11.5,0,1,0
A0171728,2025-09-01,94,33.71,-0.082,1,8.4,0,2,0
A0099053,2025-09-01,20,45.1,-0.024,0,5.9,1,3,0
A0025351,2025-09-01,21,20.57,0.223,1,9.3,0,1,0
A0013326,2025-09-01,95,12.15,-0.156,0,21.0,1,1,0
A0059352,2025-09-01,94,97.15,0.181,1,14.8,0,1,0
A0082482,2025-09-01,82,23.59,0.163,1,10.9,1,0,0
A0098569,2025-09-01,78,19.82,0.072,1,15.5,0,1,1
A0061155,2025-09-01,70,24.85,0.158,0,12.3,0,2,0
A0169892,2025-09-01,16,45.37,-0.244,0,16.2,0,1,0
A0113628,2025-09-01,5,13.81,0.245,4,10.1,0,1,0
A0193046,2025-09-01,52,29.62,-0.13,1,6.5,1,2,0
A0187024,2025-09-01,61,18.58,0.21,0,4.0,0,3,0
A0141629,2025-09-01,25,19.56,0.211,1,2.1,0,1,0
A0005476,2025-09-01,80,47.41,-0.057,0,8.1,1,1,0
A0042738,2025-09-01,71,49.29,0.13,2,15.2,1,1,0
A0149702,2025-09-01,48,39.58,0.114,0,8.9,1,0,0
A0108996,2025-09-01,34,68.32,0.066,2,9.2,1,1,0
A0188827,2025-09-01,6,45.23,0.033,0,16.2,0,4,0
A0141192,2025-09-01,38,15.86,0.091,1,7.9,1,0,0
A0163933,2025-09-01,34,19.74,-0.19,1,13.4,1,1,0
A0010377,2025-09-01,55,18.91,-0.232,2,19.3,1,0,0
A0059117,2025-09-01,74,45.35,0.203,1,12.4,0,1,0
A0135977,2025-09-01,29,46.15,-0.172,1,8.9,0,0,0
A0126643,2025-09-01,75,15.15,-0.152,0,6.5,0,2,0
A0073656,2025-09-01,76,34.46,0.085,3,16.1,1,0,0
A0031705,2025-09-01,52,37.73,-0.05,1,13.7,1,1,0
A0117940,2025-09-01,58,26.51,-0.041,0,21.7,0,2,0
A0017406,2025-09-01,74,43.52,-0.004,0,8.5,1,3,0
A0133906,2025-09-01,6,32.76,0.236,1,6.3,0,0,0
A0160232,2025-09-01,46,45.47,0.093,1,7.8,1,1,0
A0133825,2025-09-01,54,32.74,0.02,1,7.3,0,1,0
A0012739,2025-09-01,80,25.02,0.329,0,3.8,1,2,0
A0104610,2025-09-01,42,33.96,0.076,1,13.5,0,3,0
A0060914,2025-09-01,60,15.71,0.029,1,13.8,0,1,0
A0110947,2025-09-01,89,32.91,0.148,0,6.2,1,2,0
A0136378,2025-09-01,48,10.4,-0.038,1,30.7,1,2,0
A0039630,2025-09-01,91,23.04,-0.173,0,9.0,1,3,0
A0007220,2025-09-01,31,20.85,-0.111,0,10.2,1,0,0
A0099037,2025-09-01,6,51.88,-0.048,0,3.6,1,2,0
A0123994,2025-09-01,80,21.09,0.249,0,12.6,1,1,0
A0025082,2025-09-01,73,22.82,0.187,0,14.1,0,0,0
A0184499,2025-09-01,57,46.39,-0.313,0,23.7,1,2,0
A0096149,2025-09-01,59,23.15,-0.203,0,9.7,1,1,0
A0193659,2025-09-01,64,38.22,-0.007,2,9.1,1,0,0
A0107249,2025-09-01,48,23.63,0.021,0,23.1,1,1,0
A0145781,2025-09-01,9,46.11,0.006,0,15.1,1,1,0
A0154821,2025-09-01,11,18.33,-0.066,0,6.8,0,1,0
A0099328,2025-09-01,44,9.99,0.164,1,13.0,0,2,0
A0078733,2025-09-01,86,4.5,0.041,0,4.8,1,2,0
A0133415,2025-09-01,69,18.54,-0.149,0,17.8,0,0,0
A0003921,2025-09-01,62,42.83,0.002,0,5.8,1,1,0
A0123636,2025-09-01,77,24.81,0.113,0,11.1,1,0,0
A0105550,2025-09-01,60,18.85,0.135,0,12.0,1,2,0
A0029939,2025-09-01,36,63.49,-0.032,2,6.8,0,2,0
A0041047,2025-09-01,92,17.8,-0.135,1,11.1,0,0,1
A0006756,2025-09-01,66,35.65,0.299,0,10.2,0,2,0
A0148251,2025-09-01,12,28.74,-0.041,0,8.6,1,0,0
A0137132,2025-09-01,58,24.56,0.045,1,12.1,1,3,0
A0077740,2025-09-01,37,30.16,-0.085,2,7.0,1,0,0
A0191205,2025-09-01,21,59.89,0.368,1,10.7,0,2,0
A0076095,2025-09-01,4,50.17,0.243,0,3.7,0,1,0
A0061311,2025-09-01,4,29.72,-0.072,0,16.3,1,1,0
A0181891,2025-09-01,27,35.37,0.117,0,40.7,0,1,0
A0016445,2025-09-01,18,21.24,-0.037,0,6.2,0,1,0
A0078594,2025-09-01,95,14.64,0.108,0,16.3,1,1,0
A0004792,2025-09-01,49,22.79,0.064,1,7.9,1,2,0
A0069770,2025-09-01,37,13.6,0.075,0,4.4,0,2,0
A0145257,2025-09-01,27,41.77,0.261,0,13.5,1,1,0
A0069604,2025-09-01,79,18.37,-0.157,1,7.4,1,2,0
A0098476,2025-09-01,3,12.45,0.049,0,34.6,0,0,0
A0096153,2025-09-01,82,33.6,-0.154,0,10.1,1,0,0
A0012440,2025-09-01,43,22.41,0.102,0,4.5,0,0,0
A0018659,2025-09-01,52,52.03,-0.152,0,5.2,1,4,0
A0059923,2025-09-01,51,24.02,0.274,0,10.2,0,1,0
A0109349,2025-09-01,79,9.57,0.076,1,17.4,1,1,0
A0014275,2025-09-01,66,11.84,-0.298,0,11.1,1,1,0
A0184285,2025-09-01,21,25.0,0.006,1,1.7,1,0,0
A0171052,2025-09-01,1,45.66,-0.244,0,6.4,1,1,0
A0112584,2025-09-01,8,35.58,0.016,1,16.9,0,1,0
A0146236,2025-09-01,88,46.49,-0.037,0,8.1,1,1,0
A0148782,2025-09-01,20,59.07,-0.249,1,12.7,1,0,0
A0001668,2025-09-01,47,18.44,-0.053,2,6.3,0,1,0
A0189428,2025-09-01,10,38.67,0.006,1,20.4,0,0,0
A0009644,2025-09-01,65,19.1,0.124,1,9.7,0,0,0
A0168423,2025-09-01,10,29.43,-0.173,0,17.5,0,3,0
A0166429,2025-09-01,92,33.59,0.157,0,9.0,0,1,0
A0148801,2025-09-01,5,9.88,0.012,0,7.4,1,0,0
A0026743,2025-09-01,32,13.76,-0.122,0,28.2,1,1,0
A0162632,2025-09-01,7,27.66,0.034,1,5.7,1,3,0
A0192112,2025-09-01,49,17.38,-0.098,1,2.5,0,1,0
A0164027,2025-09-01,11,5.53,-0.027,0,12.1,1,0,0
A0138609,2025-09-01,31,47.34,0.133,2,12.3,1,2,0
A0050751,2025-09-01,53,21.66,0.159,0,9.6,1,0,0
A0110922,2025-09-01,39,53.23,0.112,1,15.9,1,2,0
A0096393,2025-09-01,29,27.2,-0.191,0,14.9,1,1,0
A0173941,2025-09-01,70,28.88,-0.078,0,13.6,0,2,0
A0068544,2025-09-01,95,37.39,0.032,0,23.2,1,0,0
A0081887,2025-09-01,16,36.87,-0.009,1,19.8,0,0,0
A0052347,2025-09-01,60,21.11,-0.006,2,8.5,1,1,0
A0097745,2025-09-01,67,34.47,-0.1,2,16.1,0,1,0
A0114310,2025-09-01,89,34.0,-0.229,2,14.2,1,4,0
A0092109,2025-09-01,12,37.3,-0.151,0,10.9,0,1,0
A0063577,2025-09-01,70,13.9,-0.398,0,7.1,1,0,0
A0109974,2025-09-01,56,40.9,-0.032,0,17.5,1,0,0
A0123731,2025-09-01,86,36.38,0.091,0,22.1,1,0,0
A0033399,2025-09-01,19,42.09,-0.163,0,7.4,0,4,0
A0116483,2025-09-01,90,40.63,0.138,0,20.2,0,1,0
A0141302,2025-09-01,34,33.76,0.019,1,4.4,0,2,0
A0020880,2025-09-01,37,26.59,-0.157,2,6.6,0,1,0
A0123878,2025-09-01,1,25.64,0.016,2,12.9,0,0,0
A0088484,2025-09-01,23,26.24,0.054,2,12.2,1,0,0
A0186249,2025-09-01,91,14.35,0.009,1,19.5,0,1,0
A0077971,2025-09-01,8,38.99,-0.077,1,17.6,1,0,0
A0063140,2025-09-01,90,33.98,0.009,1,8.0,1,1,0
A0141330,2025-09-01,92,68.29,-0.053,1,17.8,1,0,0
A0173816,2025-09-01,18,28.45,0.084,1,9.9,0,1,0
A0017627,2025-09-01,23,27.18,-0.124,0,7.9,0,1,0
A0021524,2025-09-01,21,32.66,-0.019,3,18.8,0,0,0
A0033792,2025-09-01,94,29.28,-0.094,2,9.7,1,1,0
A0068327,2025-09-01,51,36.68,0.073,1,17.4,1,3,0
A0102519,2025-09-01,70,16.87,0.19,0,18.8,0,0,0
A0113612,2025-09-01,64,15.12,-0.17,0,3.9,0,1,0
A0080919,2025-09-01,78,25.37,-0.086,0,29.4,0,1,0
A0176531,2025-09-01,77,18.29,-0.159,0,19.2,1,1,0
A0133069,2025-09-01,4,20.85,-0.018,0,12.7,1,1,0
A0033253,2025-09-01,64,37.46,0.098,2,11.7,1,3,0
A0066572,2025-09-01,87,20.62,0.227,1,9.7,0,0,0
A0039832,2025-09-01,44,27.7,-0.07,0,3.6,0,1,0
A0039444,2025-09-01,8,85.72,0.094,1,21.8,0,0,0
A0169399,2025-09-01,46,23.92,0.008,0,22.8,0,3,0
A0186369,2025-09-01,77,14.41,0.028,0,12.4,0,0,0
A0086304,2025-09-01,84,33.46,-0.13,0,13.1,1,1,0
A0048780,2025-09-01,4,36.2,-0.171,1,13.2,0,5,0
A0166926,2025-09-01,40,10.18,0.017,0,13.9,1,3,0
A0029413,2025-09-01,91,32.64,0.073,1,6.6,0,1,0
A0027661,2025-09-01,56,28.33,-0.078,0,8.8,1,3,0
A0055979,2025-09-01,6,21.61,0.094,2,9.5,0,1,1
A0073181,2025-09-01,7,26.43,-0.105,0,15.9,0,0,1
A0067945,2025-09-01,16,55.27,0.113,1,9.7,0,2,0
A0055707,2025-09-01,74,28.97,0.076,1,10.4,0,2,0
A0045023,2025-09-01,43,31.02,-0.018,0,5.3,0,2,0
A0125259,2025-09-01,62,18.62,-0.037,0,17.5,0,2,0
A0107263,2025-09-01,17,19.5,0.11,2,12.1,0,1,0
A0131656,2025-09-01,35,38.91,0.114,0,10.0,0,1,0
A0187386,2025-09-01,11,46.03,0.022,0,9.9,1,1,0
A0187376,2025-09-01,64,25.91,-0.097,0,9.1,0,1,0
A0025204,2025-09-01,35,24.67,0.199,1,2.7,1,1,0
A0158100,2025-09-01,20,20.48,0.137,0,21.3,1,0,0
A0083033,2025-09-01,6,36.79,-0.218,0,13.4,1,1,0
A0163990,2025-09-01,30,44.18,-0.08,1,16.9,1,3,0
A0133631,2025-09-01,56,46.61,0.075,0,16.3,0,2,0
A0011209,2025-09-01,55,26.35,0.077,0,8.3,0,1,0
A0176943,2025-09-01,71,51.84,-0.189,1,26.9,1,3,0
A0185337,2025-09-01,95,73.76,-0.037,1,11.8,0,2,0
A0199960,2025-09-01,48,25.54,-0.031,1,20.7,0,3,0
A0012124,2025-09-01,19,18.98,0.305,0,8.2,1,2,0
A0028728,2025-09-01,54,19.24,-0.053,0,15.8,1,2,0
A0126109,2025-09-01,57,16.75,0.017,2,1.9,1,1,0
A0107460,2025-09-01,24,7.76,-0.091,0,12.6,0,1,0
A0018780,2025-09-01,7,21.58,0.11,0,10.3,1,0,0
A0176240,2025-09-01,45,26.15,-0.046,1,6.3,1,1,0
A0046887,2025-09-01,52,38.92,0.054,0,7.0,1,0,0
A0010606,2025-09-01,60,18.22,-0.304,0,12.1,1,2,0
A0172251,2025-09-01,57,40.58,0.066,0,11.3,1,0,0
A0117659,2025-09-01,89,35.6,0.093,1,10.6,0,3,0
A0005191,2025-09-01,52,52.31,0.108,2,11.0,0,1,0
A0034783,2025-09-01,50,12.03,-0.254,0,9.4,0,0,0
A0175924,2025-09-01,51,36.27,-0.04,1,10.0,1,1,0
A0153566,2025-09-01,94,33.04,0.138,0,7.2,1,1,0
A0173345,2025-09-01,21,23.06,0.012,1,23.2,1,1,0
A0187526,2025-09-01,38,22.95,-0.017,0,4.1,0,1,0
A0060113,2025-09-01,71,28.39,-0.035,0,11.7,1,2,0
A0107658,2025-09-01,58,43.53,-0.043,2,9.2,0,0,0
A0074216,2025-09-01,9,20.18,-0.019,1,10.8,1,0,0
A0001794,2025-09-01,70,47.13,0.005,2,9.8,1,0,0
A0047165,2025-09-01,31,5.94,0.055,1,11.5,0,2,0
A0012851,2025-09-01,10,29.9,-0.104,0,13.0,0,2,0
A0023468,2025-09-01,43,24.13,-0.107,0,7.5,0,1,0
A0083140,2025-09-01,80,51.93,0.023,1,6.0,1,2,0
A0183229,2025-09-01,74,33.68,0.159,0,10.1,0,1,0
A0169460,2025-09-01,79,47.24,0.052,0,22.6,0,1,0
A0128727,2025-09-01,56,16.88,0.256,1,9.3,1,2,0
A0047354,2025-09-01,12,43.72,-0.313,2,16.8,0,1,0
A0025500,2025-09-01,37,53.6,-0.019,1,6.4,0,1,0
A0133827,2025-09-01,63,27.7,0.01,2,7.6,0,0,0
A0146924,2025-09-01,5,26.88,-0.146,1,15.8,1,0,0
A0081062,2025-09-01,40,21.31,-0.052,0,9.1,1,2,0
A0027270,2025-09-01,85,27.59,0.073,1,8.2,0,0,0
A0053031,2025-09-01,18,30.28,0.205,0,12.3,0,1,0
A0197475,2025-09-01,62,22.34,-0.135,0,11.3,1,0,0
A0140778,2025-09-01,21,32.19,0.216,1,19.6,1,0,0
A0113259,2025-09-01,13,88.46,0.094,1,7.9,1,1,0
A0061652,2025-09-01,14,42.0,0.185,2,7.8,0,1,0
A0172038,2025-09-01,29,20.03,0.094,0,18.3,0,2,0
A0074376,2025-09-01,89,55.53,-0.022,0,14.9,1,1,0
A0089785,2025-09-01,83,28.99,0.366,1,9.8,1,1,0
A0153062,2025-09-01,79,27.6,-0.109,0,6.7,0,2,0
A0083011,2025-09-01,87,27.45,0.091,1,13.5,0,0,0
A0099040,2025-09-01,71,29.63,-0.109,0,6.2,1,0,0
A0005873,2025-09-01,34,30.85,0.087,0,15.4,0,4,0
A0156783,2025-09-01,18,49.93,-0.058,1,18.1,1,1,0
A0056629,2025-09-01,77,51.73,0.142,2,7.4,1,0,0
A0103260,2025-09-01,70,55.77,0.35,0,5.9,0,0,0
A0109512,2025-09-01,75,17.07,0.132,1,0.7,0,2,0
A0031995,2025-09-01,26,15.18,0.145,1,8.1,0,0,0
A0047978,2025-09-01,94,24.5,-0.132,0,8.4,1,1,0
A0088740,2025-09-01,49,14.09,-0.145,0,21.3,1,1,0
A0020004,2025-09-01,3,26.41,-0.238,1,12.4,0,0,0
A0174553,2025-09-01,3,33.27,-0.109,0,4.1,0,3,0
A0069114,2025-09-01,58,57.08,-0.13,0,12.9,1,0,0
A0112984,2025-09-01,87,25.22,0.105,0,6.3,0,0,0
A0029538,2025-09-01,47,19.02,0.181,0,30.6,1,1,0
A0192963,2025-09-01,33,27.51,-0.086,0,7.1,1,0,0
A0094463,2025-09-01,10,24.23,-0.024,1,1.9,0,0,0
A0000230,2025-09-01,66,27.75,-0.186,0,22.9,1,0,0
A0069486,2025-09-01,76,15.89,-0.041,0,5.5,1,0,0
A0068073,2025-09-01,12,27.63,0.094,0,14.6,1,1,0
A0047219,2025-09-01,56,14.59,0.128,0,10.0,1,2,0
A0153810,2025-09-01,19,6.61,-0.105,0,3.9,0,3,0
A0196391,2025-09-01,95,29.83,0.162,0,3.6,0,1,0
A0137230,2025-09-01,73,35.58,0.082,0,7.8,1,0,0
A0037411,2025-09-01,16,34.3,0.05,1,11.4,1,1,0
A0112196,2025-09-01,67,12.39,0.14,0,15.9,0,0,0
A0092397,2025-09-01,16,40.31,-0.077,0,17.5,0,1,0
A0132748,2025-09-01,58,34.42,-0.141,1,3.0,1,1,0
A0167331,2025-09-01,20,23.68,0.098,1,7.1,0,0,0
A0175286,2025-09-01,38,28.08,0.227,0,5.9,0,3,0
A0160956,2025-09-01,76,37.17,0.235,0,15.4,1,3,0
A0136710,2025-09-01,61,38.7,-0.531,2,1.8,0,1,0
A0090881,2025-09-01,75,39.69,0.037,0,13.0,1,1,0
A0109446,2025-09-01,87,37.61,-0.073,0,7.1,1,0,0
A0035490,2025-09-01,8,33.0,-0.235,1,6.0,1,1,0
A0112494,2025-09-01,79,53.14,-0.004,1,26.1,1,1,0
A0102700,2025-09-01,74,37.75,-0.006,1,8.4,0,0,0
A0133275,2025-09-01,76,19.85,0.118,0,10.9,0,0,0
A0093180,2025-09-01,49,31.51,-0.308,0,8.1,0,1,0
A0064783,2025-09-01,43,37.73,-0.186,0,8.1,0,3,0
A0102156,2025-09-01,18,24.5,-0.068,1,12.4,1,4,0
A0133887,2025-09-01,43,65.44,0.247,2,25.4,0,0,0
A0038929,2025-09-01,67,12.83,0.271,0,19.4,1,1,0
A0123002,2025-09-01,86,32.89,0.153,0,8.0,0,0,0
A0070071,2025-09-01,12,47.79,0.177,0,11.7,1,0,0
A0157182,2025-09-01,27,42.61,-0.049,0,24.7,1,1,0
