compte_id,canal_acquisition,taille_entreprise,pays,date_inscription
C000057,direct,11-50,CA,2026-04-11 00:00:00
C000058,direct,1-10,BE,2026-04-03 00:00:00
C000059,sea,1-10,FR,2026-02-26 00:00:00
C000060,seo,200+,FR,2026-03-31 00:00:00
C000061,direct,11-50,FR,2026-02-21 00:00:00
C000062,referral,200+,CH,2026-07-10 00:00:00
C000063,direct,1-10,FR,2026-02-03 00:00:00
C000064,seo,200+,FR,2026-01-28 00:00:00
C000065,seo,11-50,FR,2026-06-15 00:00:00
C000066,referral,51-200,FR,2026-04-04 00:00:00
C000067,sea,51-200,BE,2026-04-08 00:00:00
C000068,sea,51-200,FR,2026-02-14 00:00:00
C000069,direct,200+,BE,2026-06-24 00:00:00
C000070,seo,11-50,FR,2026-06-21 00:00:00
C000071,referral,1-10,FR,2026-01-24 00:00:00
C000072,sea,11-50,FR,2026-07-18 00:00:00
C000073,sea,1-10,CH,2026-05-26 00:00:00
C000074,direct,51-200,FR,2026-04-20 00:00:00
C000075,seo,200+,CH,2026-03-21 00:00:00
C000076,sea,11-50,BE,2026-05-20 00:00:00
C000077,seo,1-10,CH,2026-03-21 00:00:00
C000078,seo,1-10,CH,2026-06-12 00:00:00
C000079,sea,51-200,CA,2026-01-28 00:00:00
C000080,referral,1-10,CA,2026-06-09 00:00:00
C000081,referral,200+,CA,2026-05-03 00:00:00
C000082,sea,51-200,FR,2026-01-18 00:00:00
C000083,seo,1-10,FR,2026-01-01 00:00:00
C000084,direct,51-200,CA,2026-04-17 00:00:00
C000085,direct,51-200,CA,2026-06-20 00:00:00
C000086,seo,51-200,FR,2026-03-30 00:00:00
C000087,seo,200+,FR,2026-01-13 00:00:00
C000088,sea,1-10,FR,2026-05-21 00:00:00
C000089,seo,11-50,FR,2026-04-29 00:00:00
C000090,direct,200+,CH,2026-05-17 00:00:00
C000091,referral,11-50,BE,2026-04-02 00:00:00
C000092,referral,11-50,CH,2026-02-17 00:00:00
C000093,sea,200+,CH,2026-06-20 00:00:00
C000094,referral,1-10,FR,2026-06-15 00:00:00
C000095,direct,1-10,FR,2026-06-27 00:00:00
C000096,seo,200+,FR,2026-05-11 00:00:00
C000097,direct,200+,BE,2026-01-04 00:00:00
C000098,seo,1-10,FR,2026-03-07 00:00:00
C000099,sea,200+,CH,2026-07-13 00:00:00
C000100,direct,51-200,FR,2026-06-08 00:00:00
C000101,direct,51-200,FR,2026-03-21 00:00:00
C000102,seo,11-50,FR,2026-06-25 00:00:00
C000103,direct,11-50,FR,2026-06-16 00:00:00
C000104,direct,1-10,FR,2026-04-24 00:00:00
C000105,sea,1-10,CA,2026-07-12 00:00:00
C000106,sea,1-10,FR,2026-05-11 00:00:00
C000107,direct,11-50,CH,2026-05-26 00:00:00
C000108,direct,1-10,FR,2026-06-08 00:00:00
C000109,referral,51-200,FR,2026-05-31 00:00:00
C000110,sea,11-50,CH,2026-05-14 00:00:00
C000111,seo,51-200,FR,2026-05-13 00:00:00
C000112,direct,200+,FR,2026-02-22 00:00:00
C000113,sea,200+,FR,2026-04-07 00:00:00
C000114,referral,1-10,CA,2026-05-26 00:00:00
C000115,referral,11-50,FR,2026-02-03 00:00:00
C000116,seo,51-200,FR,2026-04-20 00:00:00
C000117,sea,11-50,FR,2026-01-26 00:00:00
C000118,referral,11-50,CA,2026-06-13 00:00:00
C000119,seo,1-10,FR,2026-01-22 00:00:00
C000120,referral,200+,FR,2026-04-14 00:00:00
C000121,direct,1-10,FR,2026-06-28 00:00:00
C000122,referral,51-200,FR,2026-05-19 00:00:00
C000123,referral,200+,FR,2026-07-03 00:00:00
C000124,sea,11-50,FR,2026-03-14 00:00:00
C000125,direct,1-10,FR,2026-02-18 00:00:00
C000126,seo,1-10,FR,2026-06-05 00:00:00
C000127,sea,11-50,CA,2026-02-09 00:00:00
C000128,referral,11-50,FR,2026-07-07 00:00:00
C000129,referral,1-10,FR,2026-05-23 00:00:00
C000130,seo,1-10,FR,2026-05-21 00:00:00
C000131,seo,1-10,FR,2026-05-26 00:00:00
C000132,referral,200+,FR,2026-04-30 00:00:00
C000133,direct,11-50,FR,2026-05-07 00:00:00
C000134,referral,200+,FR,2026-02-04 00:00:00
C000135,direct,200+,FR,2026-03-07 00:00:00
C000136,sea,1-10,CA,2026-05-04 00:00:00
C000137,sea,11-50,FR,2026-04-29 00:00:00
C000138,direct,11-50,CH,2026-05-16 00:00:00
C000139,seo,1-10,FR,2026-02-09 00:00:00
C000140,seo,200+,FR,2026-03-21 00:00:00
C000141,seo,200+,CA,2026-02-28 00:00:00
C000142,sea,1-10,FR,2026-01-21 00:00:00
C000143,seo,11-50,CH,2026-02-04 00:00:00
C000144,direct,51-200,FR,2026-07-01 00:00:00
C000145,direct,51-200,FR,2026-02-02 00:00:00
C000146,sea,200+,FR,2026-05-08 00:00:00
C000147,seo,200+,FR,2026-02-25 00:00:00
C000148,referral,200+,CA,2026-05-25 00:00:00
C000149,seo,11-50,FR,2026-05-07 00:00:00
C000150,referral,200+,FR,2026-04-10 00:00:00
C000151,seo,1-10,BE,2026-02-02 00:00:00
C000152,direct,200+,FR,2026-01-09 00:00:00
C000153,referral,200+,FR,2026-04-16 00:00:00
C000154,direct,51-200,FR,2026-04-01 00:00:00
C000155,referral,200+,FR,2026-07-09 00:00:00
C000156,referral,51-200,FR,2026-06-15 00:00:00
C000157,sea,51-200,FR,2026-01-19 00:00:00
C000158,direct,51-200,FR,2026-06-30 00:00:00
C000159,seo,11-50,FR,2026-07-18 00:00:00
C000160,seo,11-50,CH,2026-02-13 00:00:00
C000161,sea,1-10,FR,2026-01-04 00:00:00
C000162,referral,1-10,CH,2026-07-11 00:00:00
C000163,sea,51-200,CA,2026-04-03 00:00:00
C000164,direct,1-10,BE,2026-04-04 00:00:00
C000165,direct,51-200,FR,2026-01-05 00:00:00
C000166,sea,51-200,FR,2026-02-22 00:00:00
C000167,sea,51-200,BE,2026-01-29 00:00:00
C000168,referral,1-10,FR,2026-04-29 00:00:00
C000169,referral,1-10,CA,2026-01-02 00:00:00
C000170,sea,51-200,FR,2026-03-02 00:00:00
C000171,referral,200+,FR,2026-06-26 00:00:00
C000172,direct,51-200,FR,2026-07-19 00:00:00
C000173,referral,1-10,FR,2026-01-14 00:00:00
C000174,sea,51-200,FR,2026-06-26 00:00:00
C000175,sea,200+,FR,2026-07-07 00:00:00
C000176,sea,200+,FR,2026-02-09 00:00:00
C000177,seo,11-50,FR,2026-03-18 00:00:00
C000178,seo,51-200,FR,2026-05-15 00:00:00
C000179,direct,1-10,CH,2026-02-24 00:00:00
C000180,sea,1-10,FR,2026-05-15 00:00:00
C000181,sea,11-50,FR,2026-02-28 00:00:00
C000182,referral,200+,CA,2026-05-09 00:00:00
C000183,referral,11-50,CH,2026-03-05 00:00:00
C000184,direct,11-50,CH,2026-05-12 00:00:00
C000185,referral,51-200,FR,2026-01-25 00:00:00
C000186,direct,1-10,FR,2026-03-13 00:00:00
C000187,referral,51-200,FR,2026-02-12 00:00:00
C000188,sea,1-10,CH,2026-02-25 00:00:00
C000189,sea,200+,FR,2026-01-05 00:00:00
C000190,direct,1-10,FR,2026-06-11 00:00:00
C000191,referral,200+,FR,2026-01-04 00:00:00
C000192,seo,51-200,BE,2026-05-25 00:00:00
C000193,direct,11-50,FR,2026-04-06 00:00:00
C000194,direct,11-50,CH,2026-01-11 00:00:00
C000195,seo,200+,FR,2026-06-18 00:00:00
C000196,seo,51-200,FR,2026-04-19 00:00:00
C000197,referral,51-200,FR,2026-01-10 00:00:00
C000198,sea,200+,FR,2026-06-16 00:00:00
C000199,sea,1-10,CA,2026-06-27 00:00:00
C000200,seo,200+,BE,2026-03-03 00:00:00
C000201,seo,1-10,FR,2026-02-18 00:00:00
C000202,direct,200+,BE,2026-06-02 00:00:00
C000203,direct,200+,CA,2026-03-10 00:00:00
C000204,direct,1-10,CH,2026-06-23 00:00:00
C000205,referral,11-50,FR,2026-05-14 00:00:00
C000206,seo,1-10,CA,2026-04-29 00:00:00
C000207,sea,11-50,FR,2026-04-24 00:00:00
C000208,referral,1-10,FR,2026-02-18 00:00:00
C000209,direct,200+,FR,2026-03-19 00:00:00
C000210,sea,1-10,BE,2026-06-15 00:00:00
C000211,referral,1-10,BE,2026-05-23 00:00:00
C000212,sea,51-200,CA,2026-06-28 00:00:00
C000213,referral,1-10,FR,2026-02-07 00:00:00
C000214,referral,11-50,FR,2026-01-26 00:00:00
C000215,referral,1-10,BE,2026-04-17 00:00:00
C000216,seo,11-50,FR,2026-07-01 00:00:00
C000217,direct,11-50,CA,2026-06-22 00:00:00
C000218,direct,1-10,CA,2026-02-25 00:00:00
C000219,direct,11-50,FR,2026-01-14 00:00:00
C000220,sea,11-50,FR,2026-06-12 00:00:00
C000221,sea,11-50,FR,2026-06-14 00:00:00
C000222,sea,51-200,FR,2026-01-02 00:00:00
C000223,sea,11-50,FR,2026-02-02 00:00:00
C000224,seo,11-50,FR,2026-05-13 00:00:00
C000225,referral,51-200,FR,2026-05-05 00:00:00
C000226,seo,11-50,FR,2026-02-13 00:00:00
C000227,direct,200+,FR,2026-03-12 00:00:00
C000228,seo,200+,FR,2026-05-09 00:00:00
C000229,referral,1-10,FR,2026-04-19 00:00:00
C000230,sea,11-50,FR,2026-06-03 00:00:00
C000231,seo,51-200,FR,2026-04-26 00:00:00
C000232,direct,1-10,FR,2026-06-19 00:00:00
C000233,sea,51-200,FR,2026-05-11 00:00:00
C000234,direct,11-50,FR,2026-05-19 00:00:00
C000235,seo,11-50,FR,2026-04-21 00:00:00
C000236,sea,11-50,FR,2026-07-19 00:00:00
C000237,sea,51-200,CA,2026-03-25 00:00:00
C000238,sea,1-10,FR,2026-05-14 00:00:00
C000239,seo,200+,FR,2026-03-27 00:00:00
C000240,referral,11-50,CH,2026-06-07 00:00:00
C000241,sea,11-50,FR,2026-05-24 00:00:00
C000242,direct,51-200,FR,2026-06-06 00:00:00
C000243,seo,200+,CA,2026-03-31 00:00:00
C000244,sea,1-10,FR,2026-05-05 00:00:00
C000245,seo,51-200,FR,2026-04-14 00:00:00
C000246,direct,11-50,BE,2026-02-09 00:00:00
C000247,referral,11-50,FR,2026-07-19 00:00:00
C000248,sea,200+,FR,2026-03-05 00:00:00
C000249,direct,51-200,FR,2026-05-02 00:00:00
C000250,referral,200+,FR,2026-03-13 00:00:00
C000251,direct,51-200,FR,2026-04-03 00:00:00
C000252,referral,1-10,FR,2026-06-09 00:00:00
C000253,referral,1-10,FR,2026-07-18 00:00:00
C000254,referral,200+,FR,2026-04-02 00:00:00
C000255,seo,11-50,BE,2026-03-17 00:00:00
C000256,referral,1-10,FR,2026-07-07 00:00:00
C000257,direct,1-10,CA,2026-03-08 00:00:00
C000258,referral,1-10,FR,2026-01-24 00:00:00
C000259,sea,51-200,FR,2026-07-06 00:00:00
C000260,seo,51-200,CA,2026-03-13 00:00:00
C000261,referral,51-200,FR,2026-07-08 00:00:00
C000262,seo,51-200,FR,2026-06-11 00:00:00
C000263,direct,1-10,FR,2026-04-15 00:00:00
C000264,seo,1-10,FR,2026-07-02 00:00:00
C000265,sea,1-10,FR,2026-03-12 00:00:00
C000266,seo,51-200,BE,2026-03-09 00:00:00
C000267,referral,200+,FR,2026-03-28 00:00:00
C000268,seo,1-10,BE,2026-06-28 00:00:00
C000269,sea,1-10,FR,2026-05-31 00:00:00
C000270,seo,200+,FR,2026-01-30 00:00:00
C000271,direct,200+,BE,2026-07-09 00:00:00
C000272,seo,200+,CH,2026-05-17 00:00:00
C000273,seo,200+,FR,2026-05-31 00:00:00
C000274,referral,1-10,FR,2026-05-13 00:00:00
C000275,seo,11-50,CH,2026-07-12 00:00:00
C000276,direct,200+,FR,2026-03-05 00:00:00
C000277,direct,51-200,FR,2026-06-21 00:00:00
C000278,sea,51-200,FR,2026-03-28 00:00:00
C000279,sea,11-50,FR,2026-07-02 00:00:00
C000280,sea,11-50,FR,2026-06-16 00:00:00
C000281,referral,1-10,BE,2026-05-27 00:00:00
C000282,sea,11-50,FR,2026-03-08 00:00:00
C000283,sea,11-50,BE,2026-01-21 00:00:00
C000284,referral,1-10,BE,2026-02-28 00:00:00
C000285,seo,200+,BE,2026-05-28 00:00:00
C000286,direct,51-200,BE,2026-05-10 00:00:00
C000287,sea,200+,BE,2026-04-15 00:00:00
C000288,direct,51-200,FR,2026-05-31 00:00:00
C000289,sea,1-10,FR,2026-05-20 00:00:00
C000290,sea,1-10,FR,2026-01-09 00:00:00
C000291,direct,200+,FR,2026-03-22 00:00:00
C000292,referral,11-50,FR,2026-06-24 00:00:00
C000293,seo,11-50,FR,2026-07-02 00:00:00
C000294,sea,1-10,FR,2026-05-11 00:00:00
C000295,seo,51-200,FR,2026-06-19 00:00:00
C000296,direct,51-200,FR,2026-03-09 00:00:00
C000297,sea,1-10,FR,2026-05-21 00:00:00
C000298,seo,51-200,FR,2026-05-22 00:00:00
C000299,referral,1-10,CH,2026-02-22 00:00:00
C000300,direct,11-50,CH,2026-05-18 00:00:00
C000301,seo,11-50,FR,2026-03-23 00:00:00
C000302,referral,51-200,FR,2026-05-08 00:00:00
C000303,sea,51-200,BE,2026-04-25 00:00:00
C000304,referral,200+,FR,2026-05-08 00:00:00
C000305,direct,11-50,FR,2026-04-21 00:00:00
C000306,referral,11-50,FR,2026-06-11 00:00:00
C000307,referral,200+,FR,2026-02-02 00:00:00
C000308,sea,51-200,FR,2026-01-31 00:00:00
C000309,referral,11-50,FR,2026-05-23 00:00:00
C000310,sea,11-50,BE,2026-01-04 00:00:00
C000311,referral,200+,BE,2026-03-18 00:00:00
C000312,seo,200+,FR,2026-02-05 00:00:00
C000313,seo,11-50,FR,2026-03-22 00:00:00
C000314,seo,200+,FR,2026-03-01 00:00:00
C000315,direct,51-200,FR,2026-07-12 00:00:00
C000316,referral,11-50,FR,2026-01-06 00:00:00
C000317,sea,1-10,CH,2026-04-14 00:00:00
C000318,sea,200+,FR,2026-06-04 00:00:00
C000319,seo,51-200,FR,2026-06-25 00:00:00
C000320,direct,11-50,BE,2026-05-14 00:00:00
C000321,direct,1-10,FR,2026-02-03 00:00:00
C000322,seo,1-10,FR,2026-05-23 00:00:00
C000323,referral,1-10,FR,2026-03-27 00:00:00
C000324,referral,200+,FR,2026-01-17 00:00:00
C000325,sea,11-50,FR,2026-05-14 00:00:00
C000326,sea,1-10,FR,2026-05-14 00:00:00
C000327,direct,51-200,CH,2026-06-23 00:00:00
C000328,referral,200+,FR,2026-03-21 00:00:00
C000329,sea,200+,FR,2026-06-30 00:00:00
C000330,referral,200+,BE,2026-06-07 00:00:00
C000331,referral,200+,FR,2026-05-25 00:00:00
C000332,referral,1-10,FR,2026-07-16 00:00:00
C000333,direct,200+,FR,2026-03-02 00:00:00
C000334,referral,11-50,FR,2026-04-22 00:00:00
C000335,referral,1-10,BE,2026-03-12 00:00:00
C000336,sea,51-200,FR,2026-02-22 00:00:00
C000337,referral,1-10,FR,2026-03-13 00:00:00
C000338,referral,51-200,FR,2026-04-15 00:00:00
C000339,direct,11-50,FR,2026-01-03 00:00:00
C000340,seo,1-10,FR,2026-01-31 00:00:00
C000341,sea,200+,FR,2026-03-05 00:00:00
C000342,referral,200+,FR,2026-02-03 00:00:00
C000343,sea,51-200,FR,2026-02-17 00:00:00
C000344,referral,11-50,FR,2026-06-26 00:00:00
C000345,direct,200+,BE,2026-03-10 00:00:00
C000346,seo,1-10,FR,2026-06-01 00:00:00
C000347,seo,11-50,FR,2026-03-02 00:00:00
C000348,direct,11-50,CA,2026-01-31 00:00:00
C000349,referral,51-200,CH,2026-01-15 00:00:00
C000350,referral,51-200,FR,2026-01-27 00:00:00
C000351,direct,200+,FR,2026-04-01 00:00:00
C000352,direct,51-200,FR,2026-01-14 00:00:00
C000353,seo,200+,FR,2026-03-27 00:00:00
C000354,sea,200+,FR,2026-05-14 00:00:00
C000355,direct,51-200,FR,2026-04-20 00:00:00
C000356,sea,11-50,FR,2026-04-14 00:00:00
C000357,sea,1-10,CH,2026-06-08 00:00:00
C000358,sea,11-50,CA,2026-07-01 00:00:00
C000359,seo,11-50,FR,2026-03-21 00:00:00
C000360,seo,200+,CA,2026-06-13 00:00:00
C000361,direct,51-200,CH,2026-03-28 00:00:00
C000362,seo,11-50,CA,2026-04-27 00:00:00
C000363,seo,11-50,CH,2026-05-07 00:00:00
C000364,seo,11-50,FR,2026-05-09 00:00:00
C000365,sea,11-50,FR,2026-04-24 00:00:00
C000366,direct,51-200,CH,2026-01-12 00:00:00
C000367,sea,1-10,CA,2026-03-10 00:00:00
C000368,seo,200+,FR,2026-04-06 00:00:00
C000369,sea,11-50,FR,2026-07-15 00:00:00
C000370,referral,51-200,FR,2026-04-06 00:00:00
C000371,sea,1-10,FR,2026-01-06 00:00:00
C000372,seo,11-50,FR,2026-05-29 00:00:00
C000373,seo,1-10,CA,2026-03-15 00:00:00
C000374,seo,200+,FR,2026-07-10 00:00:00
C000375,sea,200+,FR,2026-04-02 00:00:00
C000376,seo,51-200,BE,2026-03-24 00:00:00
C000377,referral,200+,FR,2026-03-25 00:00:00
C000378,referral,1-10,FR,2026-03-15 00:00:00
C000379,sea,200+,FR,2026-01-31 00:00:00
C000380,referral,1-10,FR,2026-03-29 00:00:00
C000381,seo,1-10,BE,2026-03-30 00:00:00
C000382,referral,11-50,FR,2026-05-03 00:00:00
C000383,seo,1-10,FR,2026-03-27 00:00:00
C000384,sea,11-50,FR,2026-03-20 00:00:00
C000385,seo,1-10,FR,2026-01-04 00:00:00
C000386,sea,11-50,FR,2026-03-31 00:00:00
C000387,sea,200+,FR,2026-06-09 00:00:00
C000388,sea,51-200,FR,2026-05-23 00:00:00
C000389,seo,11-50,FR,2026-02-06 00:00:00
C000390,direct,11-50,FR,2026-04-13 00:00:00
C000391,sea,51-200,FR,2026-02-10 00:00:00
C000392,seo,51-200,FR,2026-07-19 00:00:00
C000393,seo,1-10,FR,2026-05-20 00:00:00
C000394,referral,51-200,BE,2026-03-18 00:00:00
C000395,sea,1-10,BE,2026-02-14 00:00:00
C000396,sea,51-200,FR,2026-06-18 00:00:00
C000397,sea,200+,FR,2026-04-15 00:00:00
C000398,seo,1-10,BE,2026-06-10 00:00:00
C000399,seo,1-10,BE,2026-01-10 00:00:00
C000400,sea,11-50,FR,2026-01-05 00:00:00
C000401,direct,51-200,FR,2026-02-04 00:00:00
C000402,seo,11-50,FR,2026-01-07 00:00:00
C000403,referral,11-50,FR,2026-01-13 00:00:00
C000404,direct,1-10,FR,2026-04-09 00:00:00
C000405,sea,1-10,FR,2026-03-06 00:00:00
C000406,sea,200+,FR,2026-01-08 00:00:00
C000407,referral,1-10,FR,2026-07-03 00:00:00
C000408,seo,200+,CA,2026-06-30 00:00:00
C000409,referral,200+,BE,2026-01-18 00:00:00
C000410,seo,11-50,FR,2026-01-03 00:00:00
C000411,referral,51-200,BE,2026-05-29 00:00:00
C000412,seo,11-50,FR,2026-07-15 00:00:00
C000413,seo,1-10,CA,2026-03-13 00:00:00
C000414,seo,1-10,CA,2026-01-04 00:00:00
C000415,referral,11-50,FR,2026-04-15 00:00:00
C000416,sea,51-200,FR,2026-06-05 00:00:00
C000417,sea,11-50,FR,2026-01-04 00:00:00
C000418,referral,200+,CA,2026-01-22 00:00:00
C000419,seo,51-200,FR,2026-01-15 00:00:00
C000420,direct,200+,FR,2026-01-01 00:00:00
C000421,sea,51-200,CA,2026-06-07 00:00:00
C000422,direct,51-200,FR,2026-02-16 00:00:00
C000423,direct,51-200,FR,2026-07-01 00:00:00
C000424,seo,1-10,CH,2026-07-15 00:00:00
C000425,sea,51-200,FR,2026-05-19 00:00:00
C000426,referral,51-200,FR,2026-05-28 00:00:00
C000427,direct,51-200,FR,2026-06-13 00:00:00
C000428,direct,11-50,FR,2026-05-05 00:00:00
C000429,sea,11-50,CH,2026-04-19 00:00:00
C000430,seo,11-50,FR,2026-02-28 00:00:00
C000431,direct,1-10,BE,2026-05-29 00:00:00
C000432,direct,200+,CH,2026-01-02 00:00:00
C000433,referral,1-10,FR,2026-05-02 00:00:00
C000434,sea,51-200,BE,2026-06-14 00:00:00
C000435,seo,11-50,FR,2026-03-30 00:00:00
C000436,direct,1-10,FR,2026-05-01 00:00:00
C000437,seo,11-50,FR,2026-04-07 00:00:00
C000438,sea,1-10,BE,2026-03-31 00:00:00
C000439,direct,200+,FR,2026-01-26 00:00:00
C000440,referral,51-200,FR,2026-02-12 00:00:00
C000441,sea,51-200,FR,2026-03-12 00:00:00
C000442,referral,1-10,FR,2026-02-27 00:00:00
C000443,referral,1-10,FR,2026-02-15 00:00:00
C000444,seo,51-200,FR,2026-02-13 00:00:00
C000445,sea,1-10,CH,2026-01-28 00:00:00
C000446,direct,11-50,FR,2026-05-25 00:00:00
C000447,referral,51-200,BE,2026-06-02 00:00:00
C000448,direct,51-200,FR,2026-03-09 00:00:00
C000449,referral,11-50,FR,2026-04-16 00:00:00
C000450,sea,11-50,FR,2026-04-21 00:00:00
C000451,sea,1-10,FR,2026-01-19 00:00:00
C000452,sea,1-10,FR,2026-01-27 00:00:00
C000453,seo,200+,FR,2026-04-13 00:00:00
C000454,direct,11-50,FR,2026-04-02 00:00:00
C000455,seo,51-200,FR,2026-03-23 00:00:00
C000456,sea,11-50,FR,2026-06-19 00:00:00
C000457,seo,11-50,FR,2026-02-05 00:00:00
C000458,direct,1-10,FR,2026-06-27 00:00:00
C000459,referral,1-10,FR,2026-02-11 00:00:00
C000460,sea,200+,BE,2026-05-18 00:00:00
C000461,direct,200+,FR,2026-01-14 00:00:00
C000462,sea,51-200,FR,2026-07-13 00:00:00
C000463,sea,1-10,FR,2026-01-22 00:00:00
C000464,sea,200+,CH,2026-01-28 00:00:00
C000465,direct,51-200,BE,2026-04-28 00:00:00
C000466,seo,200+,FR,2026-06-30 00:00:00
C000467,referral,200+,CA,2026-04-16 00:00:00
C000468,sea,51-200,BE,2026-05-18 00:00:00
C000469,direct,51-200,BE,2026-07-07 00:00:00
C000470,seo,1-10,FR,2026-05-07 00:00:00
C000471,sea,51-200,FR,2026-07-04 00:00:00
C000472,seo,51-200,FR,2026-03-20 00:00:00
C000473,sea,11-50,FR,2026-01-17 00:00:00
C000474,referral,51-200,FR,2026-05-20 00:00:00
C000475,direct,1-10,BE,2026-06-12 00:00:00
C000476,sea,1-10,FR,2026-03-28 00:00:00
C000477,seo,200+,FR,2026-02-16 00:00:00
C000478,seo,51-200,FR,2026-05-08 00:00:00
C000479,direct,51-200,FR,2026-04-18 00:00:00
C000480,seo,200+,CA,2026-02-04 00:00:00
C000481,direct,200+,BE,2026-03-14 00:00:00
C000482,direct,11-50,FR,2026-04-12 00:00:00
C000483,sea,1-10,CA,2026-06-20 00:00:00
C000484,seo,200+,CH,2026-01-26 00:00:00
C000485,referral,1-10,FR,2026-02-25 00:00:00
C000486,sea,1-10,CA,2026-02-25 00:00:00
C000487,seo,1-10,FR,2026-04-13 00:00:00
C000488,direct,1-10,BE,2026-07-14 00:00:00
C000489,direct,51-200,CA,2026-02-25 00:00:00
C000490,seo,11-50,CH,2026-02-21 00:00:00
C000491,referral,51-200,FR,2026-03-04 00:00:00
C000492,sea,200+,FR,2026-06-18 00:00:00
C000493,seo,200+,FR,2026-05-28 00:00:00
C000494,direct,1-10,CA,2026-04-16 00:00:00
C000495,direct,11-50,FR,2026-02-07 00:00:00
C000496,seo,51-200,FR,2026-04-17 00:00:00
C000497,seo,1-10,FR,2026-03-25 00:00:00
C000498,seo,200+,FR,2026-03-11 00:00:00
C000499,direct,51-200,CA,2026-03-23 00:00:00
C000500,direct,1-10,FR,2026-03-23 00:00:00
C000501,direct,51-200,CA,2026-03-18 00:00:00
C000502,referral,11-50,FR,2026-06-13 00:00:00
C000503,seo,11-50,FR,2026-05-12 00:00:00
C000504,sea,200+,FR,2026-06-30 00:00:00
C000505,referral,11-50,FR,2026-04-08 00:00:00
C000506,sea,200+,FR,2026-06-03 00:00:00
C000507,seo,1-10,FR,2026-01-02 00:00:00
C000508,seo,200+,FR,2026-03-31 00:00:00
C000509,referral,200+,CH,2026-02-22 00:00:00
C000510,direct,51-200,FR,2026-03-22 00:00:00
C000511,seo,51-200,FR,2026-03-17 00:00:00
C000512,direct,51-200,BE,2026-04-15 00:00:00
C000513,sea,1-10,FR,2026-06-24 00:00:00
C000514,seo,51-200,CA,2026-02-07 00:00:00
C000515,direct,11-50,CA,2026-04-20 00:00:00
C000516,referral,11-50,FR,2026-05-05 00:00:00
C000517,referral,200+,FR,2026-07-09 00:00:00
C000518,seo,200+,CH,2026-06-09 00:00:00
C000519,direct,51-200,CA,2026-01-03 00:00:00
C000520,sea,200+,FR,2026-03-24 00:00:00
