fournisseur,categorie,volume_annuel,duree_accord,taux_service,part_marque_nationale,exercice,negociateur,taux_remise
F0036,A,1647644.0,12,0.983,0.233,2025,N17,33.23
F0037,E,748994.0,12,0.894,0.233,2025,N32,32.06
F0038,E,156217.0,36,0.945,0.261,2024,N18,30.25
F0039,C,1200909.0,12,0.863,0.458,2025,N17,34.58
F0040,C,153240.0,24,0.954,0.406,2024,N29,31.79
F0041,B,57265.0,24,0.962,0.539,2025,N30,28.42
F0042,B,165574.0,24,1.0,0.098,2025,N18,29.65
F0043,B,474414.0,12,0.979,0.504,2025,N26,33.93
F0044,D,23234.0,12,0.885,0.542,2026,N32,25.89
F0045,B,388721.0,36,0.94,0.475,2024,N37,32.86
F0046,E,368868.0,12,0.971,0.488,2025,N30,31.41
F0047,B,540751.0,36,0.907,0.231,2025,N13,32.25
F0048,C,162093.0,36,0.912,0.341,2025,N33,30.44
F0049,B,345329.0,36,0.936,0.311,2025,N07,30.89
F0050,D,11671.0,12,0.939,0.26,2026,N03,27.33
F0051,B,86189.0,24,0.869,0.306,2026,N20,31.61
F0052,E,317266.0,24,0.95,0.475,2025,N24,32.73
F0053,D,180160.0,36,0.981,0.767,2024,N23,31.97
F0054,A,129305.0,36,0.924,0.789,2025,N12,33.24
F0055,E,21236.0,36,0.957,0.404,2024,N38,29.13
F0056,C,76992.0,24,0.962,0.404,2025,N28,30.2
F0057,D,11957.0,12,0.943,0.408,2024,N08,24.8
F0058,E,70728.0,24,0.909,0.347,2026,N22,30.42
F0059,B,140679.0,24,0.91,0.186,2026,N31,30.48
F0060,A,51020.0,24,1.0,0.16,2026,N07,27.56
F0061,D,168518.0,24,1.0,0.264,2024,N27,29.67
F0062,B,95709.0,36,0.861,0.297,2026,N12,27.28
F0063,A,276361.0,24,0.911,0.731,2024,N32,32.06
F0064,C,62634.0,24,0.961,0.414,2026,N13,29.14
F0065,C,14024.0,24,0.947,0.608,2026,N15,26.31
F0066,D,21144.0,12,1.0,0.828,2026,N38,29.13
F0067,E,38392.0,12,0.89,0.572,2025,N33,30.36
F0068,C,95631.0,36,0.965,0.592,2026,N09,30.94
F0069,B,107763.0,24,0.951,0.326,2025,N09,31.26
F0070,C,39663.0,12,0.945,0.331,2025,N32,27.48
F0071,A,110163.0,36,0.899,0.329,2024,N36,30.81
F0072,A,44025.0,24,0.891,0.175,2026,N34,24.8
F0073,A,208985.0,12,0.923,0.701,2025,N06,30.73
F0074,D,19787.0,24,0.839,0.404,2025,N28,27.45
F0075,E,392365.0,36,1.0,0.562,2025,N15,34.3
F0076,B,137301.0,36,0.949,0.356,2024,N02,30.0
F0077,A,61427.0,24,0.995,0.73,2024,N29,28.7
F0078,A,27362.0,36,0.952,0.651,2026,N29,28.55
F0079,A,193101.0,24,1.0,0.234,2024,N38,28.76
F0080,E,49167.0,24,0.955,0.425,2026,N24,30.38
F0081,A,219421.0,12,0.948,0.726,2024,N21,33.0
F0082,D,909857.0,24,1.0,0.471,2026,N02,34.77
F0083,D,125953.0,36,0.98,0.679,2024,N33,29.73
F0084,C,137744.0,36,1.0,0.259,2026,N34,31.74
F0085,C,199076.0,24,0.949,0.306,2026,N17,30.37
F0086,D,55523.0,12,0.949,0.761,2026,N29,30.01
F0087,E,1076097.0,36,0.981,0.61,2024,N38,34.61
F0088,C,83013.0,12,0.953,0.711,2026,N28,29.17
F0089,D,247933.0,24,0.954,0.158,2025,N28,29.75
F0090,A,164095.0,12,0.973,0.116,2025,N35,29.16
F0091,E,55221.0,24,0.882,0.518,2025,N15,29.32
F0092,D,570554.0,24,0.935,0.216,2026,N01,33.19
F0093,D,176928.0,24,0.969,0.358,2024,N05,31.42
F0094,D,52413.0,12,0.901,0.101,2024,N05,26.77
F0095,B,53124.0,36,0.881,0.097,2026,N39,28.14
F0096,D,11684.0,24,0.822,0.525,2026,N29,25.96
F0097,E,32631.0,12,0.916,0.292,2025,N28,29.12
F0098,C,319631.0,36,0.919,0.141,2024,N35,31.78
F0099,B,325554.0,24,0.912,0.652,2024,N36,31.3
F0100,E,39271.0,36,1.0,0.317,2026,N19,29.12
F0101,D,252375.0,24,1.0,0.34,2025,N27,32.57
F0102,E,385901.0,36,0.895,0.454,2026,N23,30.25
F0103,D,304721.0,36,0.887,0.115,2024,N18,29.01
F0104,E,539138.0,24,0.952,0.482,2024,N26,32.01
F0105,D,12546.0,24,0.968,0.831,2025,N14,27.39
F0106,B,154622.0,24,0.891,0.432,2025,N15,31.77
F0107,D,38946.0,24,0.912,0.603,2025,N23,29.48
F0108,B,272074.0,24,0.948,0.304,2025,N30,33.47
F0109,E,50094.0,24,0.852,0.796,2026,N29,30.03
F0110,C,136799.0,36,0.889,0.296,2024,N31,30.35
F0111,C,344158.0,24,0.96,0.701,2026,N14,31.01
F0112,D,18426.0,36,0.978,0.344,2026,N30,26.2
F0113,B,55110.0,12,0.934,0.685,2025,N19,27.4
F0114,A,51600.0,24,0.921,0.441,2024,N28,32.43
F0115,D,113384.0,36,0.977,0.828,2025,N04,30.85
F0116,C,18012.0,36,0.935,0.366,2025,N11,27.35
F0117,D,297360.0,12,0.867,0.784,2024,N32,33.46
F0118,C,1153060.0,36,0.959,0.298,2026,N31,31.98
F0119,C,82079.0,24,0.991,0.224,2026,N13,29.0
F0120,A,211094.0,36,0.959,0.23,2024,N04,30.54
F0121,D,4725.0,24,0.919,0.205,2025,N32,26.29
F0122,C,26632.0,12,0.92,0.519,2025,N35,28.34
F0123,A,244039.0,12,0.871,0.457,2024,N03,33.68
F0124,B,156024.0,24,0.879,0.417,2025,N22,29.24
F0125,A,242265.0,36,0.908,0.428,2026,N19,32.17
F0126,E,534252.0,36,0.918,0.033,2025,N09,30.82
F0127,B,121254.0,36,0.904,0.271,2024,N01,29.87
F0128,A,80498.0,12,0.934,0.127,2026,N04,30.53
F0129,D,61361.0,24,0.931,0.289,2025,N22,26.64
F0130,E,120742.0,24,0.95,0.198,2025,N27,30.03
F0131,B,8442.0,36,0.86,0.453,2025,N35,26.8
F0132,E,618064.0,36,0.972,0.443,2024,N11,33.67
F0133,B,7822.0,24,1.0,0.325,2026,N10,25.93
F0134,C,15598.0,36,0.942,0.691,2026,N38,27.13
F0135,D,111999.0,12,0.986,0.22,2025,N37,28.04
F0136,A,315491.0,12,0.946,0.25,2026,N24,30.02
F0137,A,196965.0,36,0.848,0.782,2025,N23,33.03
F0138,D,610497.0,36,0.993,0.756,2025,N21,34.37
F0139,C,60066.0,12,0.931,0.168,2026,N21,30.76
F0140,A,46714.0,36,0.866,0.194,2024,N24,30.4
F0141,E,195082.0,24,0.841,0.345,2025,N14,28.9
F0142,B,26213.0,36,0.975,0.313,2026,N16,28.53
F0143,B,128653.0,24,0.967,0.111,2025,N30,29.31
F0144,D,184725.0,24,0.91,0.392,2024,N37,30.21
F0145,B,142386.0,36,0.906,0.756,2026,N38,31.11
F0146,C,8719.0,24,0.979,0.802,2026,N20,27.36
F0147,D,75134.0,24,0.932,0.656,2024,N28,32.07
F0148,C,8589.0,36,0.911,0.176,2025,N40,23.99
F0149,C,275529.0,36,0.884,0.23,2025,N22,31.21
F0150,B,58361.0,12,0.932,0.211,2024,N39,27.59
F0151,E,323569.0,12,0.845,0.166,2025,N26,30.39
F0152,A,476319.0,36,0.99,0.054,2025,N39,31.73
F0153,A,19594.0,24,0.936,0.574,2025,N02,25.55
F0154,B,293320.0,24,0.941,0.712,2025,N23,33.51
F0155,D,158260.0,36,0.887,0.528,2026,N10,30.46
F0156,E,588516.0,12,0.935,0.456,2026,N34,33.59
F0157,C,21714.0,12,0.899,0.293,2024,N03,27.89
F0158,E,21411.0,24,0.921,0.709,2024,N22,27.47
F0159,D,38361.0,36,0.871,0.44,2024,N14,29.81
F0160,A,10837.0,24,0.933,0.827,2026,N14,29.29
F0161,D,114397.0,36,0.899,0.359,2026,N35,30.57
F0162,C,41387.0,24,0.917,0.848,2024,N09,28.08
F0163,D,123944.0,12,0.901,0.347,2024,N03,29.47
F0164,B,147274.0,36,0.855,0.225,2025,N29,31.51
F0165,B,266837.0,24,1.0,0.204,2026,N19,30.65
F0166,B,19982.0,12,0.851,0.623,2025,N18,29.24
F0167,B,233971.0,24,0.853,0.582,2024,N22,32.77
F0168,E,231949.0,24,0.867,0.402,2025,N16,31.4
F0169,A,29564.0,36,0.998,0.426,2024,N14,29.65
F0170,E,46198.0,36,0.955,0.644,2024,N25,30.15
F0171,C,16943.0,12,0.904,0.346,2025,N27,26.02
F0172,C,416458.0,36,0.911,0.306,2026,N35,34.61
F0173,A,478656.0,36,0.995,0.026,2025,N27,31.99
F0174,C,34793.0,36,0.927,0.535,2025,N24,29.05
F0175,E,84375.0,36,0.894,0.501,2026,N06,29.99
F0176,E,154955.0,36,0.896,0.287,2025,N33,31.76
F0177,C,220811.0,36,1.0,0.235,2025,N31,30.07
F0178,B,87631.0,12,0.866,0.688,2025,N22,30.74
F0179,E,687873.0,12,1.0,0.189,2025,N14,34.24
F0180,D,31064.0,24,0.936,0.291,2024,N10,27.48
F0181,E,266187.0,36,1.0,0.432,2026,N20,31.77
F0182,D,106683.0,24,0.94,0.766,2024,N21,33.05
F0183,E,135077.0,24,0.917,0.064,2025,N23,29.09
F0184,D,39500.0,24,0.848,0.38,2024,N29,29.83
F0185,A,12044.0,12,0.835,0.639,2025,N12,25.87
F0186,C,51215.0,12,0.917,0.767,2026,N26,29.8
F0187,C,167697.0,36,0.889,0.702,2025,N12,32.21
F0188,D,35139.0,12,0.898,0.663,2026,N31,29.18
F0189,C,12582.0,36,0.893,0.422,2025,N07,27.39
F0190,E,77778.0,36,0.91,0.523,2026,N26,28.58
F0191,A,92642.0,24,0.868,0.261,2025,N18,30.78
F0192,B,28726.0,36,1.0,0.429,2025,N12,28.05
F0193,E,82797.0,12,0.95,0.242,2024,N22,30.38
F0194,D,155743.0,36,1.0,0.286,2024,N36,31.17
F0195,D,122050.0,36,0.95,0.492,2026,N09,30.21
F0196,C,284634.0,12,0.902,0.637,2025,N29,31.83
F0197,A,391557.0,36,0.987,0.352,2024,N20,30.52
F0198,C,91351.0,36,1.0,0.454,2025,N06,32.17
F0199,A,36249.0,24,0.934,0.334,2024,N29,27.69
F0200,C,11843.0,12,0.965,0.195,2025,N35,24.39
F0201,B,314559.0,36,0.956,0.333,2025,N21,32.91
F0202,B,143514.0,12,0.941,0.234,2026,N14,29.91
F0203,B,316751.0,36,0.988,0.428,2025,N27,32.16
F0204,D,35624.0,12,0.966,0.369,2024,N35,28.97
F0205,C,110253.0,36,0.998,0.421,2026,N21,30.95
F0206,B,35967.0,12,0.89,0.655,2024,N05,27.17
F0207,E,32416.0,12,0.904,0.237,2025,N15,26.86
F0208,A,16646.0,12,0.998,0.26,2025,N18,24.57
F0209,C,72152.0,24,0.926,0.656,2026,N05,29.15
F0210,D,167350.0,24,0.962,0.351,2024,N20,32.17
F0211,C,239419.0,24,0.878,0.358,2025,N29,30.55
F0212,B,125785.0,36,0.969,0.569,2024,N30,30.89
F0213,C,67538.0,36,1.0,0.651,2025,N30,28.07
F0214,C,1048322.0,12,0.901,0.385,2026,N11,32.72
F0215,E,598604.0,12,0.965,0.597,2025,N35,34.08
F0216,E,319495.0,24,0.955,0.72,2025,N39,35.31
F0217,D,113166.0,36,0.936,0.124,2026,N37,31.95
F0218,D,431994.0,12,0.878,0.263,2026,N01,30.16
F0219,A,38197.0,24,0.966,0.225,2026,N35,28.74
F0220,C,20667.0,24,0.975,0.104,2025,N26,26.03
F0221,A,200301.0,12,0.945,0.624,2026,N25,31.34
F0222,B,116151.0,24,0.892,0.219,2026,N05,30.63
F0223,C,331662.0,12,0.985,0.165,2025,N17,32.57
F0224,D,37061.0,36,0.956,0.462,2025,N38,30.03
F0225,D,134527.0,12,0.931,0.567,2025,N23,30.78
F0226,E,27327.0,36,0.98,0.537,2025,N40,29.86
F0227,C,62853.0,24,0.912,0.235,2025,N22,29.29
F0228,D,165435.0,36,0.946,0.564,2024,N30,30.82
F0229,C,87533.0,24,0.953,0.065,2025,N33,27.82
F0230,D,30799.0,12,0.961,0.125,2025,N13,28.1
F0231,D,16732.0,24,0.893,0.063,2024,N22,27.49
F0232,B,59747.0,24,0.935,0.179,2026,N37,29.4
F0233,B,31507.0,12,0.945,0.847,2026,N28,28.18
F0234,B,16922.0,12,0.954,0.755,2024,N23,27.69
F0235,D,105155.0,36,0.966,0.26,2025,N19,27.98
F0236,B,31934.0,36,0.934,0.798,2026,N12,32.46
F0237,E,434541.0,12,0.985,0.528,2026,N17,32.17
F0238,C,1132222.0,36,0.928,0.357,2024,N21,31.46
F0239,D,361579.0,36,0.895,0.427,2026,N18,31.61
F0240,E,2683269.0,36,0.956,0.433,2026,N24,36.2
F0241,C,22161.0,12,0.906,0.134,2025,N02,24.73
F0242,C,12220.0,36,0.904,0.519,2025,N04,27.79
F0243,E,80228.0,24,1.0,0.181,2026,N10,30.0
F0244,A,11580.0,24,0.946,0.548,2025,N04,29.23
F0245,E,113128.0,24,0.945,0.346,2026,N14,30.18
F0246,C,273592.0,24,1.0,0.35,2025,N39,30.99
F0247,E,242431.0,12,0.892,0.464,2025,N36,31.0
F0248,B,305938.0,36,0.894,0.724,2025,N29,31.38
F0249,E,74512.0,12,1.0,0.483,2026,N29,30.66
F0250,D,88047.0,36,0.932,0.605,2025,N29,33.0
F0251,A,127953.0,24,0.918,0.834,2025,N30,31.88
F0252,B,89120.0,36,0.981,0.201,2026,N24,29.94
F0253,E,290178.0,12,0.832,0.592,2025,N01,30.94
F0254,E,58735.0,24,0.949,0.51,2025,N12,29.57
F0255,D,90593.0,24,0.921,0.514,2026,N09,29.59
F0256,C,41601.0,12,0.991,0.172,2025,N03,28.77
F0257,C,301206.0,36,0.974,0.537,2024,N24,32.48
F0258,C,110526.0,24,0.979,0.64,2024,N05,27.4
F0259,A,111825.0,12,0.999,0.717,2024,N37,34.11
F0260,C,53269.0,24,0.958,0.344,2025,N06,29.32
F0261,A,11411.0,36,0.894,0.401,2024,N24,24.75
F0262,C,55343.0,36,0.98,0.399,2024,N13,29.4
F0263,C,7125.0,12,0.973,0.537,2025,N30,26.63
F0264,E,87624.0,36,1.0,0.273,2026,N11,29.84
F0265,E,21716.0,24,0.97,0.325,2024,N30,24.46
F0266,A,434860.0,24,0.951,0.125,2024,N12,30.6
F0267,C,44131.0,12,1.0,0.64,2026,N01,26.09
F0268,D,87370.0,12,0.886,0.565,2025,N22,30.71
F0269,E,52474.0,36,0.97,0.442,2026,N22,29.61
F0270,B,24159.0,24,0.899,0.719,2025,N03,29.0
F0271,C,14975.0,24,0.885,0.266,2025,N36,25.54
F0272,A,4664.0,36,0.951,0.954,2026,N14,28.34
F0273,A,43310.0,12,0.934,0.323,2024,N29,28.19
F0274,A,8284.0,24,0.838,0.295,2025,N08,25.2
F0275,A,359188.0,36,0.976,0.17,2024,N04,31.22
F0276,D,20002.0,36,0.927,0.129,2025,N14,25.04
F0277,B,45446.0,12,0.977,0.572,2025,N33,27.69
F0278,E,90557.0,24,1.0,0.653,2024,N27,28.89
F0279,A,77890.0,24,0.938,0.509,2026,N13,30.39
F0280,D,377115.0,36,0.901,0.764,2025,N33,31.62
F0281,B,86285.0,12,0.942,0.12,2025,N18,27.95
F0282,B,52260.0,24,0.889,0.86,2024,N06,30.38
F0283,B,81252.0,24,0.917,0.597,2025,N30,33.45
F0284,C,586901.0,24,0.963,0.774,2024,N06,32.46
F0285,E,237818.0,12,0.948,0.177,2025,N20,31.91
F0286,A,9064.0,12,0.948,0.294,2024,N24,22.86
F0287,C,74460.0,12,0.888,0.568,2024,N05,28.68
F0288,C,31670.0,12,0.995,0.583,2026,N02,27.95
F0289,D,96268.0,36,0.757,0.303,2026,N40,29.19
F0290,B,199582.0,12,0.932,0.57,2026,N13,30.43
F0291,B,95249.0,24,0.923,0.425,2026,N38,29.23
F0292,A,193958.0,24,0.884,0.46,2025,N07,32.4
F0293,E,705247.0,24,0.95,0.603,2024,N04,35.01
F0294,B,11772.0,24,0.909,0.325,2024,N30,26.36
F0295,A,89874.0,12,0.881,0.266,2024,N25,27.61
F0296,E,101259.0,24,0.911,0.368,2025,N25,29.04
F0297,C,162165.0,12,0.971,0.219,2025,N23,29.53
F0298,C,106548.0,36,0.973,0.109,2025,N34,30.38
F0299,C,285891.0,12,0.964,0.342,2024,N40,29.34
F0300,B,93037.0,24,0.899,0.16,2025,N14,29.26
F0301,A,160454.0,24,0.914,0.12,2025,N18,29.38
F0302,A,14969.0,12,0.985,0.746,2024,N17,28.48
F0303,E,120512.0,36,0.901,0.268,2026,N36,28.29
F0304,E,22560.0,36,0.964,0.563,2024,N02,28.61
F0305,D,190858.0,36,0.907,0.658,2024,N04,32.61
F0306,A,785360.0,12,0.955,0.457,2024,N13,34.37
F0307,C,89782.0,24,0.932,0.201,2024,N34,30.88
F0308,A,161580.0,24,0.912,0.228,2026,N24,28.46
F0309,B,234863.0,36,0.949,0.504,2024,N10,31.45
F0310,A,502414.0,36,1.0,0.251,2024,N36,33.82
F0311,E,248342.0,24,0.966,0.125,2026,N26,31.1
F0312,D,425688.0,36,0.986,0.21,2024,N06,31.31
F0313,D,52152.0,24,0.934,0.27,2025,N34,27.62
F0314,E,90044.0,12,0.963,0.302,2024,N19,28.69
F0315,D,17304.0,12,0.98,0.38,2025,N39,26.23
F0316,A,1383055.0,36,0.892,0.109,2025,N40,32.57
F0317,A,24173.0,24,0.95,0.722,2024,N07,29.12
F0318,D,296072.0,36,0.864,0.506,2025,N09,33.18
F0319,B,120529.0,36,0.928,0.149,2024,N16,29.24
F0320,D,114687.0,12,1.0,0.093,2026,N31,28.66
F0321,B,24569.0,12,0.927,0.628,2026,N13,28.61
F0322,C,95107.0,12,0.988,0.283,2024,N21,29.84
F0323,E,110413.0,36,0.852,0.228,2026,N02,25.94
F0324,A,162883.0,24,0.986,0.357,2024,N20,29.27
F0325,C,66776.0,12,0.962,0.709,2025,N35,27.46
F0326,D,133272.0,24,0.92,0.632,2024,N03,30.71
F0327,B,31813.0,24,0.937,0.729,2025,N32,30.89
F0328,C,423338.0,36,0.886,0.667,2025,N22,34.5
F0329,D,46092.0,24,0.941,0.669,2026,N03,30.05
F0330,E,7412466.0,24,0.895,0.541,2026,N32,35.56
F0331,C,69235.0,24,0.944,0.723,2025,N33,32.09
F0332,E,46636.0,36,1.0,0.724,2024,N29,32.63
F0333,B,126140.0,24,0.927,0.071,2025,N12,30.29
F0334,D,86703.0,24,0.908,0.646,2025,N13,30.36
F0335,C,373933.0,24,0.932,0.293,2024,N37,32.39
F0336,A,439273.0,36,0.987,0.308,2026,N14,31.72
F0337,D,48878.0,12,0.957,0.579,2025,N17,29.09
F0338,B,46469.0,12,0.927,0.25,2026,N04,28.58
F0339,C,42403.0,36,0.89,0.432,2026,N14,30.67
F0340,D,182972.0,12,0.94,0.197,2024,N09,30.29
F0341,C,336633.0,24,0.927,0.424,2024,N14,32.63
F0342,E,231257.0,36,0.982,0.528,2025,N11,32.31
F0343,E,88588.0,36,0.88,0.523,2025,N05,30.69
F0344,C,110085.0,24,1.0,0.608,2025,N18,29.37
F0345,A,232989.0,12,0.95,0.699,2026,N22,34.63
F0346,B,468047.0,24,1.0,0.714,2024,N03,32.35
F0347,C,101496.0,12,0.875,0.494,2026,N06,30.4
F0348,D,431995.0,12,0.921,0.601,2025,N32,33.32
F0349,C,71280.0,24,1.0,0.159,2026,N19,26.67
F0350,E,134757.0,24,0.973,0.56,2024,N15,31.81
F0351,E,409588.0,24,0.879,0.203,2026,N20,31.12
F0352,A,38071.0,24,0.893,0.708,2024,N37,28.8
F0353,B,13618.0,12,0.897,0.364,2025,N27,26.64
F0354,C,28266.0,12,0.849,0.156,2026,N24,25.96
F0355,C,89144.0,12,0.984,0.507,2026,N26,30.0
F0356,D,30853.0,36,0.917,0.642,2026,N07,27.95
F0357,E,90819.0,36,0.876,0.291,2025,N08,28.65
F0358,C,539514.0,12,0.952,0.264,2024,N37,31.73
F0359,E,68926.0,36,0.987,0.319,2024,N20,28.69
F0360,B,511038.0,36,0.948,0.48,2024,N21,32.73
F0361,D,295699.0,12,0.837,0.347,2026,N01,30.6
F0362,E,29649.0,24,0.856,0.626,2025,N03,27.55
F0363,D,332872.0,12,0.917,0.402,2024,N37,33.78
F0364,E,294471.0,12,0.911,0.453,2026,N25,29.92
F0365,B,337981.0,24,0.924,0.214,2025,N11,32.7
F0366,A,135023.0,24,0.946,0.582,2024,N35,32.76
F0367,C,145467.0,36,0.931,0.216,2024,N18,30.38
F0368,A,54254.0,24,0.947,0.685,2025,N13,31.17
F0369,D,37046.0,36,0.885,0.681,2025,N23,29.14
F0370,B,99146.0,12,0.981,0.246,2026,N22,27.92
F0371,B,246913.0,36,0.917,0.09,2025,N27,30.11
F0372,C,51910.0,12,0.92,0.219,2026,N37,26.1
F0373,B,742830.0,24,0.988,0.242,2025,N39,33.67
F0374,A,63082.0,24,0.924,0.894,2026,N36,32.38
F0375,E,158582.0,24,0.86,0.513,2024,N37,31.48
F0376,B,21762.0,24,0.963,0.081,2024,N26,25.65
F0377,E,691538.0,36,1.0,0.272,2024,N03,32.16
F0378,D,259406.0,24,0.947,0.191,2026,N07,31.18
F0379,A,514975.0,36,0.961,0.634,2025,N08,35.22
F0380,D,26145.0,24,0.95,0.505,2024,N39,27.62
F0381,A,619398.0,36,1.0,0.165,2026,N05,31.49
F0382,E,196223.0,24,0.886,0.711,2026,N38,33.31
F0383,B,53727.0,12,0.935,0.138,2025,N10,27.01
F0384,E,69802.0,36,0.987,0.439,2026,N34,28.33
F0385,B,18807.0,12,0.904,0.651,2026,N27,27.88
F0386,B,91310.0,12,0.998,0.314,2026,N14,29.38
F0387,A,329355.0,24,0.975,0.321,2024,N18,30.57
F0388,C,40743.0,12,0.928,0.275,2025,N21,27.08
F0389,E,178826.0,24,0.964,0.57,2025,N26,31.27
F0390,D,26938.0,24,0.995,0.28,2026,N30,29.3
F0391,E,4705.0,12,0.905,0.23,2026,N13,25.74
F0392,D,90705.0,24,0.976,0.326,2026,N20,29.25
F0393,C,656848.0,24,0.916,0.237,2024,N31,34.15
F0394,C,470650.0,24,0.917,0.333,2025,N16,33.25
F0395,C,50109.0,12,1.0,0.905,2024,N15,29.69
F0396,E,503008.0,12,0.959,0.839,2025,N04,32.61
F0397,E,384742.0,12,0.866,0.512,2025,N30,32.13
F0398,E,172846.0,36,0.919,0.403,2025,N34,32.05
F0399,A,71872.0,24,0.928,0.178,2026,N13,28.4
F0400,E,354932.0,36,0.925,0.145,2026,N34,29.76
F0401,B,97325.0,24,0.898,0.221,2026,N24,29.63
F0402,B,67532.0,36,0.931,0.796,2026,N05,32.96
F0403,E,378679.0,36,1.0,0.329,2024,N23,32.43
F0404,A,46960.0,36,0.987,0.218,2024,N03,28.25
F0405,D,241210.0,36,0.875,0.397,2024,N32,30.62
F0406,B,630569.0,36,0.943,0.111,2024,N39,34.73
F0407,D,46962.0,24,1.0,0.362,2025,N31,25.61
F0408,E,130452.0,24,0.977,0.046,2026,N05,28.58
F0409,D,199895.0,12,0.979,0.772,2026,N31,33.25
F0410,B,12810.0,12,0.955,0.51,2026,N15,26.19
F0411,B,57822.0,24,0.947,0.051,2024,N40,28.32
F0412,D,53702.0,24,0.999,0.218,2025,N29,27.57
F0413,C,54331.0,12,0.844,0.791,2025,N25,30.08
F0414,C,36384.0,12,0.969,0.296,2025,N16,29.25
F0415,B,478900.0,24,0.962,0.677,2026,N13,31.33
F0416,E,34597.0,36,0.863,0.559,2024,N09,28.87
F0417,A,89719.0,24,0.958,0.574,2025,N24,30.16
F0418,A,206903.0,12,0.876,0.572,2024,N20,30.78
F0419,C,657408.0,36,0.945,0.526,2024,N22,35.38
F0420,E,14892.0,12,0.961,0.031,2025,N32,25.16
F0421,D,21149.0,24,1.0,0.081,2025,N29,26.97
F0422,A,28354.0,12,0.898,0.548,2025,N19,26.38
F0423,E,69616.0,36,0.966,0.352,2025,N32,29.2
F0424,D,306599.0,36,0.947,0.094,2024,N29,31.31
F0425,D,85195.0,24,0.912,0.204,2025,N10,28.27
F0426,C,119743.0,12,0.893,0.142,2026,N03,28.42
F0427,C,628011.0,12,0.887,0.663,2026,N24,31.11
F0428,B,68424.0,12,0.939,0.607,2024,N28,29.93
F0429,B,123429.0,36,0.941,0.352,2026,N08,28.52
F0430,B,1076164.0,24,0.919,0.987,2025,N34,38.2
F0431,E,258202.0,24,1.0,0.167,2025,N35,29.07
F0432,B,48831.0,24,0.952,0.138,2026,N29,27.93
F0433,D,46660.0,36,0.922,0.802,2026,N03,32.81
F0434,C,387334.0,12,0.891,0.58,2024,N22,32.55
F0435,E,25931.0,36,0.972,0.315,2025,N31,28.92
F0436,A,35306.0,36,0.842,0.216,2024,N34,29.37
F0437,B,267164.0,12,0.947,0.264,2025,N20,31.0
F0438,C,507910.0,36,1.0,0.261,2025,N01,33.76
F0439,E,759967.0,36,0.9,0.278,2025,N22,34.47
F0440,A,31693.0,24,0.962,0.587,2024,N31,29.21
F0441,D,190751.0,12,0.912,0.362,2026,N18,30.98
F0442,C,1916.0,12,0.954,0.628,2024,N37,24.1
F0443,B,37312.0,12,0.957,0.559,2024,N07,30.1
F0444,C,3492772.0,36,0.957,0.614,2025,N30,34.93
F0445,B,677010.0,36,0.919,0.699,2026,N34,34.04
F0446,B,246068.0,12,0.911,0.276,2025,N15,31.21
F0447,A,34572.0,24,0.943,0.62,2026,N14,28.28
