verbatim_id,client_id,canal,date,texte,service_destinataire
V000108,40347,reclamation,2026-05-14 00:00:00,le produit ne correspond pas a la photo,produit
V000109,71066,enquete,2026-06-17 00:00:00,la qualite n est pas au rendez vous,produit
V000110,69447,chat,2026-03-05 00:00:00,les prix ont augmente,prix
V000111,38853,avis,2026-05-02 00:00:00,impossible de joindre le service client,contact
V000112,36542,reclamation,2025-12-03 00:00:00,article conforme et solide,produit
V000113,37079,enquete,2025-10-14 00:00:00,la qualite n est pas au rendez vous,produit
V000114,59858,avis,2025-10-31 00:00:00,article conforme et solide,produit
V000115,42543,reclamation,2026-02-21 00:00:00,article conforme et solide,produit
V000116,39478,reclamation,2025-11-14 00:00:00,personne ne repond au telephone,contact
V000117,14449,enquete,2025-06-12 00:00:00,personne ne repond au telephone,contact
V000118,6042,chat,2026-07-06 00:00:00,les prix ont augmente,prix
V000119,2168,avis,2025-09-23 00:00:00,personne ne repond au telephone,contact
V000120,64029,reclamation,2025-12-02 00:00:00,impossible de retourner l article,retour
V000121,4559,chat,2025-07-16 00:00:00,conseiller tres aimable et efficace,contact
V000122,4778,avis,2026-02-07 00:00:00,livraison pas rapide du tout,livraison
V000123,13413,avis,2026-05-03 00:00:00,livraison pas rapide du tout,livraison
V000124,28254,chat,2026-06-10 00:00:00,le colis est arrive en retard,livraison
V000125,1914,enquete,2025-11-03 00:00:00,le produit ne correspond pas a la photo,produit
V000126,38783,chat,2026-07-05 00:00:00,impossible de retourner l article,retour
V000127,20363,reclamation,2026-03-17 00:00:00,bon rapport qualite prix,prix
V000128,57016,reclamation,2026-02-10 00:00:00,promotion interessante ce mois ci,prix
V000129,11147,avis,2026-01-21 00:00:00,procedure de retour incomprehensible,retour
V000130,69069,enquete,2026-05-14 00:00:00,article conforme et solide,produit
V000131,7885,avis,2025-04-30 00:00:00,la qualite n est pas au rendez vous,produit
V000132,2326,avis,2025-05-31 00:00:00,impossible de joindre le service client,contact
V000133,52689,chat,2025-10-02 00:00:00,procedure de retour incomprehensible,retour
V000134,55490,avis,2025-04-18 00:00:00,les prix ont augmente,prix
V000135,54951,reclamation,2026-01-04 00:00:00,impossible de retourner l article,retour
V000136,14275,reclamation,2026-04-03 00:00:00,le remboursement n arrive pas,retour
V000137,30350,enquete,2026-06-14 00:00:00,le remboursement n arrive pas,retour
V000138,70943,reclamation,2025-12-09 00:00:00,bon rapport qualite prix,prix
V000139,76635,enquete,2026-07-24 00:00:00,delai de livraison beaucoup trop long,livraison
V000140,26459,reclamation,2026-07-15 00:00:00,personne ne repond au telephone,contact
V000141,35955,chat,2025-09-17 00:00:00,personne ne repond au telephone,contact
V000142,5022,chat,2026-04-22 00:00:00,le colis est arrive en retard,livraison
V000143,11248,avis,2026-07-27 00:00:00,les prix ont augmente,prix
V000144,77744,reclamation,2026-06-17 00:00:00,le remboursement n arrive pas,retour
V000145,23594,avis,2025-08-06 00:00:00,personne ne repond au telephone,contact
V000146,64672,avis,2025-07-13 00:00:00,impossible de retourner l article,retour
V000147,1742,enquete,2026-08-12 00:00:00,delai de livraison beaucoup trop long,livraison
V000148,74347,chat,2025-06-27 00:00:00,le remboursement n arrive pas,retour
V000149,20470,avis,2026-05-05 00:00:00,le colis est arrive en retard,livraison
V000150,45475,chat,2026-06-24 00:00:00,le colis est arrive en retard,livraison
V000151,50565,enquete,2026-03-25 00:00:00,les prix ont augmente,prix
V000152,18373,chat,2025-06-03 00:00:00,procedure de retour incomprehensible,retour
V000153,71434,reclamation,2025-07-17 00:00:00,impossible de retourner l article,retour
V000154,33950,enquete,2025-11-26 00:00:00,delai de livraison beaucoup trop long,livraison
V000155,15647,reclamation,2025-11-16 00:00:00,promotion interessante ce mois ci,prix
V000156,54795,enquete,2025-12-26 00:00:00,les prix ont augmente,prix
V000157,55066,chat,2026-05-28 00:00:00,le remboursement n arrive pas,retour
V000158,34463,enquete,2026-01-10 00:00:00,article conforme et solide,produit
V000159,40831,avis,2026-03-14 00:00:00,conseiller tres aimable et efficace,contact
V000160,7230,reclamation,2026-03-28 00:00:00,promotion interessante ce mois ci,prix
V000161,2712,reclamation,2025-09-27 00:00:00,le produit ne correspond pas a la photo,produit
V000162,3358,avis,2026-05-22 00:00:00,procedure de retour incomprehensible,retour
V000163,79060,enquete,2025-05-01 00:00:00,conseiller tres aimable et efficace,contact
V000164,37762,avis,2025-05-20 00:00:00,livraison pas rapide du tout,livraison
V000165,51452,avis,2025-11-08 00:00:00,les prix ont augmente,prix
V000166,59798,avis,2026-04-23 00:00:00,les prix ont augmente,prix
V000167,72436,reclamation,2026-02-11 00:00:00,livraison pas rapide du tout,livraison
V000168,4927,reclamation,2026-01-11 00:00:00,delai de livraison beaucoup trop long,livraison
V000169,70063,avis,2025-05-14 00:00:00,article conforme et solide,produit
V000170,3050,enquete,2025-07-21 00:00:00,la qualite n est pas au rendez vous,produit
V000171,45107,reclamation,2025-06-17 00:00:00,le colis est arrive en retard,livraison
V000172,34631,avis,2026-06-11 00:00:00,conseiller tres aimable et efficace,contact
V000173,61987,chat,2025-11-06 00:00:00,impossible de joindre le service client,contact
V000174,7631,enquete,2025-10-27 00:00:00,la qualite n est pas au rendez vous,produit
V000175,58025,avis,2025-04-13 00:00:00,les prix ont augmente,prix
V000176,69042,reclamation,2026-07-14 00:00:00,la qualite n est pas au rendez vous,produit
V000177,27721,chat,2026-01-07 00:00:00,impossible de retourner l article,retour
V000178,18523,chat,2025-08-22 00:00:00,promotion interessante ce mois ci,prix
V000179,56449,avis,2025-12-18 00:00:00,impossible de retourner l article,retour
V000180,24379,chat,2025-07-11 00:00:00,impossible de retourner l article,retour
V000181,52857,avis,2025-08-22 00:00:00,promotion interessante ce mois ci,prix
V000182,8912,reclamation,2026-05-09 00:00:00,le remboursement n arrive pas,retour
V000183,57112,enquete,2026-06-28 00:00:00,impossible de retourner l article,retour
V000184,55299,reclamation,2026-02-16 00:00:00,delai de livraison beaucoup trop long,livraison
V000185,72539,enquete,2025-06-14 00:00:00,personne ne repond au telephone,contact
V000186,63401,reclamation,2026-02-13 00:00:00,promotion interessante ce mois ci,prix
V000187,3437,avis,2025-04-11 00:00:00,promotion interessante ce mois ci,prix
V000188,5735,enquete,2025-07-22 00:00:00,impossible de joindre le service client,contact
V000189,18722,enquete,2026-05-19 00:00:00,impossible de retourner l article,retour
V000190,55458,enquete,2026-05-25 00:00:00,procedure de retour incomprehensible,retour
V000191,7516,avis,2026-05-31 00:00:00,les prix ont augmente,prix
V000192,77415,chat,2026-06-26 00:00:00,article conforme et solide,produit
V000193,38741,reclamation,2026-03-16 00:00:00,bon rapport qualite prix,prix
V000194,65053,enquete,2025-12-27 00:00:00,livraison pas rapide du tout,livraison
V000195,17143,enquete,2025-10-04 00:00:00,bon rapport qualite prix,prix
V000196,70299,avis,2026-05-07 00:00:00,procedure de retour incomprehensible,retour
V000197,71621,avis,2025-07-27 00:00:00,personne ne repond au telephone,contact
V000198,59080,avis,2026-02-16 00:00:00,procedure de retour incomprehensible,retour
V000199,72625,avis,2026-06-09 00:00:00,le remboursement n arrive pas,retour
V000200,16316,avis,2026-02-20 00:00:00,personne ne repond au telephone,contact
V000201,1611,reclamation,2025-05-15 00:00:00,la qualite n est pas au rendez vous,produit
V000202,21877,enquete,2025-06-27 00:00:00,delai de livraison beaucoup trop long,livraison
V000203,43941,avis,2025-05-25 00:00:00,livraison pas rapide du tout,livraison
V000204,67437,avis,2026-05-29 00:00:00,promotion interessante ce mois ci,prix
V000205,79858,chat,2026-03-13 00:00:00,delai de livraison beaucoup trop long,livraison
V000206,54043,reclamation,2025-10-12 00:00:00,promotion interessante ce mois ci,prix
V000207,4523,reclamation,2026-03-25 00:00:00,promotion interessante ce mois ci,prix
V000208,7095,enquete,2026-03-07 00:00:00,bon rapport qualite prix,prix
V000209,74517,reclamation,2025-05-25 00:00:00,la qualite n est pas au rendez vous,produit
V000210,1151,chat,2025-11-02 00:00:00,le remboursement n arrive pas,retour
V000211,43610,avis,2026-08-16 00:00:00,bon rapport qualite prix,prix
V000212,16866,enquete,2026-02-15 00:00:00,personne ne repond au telephone,contact
V000213,3456,chat,2025-07-05 00:00:00,bon rapport qualite prix,prix
V000214,58867,avis,2026-08-15 00:00:00,les prix ont augmente,prix
V000215,55963,reclamation,2025-08-02 00:00:00,procedure de retour incomprehensible,retour
V000216,67380,reclamation,2026-03-10 00:00:00,le produit ne correspond pas a la photo,produit
V000217,52478,chat,2025-11-14 00:00:00,delai de livraison beaucoup trop long,livraison
V000218,57385,enquete,2026-06-07 00:00:00,le colis est arrive en retard,livraison
V000219,17015,chat,2026-02-10 00:00:00,conseiller tres aimable et efficace,contact
V000220,29043,enquete,2026-02-08 00:00:00,impossible de joindre le service client,contact
V000221,29791,avis,2025-10-10 00:00:00,les prix ont augmente,prix
V000222,71211,avis,2026-01-01 00:00:00,le produit ne correspond pas a la photo,produit
V000223,78794,chat,2025-07-27 00:00:00,impossible de retourner l article,retour
V000224,54840,chat,2026-04-21 00:00:00,promotion interessante ce mois ci,prix
V000225,50632,chat,2025-11-11 00:00:00,le remboursement n arrive pas,retour
V000226,74391,reclamation,2025-08-05 00:00:00,conseiller tres aimable et efficace,contact
V000227,50259,chat,2025-08-03 00:00:00,personne ne repond au telephone,contact
V000228,53233,reclamation,2025-12-26 00:00:00,procedure de retour incomprehensible,retour
V000229,78383,reclamation,2025-07-05 00:00:00,la qualite n est pas au rendez vous,produit
V000230,29859,chat,2025-04-24 00:00:00,impossible de retourner l article,retour
V000231,59352,chat,2025-12-08 00:00:00,le produit ne correspond pas a la photo,produit
V000232,54535,enquete,2026-05-18 00:00:00,livraison pas rapide du tout,livraison
V000233,5060,chat,2026-08-19 00:00:00,procedure de retour incomprehensible,retour
V000234,79273,enquete,2026-02-10 00:00:00,la qualite n est pas au rendez vous,produit
V000235,19340,chat,2026-05-27 00:00:00,livraison pas rapide du tout,livraison
V000236,35998,chat,2026-05-30 00:00:00,promotion interessante ce mois ci,prix
V000237,15996,enquete,2026-06-17 00:00:00,delai de livraison beaucoup trop long,livraison
V000238,57589,reclamation,2025-12-27 00:00:00,impossible de retourner l article,retour
V000239,42969,chat,2026-04-03 00:00:00,impossible de joindre le service client,contact
V000240,66237,avis,2026-02-01 00:00:00,procedure de retour incomprehensible,retour
V000241,74669,avis,2025-05-16 00:00:00,les prix ont augmente,prix
V000242,16355,enquete,2025-05-04 00:00:00,le remboursement n arrive pas,retour
V000243,10939,avis,2025-06-11 00:00:00,livraison pas rapide du tout,livraison
V000244,75266,reclamation,2026-04-19 00:00:00,promotion interessante ce mois ci,prix
V000245,49269,enquete,2026-06-21 00:00:00,bon rapport qualite prix,prix
V000246,68279,chat,2026-04-13 00:00:00,le produit ne correspond pas a la photo,produit
V000247,78899,chat,2026-04-01 00:00:00,bon rapport qualite prix,prix
V000248,31894,chat,2025-06-06 00:00:00,personne ne repond au telephone,contact
V000249,36105,chat,2025-09-06 00:00:00,impossible de retourner l article,retour
V000250,41796,enquete,2025-12-07 00:00:00,procedure de retour incomprehensible,retour
V000251,64942,enquete,2025-10-08 00:00:00,impossible de retourner l article,retour
V000252,18175,reclamation,2026-03-31 00:00:00,promotion interessante ce mois ci,prix
V000253,23789,avis,2026-01-19 00:00:00,livraison pas rapide du tout,livraison
V000254,74516,chat,2026-04-04 00:00:00,promotion interessante ce mois ci,prix
V000255,20709,reclamation,2025-12-20 00:00:00,impossible de retourner l article,retour
V000256,27330,reclamation,2026-06-01 00:00:00,le remboursement n arrive pas,retour
V000257,53101,enquete,2025-04-08 00:00:00,le colis est arrive en retard,livraison
V000258,6086,reclamation,2026-02-28 00:00:00,les prix ont augmente,prix
V000259,35894,enquete,2026-01-11 00:00:00,impossible de joindre le service client,contact
V000260,32257,avis,2025-12-10 00:00:00,bon rapport qualite prix,prix
V000261,29188,reclamation,2025-11-13 00:00:00,conseiller tres aimable et efficace,contact
V000262,8993,reclamation,2026-08-02 00:00:00,livraison pas rapide du tout,livraison
V000263,79063,avis,2025-10-26 00:00:00,impossible de joindre le service client,contact
V000264,62662,chat,2026-07-28 00:00:00,personne ne repond au telephone,contact
V000265,11526,reclamation,2026-01-01 00:00:00,la qualite n est pas au rendez vous,produit
V000266,39331,reclamation,2026-02-21 00:00:00,bon rapport qualite prix,prix
V000267,39027,avis,2025-11-13 00:00:00,promotion interessante ce mois ci,prix
V000268,11283,avis,2026-08-18 00:00:00,conseiller tres aimable et efficace,contact
V000269,43151,avis,2026-03-16 00:00:00,le remboursement n arrive pas,retour
V000270,4944,avis,2026-05-12 00:00:00,article conforme et solide,produit
V000271,21411,chat,2025-04-24 00:00:00,livraison pas rapide du tout,livraison
V000272,53299,enquete,2025-09-02 00:00:00,conseiller tres aimable et efficace,contact
V000273,33151,enquete,2026-06-11 00:00:00,livraison pas rapide du tout,livraison
V000274,30706,avis,2026-04-18 00:00:00,le remboursement n arrive pas,retour
V000275,46445,enquete,2025-12-03 00:00:00,impossible de retourner l article,retour
V000276,17427,chat,2026-03-13 00:00:00,le produit ne correspond pas a la photo,produit
V000277,22289,avis,2025-11-14 00:00:00,procedure de retour incomprehensible,retour
V000278,27267,avis,2025-12-30 00:00:00,conseiller tres aimable et efficace,contact
V000279,57387,avis,2025-06-22 00:00:00,article conforme et solide,produit
V000280,27962,chat,2025-07-06 00:00:00,le remboursement n arrive pas,retour
V000281,36136,avis,2026-06-29 00:00:00,conseiller tres aimable et efficace,contact
V000282,62547,enquete,2025-07-03 00:00:00,le remboursement n arrive pas,retour
V000283,41782,reclamation,2025-07-07 00:00:00,bon rapport qualite prix,prix
V000284,65998,reclamation,2025-09-18 00:00:00,conseiller tres aimable et efficace,contact
V000285,1762,chat,2026-01-04 00:00:00,bon rapport qualite prix,prix
V000286,30474,avis,2025-08-09 00:00:00,la qualite n est pas au rendez vous,produit
V000287,65216,avis,2025-08-14 00:00:00,personne ne repond au telephone,contact
V000288,21393,chat,2026-05-29 00:00:00,bon rapport qualite prix,prix
V000289,58331,reclamation,2025-05-07 00:00:00,bon rapport qualite prix,prix
V000290,68825,enquete,2026-02-06 00:00:00,impossible de joindre le service client,contact
V000291,35147,reclamation,2026-02-25 00:00:00,le produit ne correspond pas a la photo,produit
V000292,69792,avis,2025-11-11 00:00:00,la qualite n est pas au rendez vous,produit
V000293,61655,avis,2025-06-20 00:00:00,les prix ont augmente,prix
V000294,37972,chat,2025-08-01 00:00:00,personne ne repond au telephone,contact
V000295,16883,enquete,2025-06-08 00:00:00,le colis est arrive en retard,livraison
V000296,30719,avis,2026-06-17 00:00:00,article conforme et solide,produit
V000297,47974,reclamation,2025-09-23 00:00:00,livraison pas rapide du tout,livraison
V000298,14781,enquete,2026-01-29 00:00:00,le colis est arrive en retard,livraison
V000299,75315,avis,2025-12-19 00:00:00,les prix ont augmente,prix
V000300,61643,chat,2025-07-29 00:00:00,conseiller tres aimable et efficace,contact
V000301,40497,chat,2025-08-05 00:00:00,delai de livraison beaucoup trop long,livraison
V000302,24479,chat,2025-10-11 00:00:00,promotion interessante ce mois ci,prix
V000303,25421,enquete,2026-07-03 00:00:00,le remboursement n arrive pas,retour
V000304,21075,reclamation,2025-07-02 00:00:00,le remboursement n arrive pas,retour
V000305,67039,chat,2025-06-11 00:00:00,le remboursement n arrive pas,retour
V000306,24607,avis,2025-12-31 00:00:00,delai de livraison beaucoup trop long,livraison
V000307,30258,enquete,2025-07-22 00:00:00,personne ne repond au telephone,contact
V000308,35201,enquete,2025-11-23 00:00:00,le remboursement n arrive pas,retour
V000309,39576,avis,2025-11-17 00:00:00,bon rapport qualite prix,prix
V000310,39670,avis,2025-05-22 00:00:00,impossible de retourner l article,retour
V000311,36714,avis,2026-01-11 00:00:00,les prix ont augmente,prix
V000312,38965,chat,2025-06-20 00:00:00,le remboursement n arrive pas,retour
V000313,65868,reclamation,2026-04-12 00:00:00,article conforme et solide,produit
V000314,13164,avis,2026-01-31 00:00:00,delai de livraison beaucoup trop long,livraison
V000315,41162,chat,2026-06-11 00:00:00,procedure de retour incomprehensible,retour
V000316,71419,reclamation,2026-03-16 00:00:00,le produit ne correspond pas a la photo,produit
V000317,11005,enquete,2025-08-24 00:00:00,impossible de joindre le service client,contact
V000318,11786,avis,2025-12-17 00:00:00,impossible de retourner l article,retour
V000319,71887,enquete,2025-10-03 00:00:00,le produit ne correspond pas a la photo,produit
V000320,16105,chat,2025-05-12 00:00:00,le colis est arrive en retard,livraison
V000321,72532,avis,2025-06-28 00:00:00,procedure de retour incomprehensible,retour
V000322,11567,reclamation,2026-04-13 00:00:00,le remboursement n arrive pas,retour
V000323,33608,reclamation,2026-06-09 00:00:00,article conforme et solide,produit
V000324,42723,enquete,2025-08-28 00:00:00,procedure de retour incomprehensible,retour
V000325,7546,chat,2026-07-30 00:00:00,conseiller tres aimable et efficace,contact
V000326,51349,enquete,2026-07-14 00:00:00,delai de livraison beaucoup trop long,livraison
V000327,8261,chat,2026-01-27 00:00:00,le colis est arrive en retard,livraison
V000328,19506,reclamation,2025-11-02 00:00:00,promotion interessante ce mois ci,prix
V000329,27841,chat,2026-01-28 00:00:00,le colis est arrive en retard,livraison
V000330,47515,enquete,2025-04-21 00:00:00,les prix ont augmente,prix
V000331,60284,enquete,2025-07-24 00:00:00,le colis est arrive en retard,livraison
V000332,10601,enquete,2025-05-05 00:00:00,impossible de retourner l article,retour
V000333,39239,reclamation,2025-12-27 00:00:00,promotion interessante ce mois ci,prix
V000334,13952,chat,2025-04-27 00:00:00,impossible de retourner l article,retour
V000335,1531,reclamation,2025-08-11 00:00:00,article conforme et solide,produit
V000336,60363,chat,2025-10-13 00:00:00,bon rapport qualite prix,prix
V000337,4515,chat,2026-03-14 00:00:00,bon rapport qualite prix,prix
V000338,74060,reclamation,2025-11-11 00:00:00,conseiller tres aimable et efficace,contact
V000339,2381,avis,2025-11-24 00:00:00,personne ne repond au telephone,contact
V000340,25731,avis,2025-07-05 00:00:00,delai de livraison beaucoup trop long,livraison
V000341,35613,reclamation,2025-06-02 00:00:00,article conforme et solide,produit
V000342,70964,chat,2025-12-01 00:00:00,conseiller tres aimable et efficace,contact
V000343,14701,reclamation,2025-12-01 00:00:00,les prix ont augmente,prix
V000344,49319,reclamation,2025-08-04 00:00:00,les prix ont augmente,prix
V000345,52120,enquete,2025-12-24 00:00:00,conseiller tres aimable et efficace,contact
V000346,28832,reclamation,2026-06-28 00:00:00,les prix ont augmente,prix
V000347,727,avis,2025-11-13 00:00:00,la qualite n est pas au rendez vous,produit
V000348,68763,enquete,2026-02-06 00:00:00,impossible de retourner l article,retour
V000349,29053,enquete,2026-06-18 00:00:00,le produit ne correspond pas a la photo,produit
V000350,54550,reclamation,2026-05-02 00:00:00,bon rapport qualite prix,prix
V000351,49094,avis,2025-09-08 00:00:00,impossible de joindre le service client,contact
V000352,17393,avis,2025-05-15 00:00:00,impossible de joindre le service client,contact
V000353,65090,chat,2025-07-14 00:00:00,delai de livraison beaucoup trop long,livraison
V000354,28240,reclamation,2025-11-17 00:00:00,delai de livraison beaucoup trop long,livraison
V000355,41721,avis,2026-08-19 00:00:00,promotion interessante ce mois ci,prix
V000356,20480,enquete,2026-05-19 00:00:00,personne ne repond au telephone,contact
V000357,64933,avis,2025-08-11 00:00:00,le remboursement n arrive pas,retour
