questionnaire,enqueteur,grappe,strate,duree_min,lat,lon,age,straightlining,prob_inclusion,repondant,sexe,milieu,compte_bancaire,nb_corrections,distance_grappe_m,heure_debut,rang_dans_journee,classe_age,menage_id,invalide,poids_final
Q000034,E042,79,6,45.4,4.344985796907399,18.42782076455102,32,0.238,0.0431,1,F,Rural,oui,3,36.0,8,2,15a34,Q000034,0,23.2
Q000035,E067,11,3,28.3,4.345939004950141,18.600106385928825,27,0.595,0.0613,1,F,Rural,non,1,284.0,15,2,15a34,Q000035,0,16.31
Q000036,E005,48,3,33.5,4.413718534112745,18.668673426244215,21,0.032,0.0227,1,F,Rural,non,1,340.0,15,1,15a34,Q000036,0,44.05
Q000037,E065,75,3,24.5,4.332408946114003,18.636042199891303,25,0.355,0.0783,1,H,Rural,non,1,1048.0,16,3,15a34,Q000037,0,12.77
Q000038,E063,86,4,25.6,4.389753284212846,18.588649368979194,29,0.113,0.0544,1,H,Urbain,oui,1,373.0,10,6,15a34,Q000038,0,18.38
Q000039,E021,105,6,28.2,4.302941195650319,18.611171759238566,40,0.089,0.029,1,F,Rural,non,0,10.0,9,8,35plus,Q000039,0,34.48
Q000040,E048,98,4,25.4,4.37650225558841,18.507519804673016,43,0.033,0.0175,1,H,Urbain,non,2,553.0,14,6,35plus,Q000040,0,57.14
Q000041,E013,63,2,12.6,4.405134582677461,18.56201657525579,17,0.023,0.0506,1,H,Rural,oui,1,5.0,12,8,15a34,Q000041,1,19.76
Q000042,E057,37,6,46.2,4.4302548196766285,18.542500942584766,31,0.125,0.0497,1,H,Urbain,oui,1,397.0,18,1,15a34,Q000042,0,20.12
Q000043,E053,32,4,33.7,4.282543528156017,18.526642097406878,20,0.092,0.0269,1,H,Rural,oui,3,761.0,15,5,15a34,Q000043,1,37.17
Q000044,E027,120,5,39.5,4.345165156079008,18.599414934418622,27,0.056,0.0362,1,F,Urbain,non,1,66.0,16,4,15a34,Q000044,0,27.62
Q000045,E006,73,3,41.6,4.439918172744138,18.54012527339222,32,0.218,0.0457,1,H,Rural,oui,1,166.0,8,1,15a34,Q000045,0,21.88
Q000046,E073,110,2,26.2,4.406093445430793,18.45728426389717,45,0.231,0.0663,0,F,Urbain,non,0,412.0,17,1,35plus,Q000046,0,15.08
Q000047,E034,53,6,28.2,4.350049401030996,18.57192318221519,30,0.066,0.075,1,F,Urbain,non,2,787.0,17,5,15a34,Q000047,1,13.33
Q000048,E067,59,5,39.4,4.36019045382346,18.548613160739308,37,0.103,0.0715,1,H,Rural,non,1,79.0,14,7,35plus,Q000048,0,13.99
Q000049,E051,100,2,10.7,4.374850936088661,18.584656595071035,14,0.462,0.0332,1,F,Rural,non,1,720.0,18,3,moins15,Q000049,1,30.12
Q000050,E059,87,6,38.9,4.341350916060993,18.52951425848207,13,0.292,0.0752,0,F,Rural,non,1,1524.0,16,3,moins15,Q000050,0,13.3
Q000051,E057,25,1,45.7,4.387357515612391,18.46385925022203,27,0.22,0.0355,1,F,Rural,non,1,333.0,13,3,15a34,Q000051,0,28.17
Q000052,E015,63,6,23.8,4.384525441576514,18.501281803028863,81,0.248,0.0189,1,F,Rural,oui,1,71.0,16,3,35plus,Q000052,0,52.91
Q000053,E028,26,4,31.5,4.304260958554471,18.504233698429836,19,0.415,0.0273,1,H,Rural,non,3,191.0,7,7,15a34,Q000053,0,36.63
Q000054,E036,92,4,32.6,4.3355113997498265,18.49861809669462,33,0.125,0.0487,0,F,Rural,oui,1,39.0,14,8,15a34,Q000054,0,20.53
Q000055,E038,4,1,30.3,4.337295650797843,18.521866791839667,37,0.133,0.0551,0,H,Urbain,non,1,917.0,18,4,35plus,Q000055,0,18.15
Q000056,E004,100,2,29.7,4.347223868449032,18.586362112814342,31,0.078,0.0399,1,H,Rural,non,3,250.0,9,4,15a34,Q000056,0,25.06
Q000057,E041,112,5,30.6,4.373493818503671,18.480938119000875,22,0.166,0.064,1,H,Rural,oui,3,125.0,18,1,15a34,Q000057,0,15.62
Q000058,E012,3,4,33.9,4.369023704666131,18.59415171875229,39,0.138,0.0169,1,F,Rural,non,1,269.0,18,4,35plus,Q000058,0,59.17
Q000059,E056,76,1,35.2,4.324012210430026,18.48651326567735,15,0.374,0.0715,1,F,Urbain,non,1,16.0,10,7,15a34,Q000059,1,13.99
Q000060,E052,10,4,40.7,4.427013736256956,18.53094388358017,36,0.385,0.0643,1,F,Rural,oui,2,178.0,12,2,35plus,Q000060,0,15.55
Q000061,E070,44,5,33.8,4.360252808391119,18.54821824615963,22,0.118,0.0471,1,H,Rural,oui,0,595.0,7,5,15a34,Q000061,0,21.23
Q000062,E056,41,2,41.8,4.433180953163953,18.53501584815068,45,0.064,0.0229,1,H,Rural,non,0,165.0,14,7,35plus,Q000062,0,43.67
Q000063,E028,63,5,29.9,4.432009334520764,18.58109367567632,5,0.11,0.0664,0,F,Rural,oui,3,338.0,10,4,moins15,Q000063,1,15.06
Q000064,E073,111,6,25.6,4.3070398417284,18.54457974123412,29,0.337,0.0675,0,H,Rural,non,1,675.0,18,8,15a34,Q000064,0,14.81
Q000065,E031,56,3,31.9,4.335483067055795,18.542155226141812,15,0.387,0.0273,1,F,Rural,non,3,358.0,13,6,moins15,Q000065,1,36.63
Q000066,E025,48,2,37.2,4.3391367327566215,18.431180629237854,43,0.045,0.0114,1,H,Rural,non,1,79.0,15,3,35plus,Q000066,0,87.72
Q000067,E068,12,6,40.0,4.375665527000098,18.570037674244467,43,0.207,0.0164,1,F,Rural,non,2,606.0,13,6,35plus,Q000067,0,60.98
Q000068,E028,107,6,7.6,4.396320450101847,18.643932854641847,0,0.106,0.0313,0,F,Rural,non,0,44.0,12,3,moins15,Q000068,1,31.95
Q000069,E006,38,3,36.0,4.367346317169465,18.525403477594782,10,0.104,0.0187,0,H,Urbain,non,2,579.0,10,2,moins15,Q000069,1,53.48
Q000070,E036,56,3,39.3,4.332454756544628,18.58302435754431,44,0.117,0.0798,1,F,Rural,non,1,197.0,12,5,35plus,Q000070,0,12.53
Q000071,E060,12,6,43.6,4.442580184239416,18.50880918219722,28,0.144,0.0122,1,H,Urbain,non,1,267.0,14,6,15a34,Q000071,0,81.97
Q000072,E015,35,1,28.5,4.338078671772397,18.599270012913298,40,0.065,0.0212,1,H,Rural,non,2,151.0,17,7,35plus,Q000072,0,47.17
Q000073,E035,67,2,32.5,4.397091426832763,18.575947510703173,30,0.033,0.0623,1,F,Rural,non,1,502.0,16,1,15a34,Q000073,0,16.05
Q000074,E010,109,4,53.4,4.358141869841782,18.531670725627745,33,0.049,0.0785,1,F,Rural,oui,0,586.0,15,6,15a34,Q000074,0,12.74
Q000075,E052,40,4,40.0,4.356741656012318,18.528376944925604,45,0.199,0.063,1,H,Rural,oui,0,1441.0,15,2,35plus,Q000075,0,15.87
Q000076,E036,68,4,37.6,4.393687616728516,18.5822672637479,13,0.166,0.0346,1,H,Rural,non,0,504.0,11,1,moins15,Q000076,0,28.9
Q000077,E025,106,3,40.3,4.437150132198592,18.552045924999398,24,0.198,0.062,1,H,Urbain,non,1,12.0,11,7,15a34,Q000077,0,16.13
Q000078,E018,44,6,24.7,4.375249575051411,18.48843139439623,15,0.236,0.0704,1,F,Urbain,oui,2,158.0,15,2,15a34,Q000078,0,14.2
Q000079,E043,36,4,29.5,4.335558315283444,18.47359723903786,35,0.234,0.0476,0,H,Rural,non,1,853.0,18,8,35plus,Q000079,0,21.01
Q000080,E051,6,4,26.9,4.43400362597385,18.579412222800176,11,0.35,0.0776,1,F,Rural,non,0,853.0,17,1,moins15,Q000080,0,12.89
Q000081,E071,109,6,36.9,4.384692226590467,18.511845572098615,44,0.197,0.0642,1,F,Rural,non,1,42.0,18,6,35plus,Q000081,0,15.58
Q000082,E033,14,1,31.4,4.368518136596366,18.551763845011568,22,0.064,0.0519,1,H,Rural,non,1,193.0,15,2,15a34,Q000082,0,19.27
Q000083,E013,26,5,34.7,4.411383731142577,18.57940469809277,40,0.24,0.053,1,H,Rural,non,2,69.0,11,7,35plus,Q000083,1,18.87
Q000084,E063,17,6,31.8,4.376110937317743,18.489876745483684,19,0.01,0.0116,1,H,Rural,non,0,297.0,11,2,15a34,Q000084,0,86.21
Q000085,E048,85,4,22.6,4.482847626045586,18.49928929275792,43,0.207,0.0654,1,H,Urbain,non,1,79.0,11,1,35plus,Q000085,0,15.29
Q000086,E053,44,4,40.2,4.360092858618515,18.631131746215924,48,0.506,0.045,1,H,Rural,non,1,14.0,16,6,35plus,Q000086,0,22.22
Q000087,E008,85,3,21.7,4.417482656249869,18.529385584471015,42,0.078,0.0297,1,H,Rural,oui,1,71.0,11,5,35plus,Q000087,0,33.67
Q000088,E024,73,2,28.9,4.382099409237157,18.600950048490134,17,0.256,0.0596,1,H,Rural,oui,1,616.0,13,5,15a34,Q000088,0,16.78
Q000089,E058,2,4,24.8,4.381934232740493,18.675363424254556,52,0.034,0.0404,1,H,Rural,oui,0,12.0,8,7,35plus,Q000089,0,24.75
Q000090,E063,37,6,27.8,4.341896154355771,18.56195957651233,41,0.198,0.0386,1,H,Rural,oui,0,14.0,10,4,35plus,Q000090,0,25.91
Q000091,E033,1,3,35.4,4.342144282898986,18.50689838070216,21,0.154,0.0535,0,H,Rural,oui,1,658.0,8,1,15a34,Q000091,0,18.69
Q000092,E061,8,1,42.6,4.384831585619939,18.556351463798187,35,0.036,0.0297,1,H,Rural,oui,1,133.0,13,3,35plus,Q000092,0,33.67
Q000093,E064,57,3,7.7,4.316586934644018,18.540560834143164,54,0.163,0.0397,1,F,Rural,oui,1,12.0,17,2,35plus,Q000093,1,25.19
Q000094,E030,32,1,30.1,4.331222560343121,18.553356841306698,15,0.35,0.0346,1,F,Rural,non,2,297.0,13,8,15a34,Q000094,1,28.9
Q000095,E068,11,6,21.8,4.360764915270336,18.585854504870433,17,0.24,0.0767,1,H,Rural,oui,2,217.0,8,1,15a34,Q000095,0,13.04
Q000096,E022,50,4,29.8,4.42201863830183,18.5915805326522,29,0.608,0.0731,1,H,Rural,oui,0,187.0,7,4,15a34,Q000096,0,13.68
Q000097,E018,55,2,34.5,4.364026606085886,18.44976184481145,10,0.457,0.0473,1,H,Rural,non,0,20.0,17,2,moins15,Q000097,1,21.14
Q000098,E052,120,4,39.4,4.363234566053049,18.609497582568835,32,0.321,0.0475,0,H,Urbain,oui,1,497.0,16,5,15a34,Q000098,0,21.05
Q000099,E048,80,4,19.2,4.307069233406161,18.563681941409847,41,0.305,0.0536,0,F,Rural,non,0,1192.0,12,4,35plus,Q000099,0,18.66
Q000100,E011,48,4,37.9,4.444784367187639,18.521322065581884,33,0.172,0.0267,0,F,Urbain,non,0,237.0,9,8,15a34,Q000100,0,37.45
Q000101,E063,57,4,27.2,4.415355798605502,18.58670750993982,20,0.084,0.0359,1,F,Urbain,oui,1,856.0,10,1,15a34,Q000101,0,27.86
Q000102,E015,11,6,25.5,4.420985242164229,18.49747673705664,44,0.055,0.0788,1,F,Urbain,non,2,516.0,18,2,35plus,Q000102,0,12.69
Q000103,E061,47,6,34.5,4.287367303319059,18.499806577056475,28,0.074,0.0483,0,H,Rural,oui,0,229.0,16,4,15a34,Q000103,0,20.7
Q000104,E001,70,2,38.4,4.3775776459727,18.602948845555705,19,0.085,0.0233,1,F,Rural,oui,3,21.0,14,1,15a34,Q000104,0,42.92
Q000105,E060,3,2,33.3,4.313087267602986,18.55335124200057,35,0.321,0.0568,1,F,Rural,oui,0,111.0,10,7,15a34,Q000105,1,17.61
Q000106,E060,111,6,26.3,4.398581471022563,18.628384470042473,49,0.306,0.065,1,H,Rural,non,1,84.0,17,7,35plus,Q000106,0,15.38
Q000107,E059,62,4,33.3,4.376084609198751,18.51569294339258,22,0.126,0.0516,0,H,Urbain,non,1,13.0,11,2,15a34,Q000107,0,19.38
Q000108,E050,95,1,28.9,4.38594151624026,18.56456690455122,55,0.144,0.07,0,F,Rural,non,1,192.0,12,3,35plus,Q000108,0,14.29
Q000109,E036,34,4,38.2,4.324169466481765,18.56937044337278,32,0.021,0.0553,1,H,Urbain,oui,1,242.0,7,3,15a34,Q000109,0,18.08
Q000110,E053,101,1,41.5,4.3612,18.5551,32,0.366,0.0679,1,F,Urbain,oui,2,14.0,8,5,15a34,Q000110,1,14.73
Q000111,E021,45,1,41.1,4.327963601775035,18.581037664636906,32,0.193,0.0168,1,H,Rural,oui,2,827.0,16,8,15a34,Q000111,0,59.52
Q000112,E059,112,2,33.9,4.375390021167111,18.572980654085065,22,0.23,0.0722,1,F,Rural,non,3,982.0,14,1,15a34,Q000112,0,13.85
Q000113,E042,63,2,41.9,4.347888534405318,18.55095889673809,11,0.321,0.0745,1,F,Rural,oui,1,180.0,12,3,moins15,Q000113,0,13.42
Q000114,E035,77,1,26.9,4.3726580014254965,18.452919613474933,60,0.311,0.0121,1,H,Rural,non,2,37.0,9,3,35plus,Q000114,0,82.64
Q000115,E038,25,6,46.5,4.308801435266776,18.593208589315946,13,0.293,0.0176,1,F,Urbain,non,0,59.0,16,3,moins15,Q000115,0,56.82
Q000116,E043,120,3,26.8,4.359673198599415,18.431309592584984,49,0.94,0.0337,1,F,Urbain,oui,0,542.0,17,6,35plus,Q000116,1,29.67
Q000117,E003,24,4,19.8,4.429755153644282,18.48831469645832,56,0.083,0.0473,1,H,Rural,oui,0,157.0,7,8,35plus,Q000117,0,21.14
Q000118,E011,4,6,43.6,4.376616796762479,18.514765626967517,20,0.094,0.0564,1,H,Rural,non,1,93.0,17,6,15a34,Q000118,0,17.73
Q000119,E019,53,6,29.0,4.379745376513286,18.59515959687271,40,0.064,0.017,1,F,Rural,non,0,729.0,14,1,35plus,Q000119,0,58.82
Q000120,E009,101,5,34.8,4.380145508705408,18.53888888534251,40,0.022,0.0538,1,F,Rural,oui,1,117.0,16,8,35plus,Q000120,1,18.59
Q000121,E033,111,2,26.8,4.334403515283828,18.643747612292376,41,0.315,0.0474,1,F,Rural,non,1,61.0,16,5,35plus,Q000121,0,21.1
Q000122,E051,103,5,50.5,4.441587001698808,18.480660192936647,21,0.178,0.0567,1,H,Rural,non,1,203.0,15,3,15a34,Q000122,0,17.64
Q000123,E050,67,6,46.8,4.37785120142322,18.495017449537364,25,0.099,0.054,1,H,Urbain,non,4,261.0,18,7,15a34,Q000123,0,18.52
Q000124,E036,111,1,44.8,4.3688600463147935,18.43747779569112,43,0.054,0.03,0,H,Urbain,non,0,665.0,15,5,35plus,Q000124,0,33.33
Q000125,E065,60,6,34.6,4.394348669118564,18.49266128111542,6,0.286,0.0419,0,F,Urbain,non,0,64.0,11,2,moins15,Q000125,0,23.87
Q000126,E043,58,6,40.9,4.407034693329025,18.51836856878218,0,0.209,0.0437,1,F,Urbain,non,4,557.0,10,2,moins15,Q000126,0,22.88
Q000127,E006,22,6,33.6,4.297719795205748,18.623246823851474,32,0.187,0.0445,1,H,Rural,oui,1,1081.0,11,3,15a34,Q000127,0,22.47
Q000128,E058,95,3,41.9,4.362818155663485,18.60228905998323,29,0.057,0.0195,1,F,Urbain,non,1,79.0,7,1,15a34,Q000128,0,51.28
Q000129,E044,38,2,31.1,4.471759068314755,18.56192252930177,33,0.181,0.0152,0,H,Rural,oui,3,226.0,9,6,15a34,Q000129,0,65.79
Q000130,E048,24,5,45.1,4.442765671767966,18.534437835009424,20,0.103,0.0544,1,H,Rural,non,2,660.0,7,1,15a34,Q000130,0,18.38
Q000131,E043,45,4,30.8,4.354679875641663,18.588236175313565,42,0.254,0.0612,1,H,Urbain,non,0,168.0,16,6,35plus,Q000131,0,16.34
Q000132,E042,73,5,31.6,4.396399963166559,18.613637886613184,43,0.264,0.067,1,F,Urbain,non,1,46.0,10,8,35plus,Q000132,0,14.93
Q000133,E007,33,2,30.7,4.343669574248807,18.517662817000712,33,0.123,0.0603,1,H,Urbain,non,5,102.0,18,3,15a34,Q000133,0,16.58
Q000134,E042,44,2,35.3,4.377683215891115,18.522638681270664,11,0.205,0.0531,1,H,Urbain,non,0,368.0,11,8,moins15,Q000134,0,18.83
Q000135,E060,40,6,31.3,4.3370842155263,18.528426750502998,46,0.078,0.0638,1,F,Urbain,non,2,576.0,17,2,35plus,Q000135,0,15.67
Q000136,E023,72,4,37.4,4.33623590497341,18.463275183315524,4,0.425,0.062,1,H,Rural,non,2,412.0,15,3,moins15,Q000136,0,16.13
Q000137,E046,86,6,30.6,4.330407269456335,18.61054668753893,10,0.43,0.0377,1,H,Rural,non,1,1.0,13,2,moins15,Q000137,1,26.53
Q000138,E003,82,6,39.5,4.444116065365769,18.520829421406066,42,0.262,0.0543,1,H,Rural,oui,1,118.0,8,5,35plus,Q000138,0,18.42
Q000139,E027,17,3,44.6,4.335977563995957,18.53553271292016,14,0.215,0.0474,0,H,Urbain,non,1,192.0,7,7,moins15,Q000139,0,21.1
Q000140,E033,42,2,34.5,4.4170885421053985,18.62279910227172,19,0.14,0.0274,1,F,Urbain,oui,0,174.0,17,5,15a34,Q000140,0,36.5
Q000141,E074,78,6,49.5,4.338416862335946,18.5230199971595,33,0.055,0.0562,1,F,Urbain,non,0,6.0,12,4,15a34,Q000141,0,17.79
Q000142,E017,26,5,41.9,4.332693011906166,18.61330354312404,44,0.326,0.0185,1,F,Urbain,oui,1,20.0,8,2,35plus,Q000142,0,54.05
Q000143,E021,9,4,49.0,4.379470270980921,18.462590986810415,39,0.298,0.0137,1,H,Urbain,non,1,771.0,13,2,35plus,Q000143,0,72.99
Q000144,E031,39,6,33.6,4.295063351731571,18.57807221641589,50,0.319,0.0751,1,H,Rural,non,2,292.0,9,1,35plus,Q000144,0,13.32
Q000145,E075,82,2,22.4,4.393233323258968,18.527726640056045,24,0.291,0.0287,1,H,Rural,oui,2,636.0,18,2,15a34,Q000145,0,34.84
Q000146,E065,80,3,29.1,4.353193509701411,18.471030115159735,18,0.152,0.051,1,F,Urbain,non,1,181.0,8,3,15a34,Q000146,0,19.61
Q000147,E003,16,1,29.8,4.332462030146256,18.493224550939495,11,0.353,0.0301,1,F,Urbain,oui,0,94.0,7,8,moins15,Q000147,0,33.22
Q000148,E018,82,3,27.3,4.3217257902790225,18.557020049641366,32,0.261,0.0771,1,F,Rural,oui,2,8.0,10,7,15a34,Q000148,0,12.97
Q000149,E062,24,3,18.6,4.458566808157977,18.502001955966925,35,0.163,0.0271,1,H,Rural,non,3,483.0,18,3,35plus,Q000149,0,36.9
Q000150,E005,89,3,41.2,4.358284483104702,18.569150274185343,67,0.107,0.0397,0,F,Rural,oui,0,389.0,14,6,35plus,Q000150,0,25.19
Q000151,E065,68,1,21.0,4.3561760782928465,18.512733269084737,40,0.296,0.0248,1,F,Rural,non,1,782.0,12,1,35plus,Q000151,1,40.32
Q000152,E022,16,5,40.5,4.403647574416055,18.469028171849374,5,0.166,0.071,1,F,Urbain,non,1,29.0,12,7,moins15,Q000152,0,14.08
Q000153,E069,43,3,49.3,4.317917713397858,18.59849041351641,48,0.064,0.014,0,F,Rural,non,0,42.0,12,5,35plus,Q000153,0,71.43
Q000154,E023,99,3,28.6,4.416714879544152,18.564719794392534,18,0.195,0.0679,1,F,Urbain,non,0,216.0,15,4,15a34,Q000154,0,14.73
Q000155,E033,52,6,36.7,4.358212901235067,18.459849522335862,11,0.362,0.0776,0,H,Urbain,oui,3,147.0,13,7,moins15,Q000155,0,12.89
Q000156,E050,83,3,31.2,4.290811509767734,18.582652268661235,46,0.065,0.054,1,H,Urbain,oui,0,477.0,15,5,35plus,Q000156,0,18.52
Q000157,E010,90,6,39.8,4.333475328928882,18.55610969725996,43,0.29,0.0636,1,F,Urbain,oui,1,233.0,8,8,35plus,Q000157,0,15.72
Q000158,E042,4,2,25.6,4.305242121207215,18.528420867574166,47,0.072,0.0305,1,F,Urbain,oui,0,28.0,9,6,35plus,Q000158,0,32.79
Q000159,E038,112,6,33.1,4.364057681931808,18.53040349875804,21,0.276,0.0369,1,F,Rural,non,0,140.0,11,6,15a34,Q000159,0,27.1
Q000160,E059,41,6,41.8,4.320320445369991,18.617021071908425,64,0.209,0.0113,0,H,Rural,non,0,22.0,14,8,35plus,Q000160,0,88.5
Q000161,E075,96,5,33.7,4.314814944028824,18.56595576321385,44,0.128,0.0603,1,H,Rural,non,0,305.0,9,8,35plus,Q000161,0,16.58
Q000162,E050,57,6,22.6,4.374610069908393,18.6194580041754,15,0.045,0.0448,1,H,Rural,oui,1,423.0,18,1,15a34,Q000162,1,22.32
Q000163,E031,70,5,42.7,4.362196704716676,18.57378894471748,64,0.105,0.0627,1,H,Rural,non,0,0.0,13,2,35plus,Q000163,0,15.95
Q000164,E031,44,4,24.9,4.420457841428584,18.561742039297584,39,0.048,0.0758,1,F,Rural,non,1,718.0,14,4,35plus,Q000164,0,13.19
Q000165,E032,103,5,34.6,4.418242516576001,18.5121354506659,30,0.26,0.0323,0,F,Urbain,non,0,189.0,15,4,15a34,Q000165,0,30.96
Q000166,E062,15,6,38.1,4.363068351942752,18.55788962085679,22,0.193,0.0107,1,F,Rural,non,2,807.0,17,5,15a34,Q000166,0,93.46
Q000167,E025,108,4,34.8,4.3849824116652965,18.60105003598165,0,0.148,0.0216,1,H,Rural,non,3,56.0,17,5,moins15,Q000167,0,46.3
Q000168,E013,25,5,51.8,4.28962361396387,18.554060931121338,42,0.323,0.019,1,F,Urbain,non,0,953.0,9,7,35plus,Q000168,0,52.63
Q000169,E026,106,1,39.1,4.3948020472247284,18.646819495079477,21,0.127,0.0213,1,H,Rural,oui,2,1260.0,9,6,15a34,Q000169,0,46.95
Q000170,E002,3,6,32.6,4.38053507506737,18.60097530125961,27,0.201,0.0147,1,F,Rural,non,0,196.0,12,6,15a34,Q000170,0,68.03
Q000171,E008,2,5,38.2,4.407703980565915,18.490087875856748,29,0.025,0.01,1,F,Rural,non,2,173.0,18,8,15a34,Q000171,0,100.0
Q000172,E007,12,1,35.5,4.3612,18.5551,18,0.173,0.0699,0,H,Urbain,non,3,262.0,17,1,15a34,Q000172,1,14.31
Q000173,E058,66,2,34.3,4.345124298075691,18.583666744038545,38,0.065,0.0421,1,F,Rural,oui,0,501.0,14,3,35plus,Q000173,0,23.75
Q000174,E055,32,2,35.7,4.345436558076289,18.47365267837458,18,0.208,0.0593,0,F,Rural,oui,0,346.0,15,1,15a34,Q000174,0,16.86
Q000175,E053,72,2,31.0,4.431729210495815,18.54417723058219,5,0.291,0.0361,1,F,Urbain,oui,1,53.0,14,4,moins15,Q000175,1,27.7
