client_id,satisfaction,date_enquete
5038,10.0,2026-06-15
37778,8.0,2026-06-15
34678,7.0,2026-06-15
28187,10.0,2026-06-15
32638,8.0,2026-06-15
37992,6.0,2026-06-15
5022,8.0,2026-06-15
49998,8.0,2026-06-15
880,10.0,2026-06-15
51730,8.0,2026-06-15
15060,8.0,2026-06-15
34791,10.0,2026-06-15
21547,8.0,2026-06-15
62903,7.0,2026-06-15
54041,8.0,2026-06-15
13251,9.0,2026-06-15
21187,7.0,2026-06-15
26343,5.0,2026-06-15
22548,7.0,2026-06-15
13309,7.0,2026-06-15
40118,9.0,2026-06-15
31092,7.0,2026-06-15
67299,7.0,2026-06-15
23016,8.0,2026-06-15
14624,10.0,2026-06-15
44431,7.0,2026-06-15
64160,4.0,2026-06-15
39090,9.0,2026-06-15
55764,7.0,2026-06-15
17672,9.0,2026-06-15
60861,8.0,2026-06-15
52806,9.0,2026-06-15
43584,5.0,2026-06-15
73506,8.0,2026-06-15
29456,7.0,2026-06-15
43498,9.0,2026-06-15
12045,8.0,2026-06-15
48142,5.0,2026-06-15
911,8.0,2026-06-15
60834,6.0,2026-06-15
58312,9.0,2026-06-15
37337,9.0,2026-06-15
43200,10.0,2026-06-15
69264,8.0,2026-06-15
10557,7.0,2026-06-15
35927,9.0,2026-06-15
54014,9.0,2026-06-15
79156,9.0,2026-06-15
74166,8.0,2026-06-15
1679,8.0,2026-06-15
72318,8.0,2026-06-15
45888,8.0,2026-06-15
6800,8.0,2026-06-15
59576,6.0,2026-06-15
73809,6.0,2026-06-15
37352,6.0,2026-06-15
61832,10.0,2026-06-15
59465,8.0,2026-06-15
42528,6.0,2026-06-15
69606,6.0,2026-06-15
75956,4.0,2026-06-15
60477,8.0,2026-06-15
22277,6.0,2026-06-15
71917,6.0,2026-06-15
68511,8.0,2026-06-15
33920,9.0,2026-06-15
14162,7.0,2026-06-15
17169,5.0,2026-06-15
37600,7.0,2026-06-15
10108,7.0,2026-06-15
49131,7.0,2026-06-15
872,7.0,2026-06-15
4629,9.0,2026-06-15
23959,8.0,2026-06-15
42561,8.0,2026-06-15
17395,6.0,2026-06-15
25298,7.0,2026-06-15
78615,10.0,2026-06-15
10127,7.0,2026-06-15
24620,8.0,2026-06-15
51115,8.0,2026-06-15
17469,7.0,2026-06-15
38064,7.0,2026-06-15
7722,7.0,2026-06-15
67991,8.0,2026-06-15
5184,10.0,2026-06-15
71314,8.0,2026-06-15
32333,7.0,2026-06-15
42824,10.0,2026-06-15
27798,8.0,2026-06-15
61446,8.0,2026-06-15
29234,8.0,2026-06-15
74840,8.0,2026-06-15
25624,5.0,2026-06-15
45383,9.0,2026-06-15
9694,8.0,2026-06-15
77491,9.0,2026-06-15
64225,6.0,2026-06-15
25307,9.0,2026-06-15
62758,7.0,2026-06-15
43860,6.0,2026-06-15
35296,6.0,2026-06-15
25973,7.0,2026-06-15
55580,6.0,2026-06-15
20817,8.0,2026-06-15
44994,8.0,2026-06-15
51914,9.0,2026-06-15
76089,7.0,2026-06-15
12419,8.0,2026-06-15
47580,8.0,2026-06-15
7158,10.0,2026-06-15
7849,9.0,2026-06-15
56837,9.0,2026-06-15
8028,6.0,2026-06-15
65470,9.0,2026-06-15
17817,6.0,2026-06-15
51615,8.0,2026-06-15
9329,5.0,2026-06-15
56092,7.0,2026-06-15
76592,8.0,2026-06-15
15899,8.0,2026-06-15
43419,7.0,2026-06-15
53857,6.0,2026-06-15
78752,7.0,2026-06-15
79529,7.0,2026-06-15
28736,8.0,2026-06-15
51789,6.0,2026-06-15
32508,10.0,2026-06-15
77150,7.0,2026-06-15
50175,6.0,2026-06-15
39600,7.0,2026-06-15
21379,8.0,2026-06-15
40678,7.0,2026-06-15
41679,9.0,2026-06-15
40752,8.0,2026-06-15
2747,7.0,2026-06-15
25654,9.0,2026-06-15
21983,6.0,2026-06-15
68968,7.0,2026-06-15
23291,6.0,2026-06-15
8806,10.0,2026-06-15
35384,8.0,2026-06-15
32218,9.0,2026-06-15
3244,8.0,2026-06-15
34691,7.0,2026-06-15
72294,8.0,2026-06-15
20819,10.0,2026-06-15
3741,9.0,2026-06-15
9443,7.0,2026-06-15
4199,6.0,2026-06-15
9498,9.0,2026-06-15
21941,7.0,2026-06-15
72158,6.0,2026-06-15
56578,8.0,2026-06-15
24816,8.0,2026-06-15
34751,10.0,2026-06-15
59867,8.0,2026-06-15
72572,8.0,2026-06-15
68953,8.0,2026-06-15
24388,8.0,2026-06-15
34829,7.0,2026-06-15
25586,6.0,2026-06-15
37811,7.0,2026-06-15
16408,7.0,2026-06-15
79488,8.0,2026-06-15
47290,6.0,2026-06-15
36041,9.0,2026-06-15
70075,4.0,2026-06-15
40952,7.0,2026-06-15
44142,9.0,2026-06-15
25473,7.0,2026-06-15
19589,7.0,2026-06-15
20895,9.0,2026-06-15
28575,8.0,2026-06-15
29399,8.0,2026-06-15
9230,7.0,2026-06-15
16474,7.0,2026-06-15
21364,7.0,2026-06-15
65908,10.0,2026-06-15
18164,9.0,2026-06-15
69817,7.0,2026-06-15
8777,10.0,2026-06-15
40688,8.0,2026-06-15
10794,7.0,2026-06-15
25180,7.0,2026-06-15
5503,6.0,2026-06-15
51863,8.0,2026-06-15
78511,10.0,2026-06-15
4957,8.0,2026-06-15
65778,7.0,2026-06-15
35013,10.0,2026-06-15
29862,6.0,2026-06-15
73495,6.0,2026-06-15
58410,7.0,2026-06-15
32942,9.0,2026-06-15
67621,6.0,2026-06-15
79684,6.0,2026-06-15
46863,8.0,2026-06-15
7434,9.0,2026-06-15
19702,9.0,2026-06-15
24231,7.0,2026-06-15
55395,10.0,2026-06-15
73539,9.0,2026-06-15
23693,9.0,2026-06-15
38335,8.0,2026-06-15
61938,7.0,2026-06-15
5580,9.0,2026-06-15
832,10.0,2026-06-15
66833,9.0,2026-06-15
64919,8.0,2026-06-15
6771,7.0,2026-06-15
79972,6.0,2026-06-15
33317,9.0,2026-06-15
20940,7.0,2026-06-15
9226,8.0,2026-06-15
21967,7.0,2026-06-15
37203,9.0,2026-06-15
75515,5.0,2026-06-15
71687,7.0,2026-06-15
63416,7.0,2026-06-15
68863,6.0,2026-06-15
9157,7.0,2026-06-15
19460,8.0,2026-06-15
14800,7.0,2026-06-15
23793,9.0,2026-06-15
20559,7.0,2026-06-15
30810,6.0,2026-06-15
55022,9.0,2026-06-15
5720,6.0,2026-06-15
50697,9.0,2026-06-15
58351,9.0,2026-06-15
40151,8.0,2026-06-15
7983,10.0,2026-06-15
58207,6.0,2026-06-15
27135,9.0,2026-06-15
19511,7.0,2026-06-15
22310,7.0,2026-06-15
48049,8.0,2026-06-15
20313,7.0,2026-06-15
34068,6.0,2026-06-15
55352,6.0,2026-06-15
76587,6.0,2026-06-15
50237,8.0,2026-06-15
73649,6.0,2026-06-15
58078,6.0,2026-06-15
13944,8.0,2026-06-15
15974,6.0,2026-06-15
73617,10.0,2026-06-15
5895,9.0,2026-06-15
74894,7.0,2026-06-15
45406,7.0,2026-06-15
4419,9.0,2026-06-15
60413,8.0,2026-06-15
71728,8.0,2026-06-15
16950,7.0,2026-06-15
39349,9.0,2026-06-15
65570,10.0,2026-06-15
696,8.0,2026-06-15
23644,6.0,2026-06-15
74737,8.0,2026-06-15
33523,7.0,2026-06-15
15864,8.0,2026-06-15
69470,7.0,2026-06-15
31144,8.0,2026-06-15
38535,8.0,2026-06-15
3091,9.0,2026-06-15
20935,7.0,2026-06-15
12028,8.0,2026-06-15
31450,6.0,2026-06-15
56043,9.0,2026-06-15
56811,9.0,2026-06-15
27027,9.0,2026-06-15
32053,7.0,2026-06-15
36746,6.0,2026-06-15
38762,8.0,2026-06-15
79884,8.0,2026-06-15
10558,10.0,2026-06-15
67785,6.0,2026-06-15
4961,10.0,2026-06-15
5551,8.0,2026-06-15
57332,6.0,2026-06-15
74759,9.0,2026-06-15
74997,7.0,2026-06-15
5638,9.0,2026-06-15
11263,8.0,2026-06-15
35620,10.0,2026-06-15
46346,7.0,2026-06-15
67490,6.0,2026-06-15
57258,9.0,2026-06-15
13638,6.0,2026-06-15
35780,8.0,2026-06-15
52601,8.0,2026-06-15
48060,9.0,2026-06-15
75280,9.0,2026-06-15
60691,10.0,2026-06-15
79945,9.0,2026-06-15
24417,8.0,2026-06-15
55811,9.0,2026-06-15
73472,6.0,2026-06-15
17012,8.0,2026-06-15
54785,8.0,2026-06-15
72095,10.0,2026-06-15
45022,6.0,2026-06-15
3098,7.0,2026-06-15
22304,10.0,2026-06-15
29883,10.0,2026-06-15
59746,8.0,2026-06-15
61563,7.0,2026-06-15
62575,8.0,2026-06-15
51342,6.0,2026-06-15
76448,8.0,2026-06-15
48272,6.0,2026-06-15
69000,7.0,2026-06-15
68366,7.0,2026-06-15
13345,8.0,2026-06-15
79698,8.0,2026-06-15
45893,8.0,2026-06-15
29841,7.0,2026-06-15
69574,6.0,2026-06-15
64848,9.0,2026-06-15
14996,7.0,2026-06-15
66381,5.0,2026-06-15
56778,7.0,2026-06-15
47998,10.0,2026-06-15
27363,10.0,2026-06-15
385,8.0,2026-06-15
62747,6.0,2026-06-15
20071,10.0,2026-06-15
54032,7.0,2026-06-15
59733,8.0,2026-06-15
46070,9.0,2026-06-15
28091,7.0,2026-06-15
8030,9.0,2026-06-15
69853,9.0,2026-06-15
79171,8.0,2026-06-15
11890,5.0,2026-06-15
5413,5.0,2026-06-15
55711,8.0,2026-06-15
63529,7.0,2026-06-15
3958,7.0,2026-06-15
73834,10.0,2026-06-15
76271,7.0,2026-06-15
18665,7.0,2026-06-15
51749,9.0,2026-06-15
27287,7.0,2026-06-15
79202,7.0,2026-06-15
5790,9.0,2026-06-15
29094,9.0,2026-06-15
78316,7.0,2026-06-15
36769,7.0,2026-06-15
76375,8.0,2026-06-15
56133,7.0,2026-06-15
30014,7.0,2026-06-15
23530,7.0,2026-06-15
57541,7.0,2026-06-15
66730,9.0,2026-06-15
67354,9.0,2026-06-15
70204,9.0,2026-06-15
71954,7.0,2026-06-15
15027,8.0,2026-06-15
39077,10.0,2026-06-15
41964,10.0,2026-06-15
33674,4.0,2026-06-15
24213,8.0,2026-06-15
6056,10.0,2026-06-15
39224,7.0,2026-06-15
9418,7.0,2026-06-15
43165,9.0,2026-06-15
48958,5.0,2026-06-15
70527,7.0,2026-06-15
61081,10.0,2026-06-15
25348,7.0,2026-06-15
827,7.0,2026-06-15
30649,7.0,2026-06-15
72675,8.0,2026-06-15
65665,6.0,2026-06-15
47530,10.0,2026-06-15
64709,8.0,2026-06-15
63205,8.0,2026-06-15
38058,10.0,2026-06-15
49546,8.0,2026-06-15
27721,7.0,2026-06-15
72738,9.0,2026-06-15
53046,8.0,2026-06-15
16383,7.0,2026-06-15
1262,6.0,2026-06-15
1793,6.0,2026-06-15
17057,7.0,2026-06-15
27998,8.0,2026-06-15
29039,5.0,2026-06-15
23385,8.0,2026-06-15
12494,6.0,2026-06-15
881,6.0,2026-06-15
64879,7.0,2026-06-15
41511,9.0,2026-06-15
60120,9.0,2026-06-15
63845,6.0,2026-06-15
48277,8.0,2026-06-15
27037,10.0,2026-06-15
32904,9.0,2026-06-15
50365,6.0,2026-06-15
27803,7.0,2026-06-15
25025,8.0,2026-06-15
42855,8.0,2026-06-15
22942,9.0,2026-06-15
47087,8.0,2026-06-15
8638,6.0,2026-06-15
7903,7.0,2026-06-15
53176,6.0,2026-06-15
64824,9.0,2026-06-15
76706,7.0,2026-06-15
78634,8.0,2026-06-15
58705,7.0,2026-06-15
13195,9.0,2026-06-15
16335,8.0,2026-06-15
52275,7.0,2026-06-15
5008,7.0,2026-06-15
69222,7.0,2026-06-15
76467,7.0,2026-06-15
70166,10.0,2026-06-15
27369,9.0,2026-06-15
78940,6.0,2026-06-15
63006,9.0,2026-06-15
59558,9.0,2026-06-15
12849,9.0,2026-06-15
71784,6.0,2026-06-15
20027,7.0,2026-06-15
61174,9.0,2026-06-15
4322,6.0,2026-06-15
76353,9.0,2026-06-15
9995,7.0,2026-06-15
50105,8.0,2026-06-15
29394,8.0,2026-06-15
31347,8.0,2026-06-15
66599,6.0,2026-06-15
75866,6.0,2026-06-15
54999,8.0,2026-06-15
62969,5.0,2026-06-15
50650,7.0,2026-06-15
3459,8.0,2026-06-15
5949,8.0,2026-06-15
7269,5.0,2026-06-15
55415,8.0,2026-06-15
78150,6.0,2026-06-15
22949,8.0,2026-06-15
31230,8.0,2026-06-15
47638,9.0,2026-06-15
58006,9.0,2026-06-15
3626,10.0,2026-06-15
74427,7.0,2026-06-15
41360,7.0,2026-06-15
72578,7.0,2026-06-15
11385,9.0,2026-06-15
59367,5.0,2026-06-15
49909,7.0,2026-06-15
45583,7.0,2026-06-15
61367,8.0,2026-06-15
75772,7.0,2026-06-15
32953,7.0,2026-06-15
2661,9.0,2026-06-15
25834,8.0,2026-06-15
75960,10.0,2026-06-15
59916,6.0,2026-06-15
16736,9.0,2026-06-15
63334,10.0,2026-06-15
64257,6.0,2026-06-15
79837,8.0,2026-06-15
16348,8.0,2026-06-15
46458,8.0,2026-06-15
41333,4.0,2026-06-15
58182,7.0,2026-06-15
66548,8.0,2026-06-15
62152,7.0,2026-06-15
35299,6.0,2026-06-15
25409,7.0,2026-06-15
69856,4.0,2026-06-15
59767,9.0,2026-06-15
24358,6.0,2026-06-15
75968,7.0,2026-06-15
20175,10.0,2026-06-15
52085,10.0,2026-06-15
20873,10.0,2026-06-15
41945,6.0,2026-06-15
59197,6.0,2026-06-15
79622,8.0,2026-06-15
47130,7.0,2026-06-15
7791,7.0,2026-06-15
1247,7.0,2026-06-15
22411,7.0,2026-06-15
70322,7.0,2026-06-15
70534,7.0,2026-06-15
77045,8.0,2026-06-15
42836,9.0,2026-06-15
79997,6.0,2026-06-15
10273,9.0,2026-06-15
54291,8.0,2026-06-15
30770,10.0,2026-06-15
52672,9.0,2026-06-15
71079,6.0,2026-06-15
41619,8.0,2026-06-15
12315,5.0,2026-06-15
38501,8.0,2026-06-15
60953,5.0,2026-06-15
3610,6.0,2026-06-15
10847,5.0,2026-06-15
70753,9.0,2026-06-15
33260,6.0,2026-06-15
68600,8.0,2026-06-15
70439,8.0,2026-06-15
59680,9.0,2026-06-15
59226,8.0,2026-06-15
5795,9.0,2026-06-15
57453,8.0,2026-06-15
58243,10.0,2026-06-15
62643,6.0,2026-06-15
56638,8.0,2026-06-15
54964,7.0,2026-06-15
37997,8.0,2026-06-15
61997,9.0,2026-06-15
8518,8.0,2026-06-15
23836,9.0,2026-06-15
65848,6.0,2026-06-15
39741,6.0,2026-06-15
33074,8.0,2026-06-15
68539,5.0,2026-06-15
75416,7.0,2026-06-15
12967,5.0,2026-06-15
630,7.0,2026-06-15
33944,10.0,2026-06-15
69978,6.0,2026-06-15
72889,8.0,2026-06-15
62540,6.0,2026-06-15
22194,7.0,2026-06-15
36163,9.0,2026-06-15
29635,5.0,2026-06-15
28944,9.0,2026-06-15
46073,7.0,2026-06-15
47641,8.0,2026-06-15
21810,8.0,2026-06-15
73804,8.0,2026-06-15
16809,10.0,2026-06-15
55655,5.0,2026-06-15
35918,9.0,2026-06-15
59995,10.0,2026-06-15
15600,7.0,2026-06-15
3569,6.0,2026-06-15
34026,8.0,2026-06-15
5651,10.0,2026-06-15
51164,7.0,2026-06-15
71221,8.0,2026-06-15
67901,9.0,2026-06-15
633,6.0,2026-06-15
53389,7.0,2026-06-15
39580,5.0,2026-06-15
31982,6.0,2026-06-15
72091,7.0,2026-06-15
70317,7.0,2026-06-15
60611,10.0,2026-06-15
57325,6.0,2026-06-15
65920,10.0,2026-06-15
18052,6.0,2026-06-15
28344,9.0,2026-06-15
10091,8.0,2026-06-15
59229,9.0,2026-06-15
27430,8.0,2026-06-15
78095,8.0,2026-06-15
18113,5.0,2026-06-15
49223,7.0,2026-06-15
28620,7.0,2026-06-15
60245,6.0,2026-06-15
79478,6.0,2026-06-15
42590,8.0,2026-06-15
41587,7.0,2026-06-15
62473,7.0,2026-06-15
29060,8.0,2026-06-15
56412,7.0,2026-06-15
22406,5.0,2026-06-15
5901,8.0,2026-06-15
682,7.0,2026-06-15
52943,7.0,2026-06-15
5822,6.0,2026-06-15
42671,7.0,2026-06-15
43402,6.0,2026-06-15
19818,10.0,2026-06-15
55694,6.0,2026-06-15
60672,9.0,2026-06-15
4220,7.0,2026-06-15
56725,8.0,2026-06-15
64601,8.0,2026-06-15
68856,7.0,2026-06-15
69436,7.0,2026-06-15
65494,6.0,2026-06-15
59773,8.0,2026-06-15
18567,6.0,2026-06-15
4600,10.0,2026-06-15
70603,8.0,2026-06-15
44504,10.0,2026-06-15
66119,10.0,2026-06-15
46598,8.0,2026-06-15
13152,7.0,2026-06-15
35990,9.0,2026-06-15
47019,7.0,2026-06-15
21510,7.0,2026-06-15
79933,6.0,2026-06-15
43950,6.0,2026-06-15
54624,9.0,2026-06-15
13075,8.0,2026-06-15
10975,9.0,2026-06-15
78482,5.0,2026-06-15
51529,8.0,2026-06-15
46934,7.0,2026-06-15
60739,10.0,2026-06-15
35735,7.0,2026-06-15
22997,7.0,2026-06-15
45563,8.0,2026-06-15
76321,7.0,2026-06-15
17147,7.0,2026-06-15
18531,8.0,2026-06-15
60442,6.0,2026-06-15
30108,9.0,2026-06-15
35070,8.0,2026-06-15
4573,8.0,2026-06-15
17025,9.0,2026-06-15
26229,4.0,2026-06-15
53883,7.0,2026-06-15
63180,9.0,2026-06-15
40990,6.0,2026-06-15
21642,7.0,2026-06-15
44831,7.0,2026-06-15
48515,6.0,2026-06-15
50545,7.0,2026-06-15
2087,6.0,2026-06-15
63157,9.0,2026-06-15
46657,8.0,2026-06-15
20780,9.0,2026-06-15
39887,6.0,2026-06-15
62593,5.0,2026-06-15
64863,5.0,2026-06-15
46621,7.0,2026-06-15
13516,7.0,2026-06-15
2871,5.0,2026-06-15
72523,7.0,2026-06-15
56116,8.0,2026-06-15
35957,10.0,2026-06-15
14893,7.0,2026-06-15
60627,10.0,2026-06-15
51064,6.0,2026-06-15
8385,7.0,2026-06-15
10112,5.0,2026-06-15
6687,8.0,2026-06-15
30128,6.0,2026-06-15
29893,9.0,2026-06-15
78356,10.0,2026-06-15
10472,9.0,2026-06-15
75388,9.0,2026-06-15
73689,7.0,2026-06-15
70301,10.0,2026-06-15
40284,5.0,2026-06-15
34435,8.0,2026-06-15
41837,10.0,2026-06-15
40039,4.0,2026-06-15
19478,7.0,2026-06-15
38465,8.0,2026-06-15
44259,5.0,2026-06-15
52070,7.0,2026-06-15
61527,6.0,2026-06-15
62420,10.0,2026-06-15
48075,10.0,2026-06-15
35425,5.0,2026-06-15
31309,8.0,2026-06-15
27544,8.0,2026-06-15
21952,8.0,2026-06-15
59461,7.0,2026-06-15
77406,8.0,2026-06-15
44168,8.0,2026-06-15
62078,6.0,2026-06-15
43456,4.0,2026-06-15
37387,6.0,2026-06-15
48533,8.0,2026-06-15
40815,6.0,2026-06-15
43274,10.0,2026-06-15
66669,9.0,2026-06-15
49089,7.0,2026-06-15
26812,8.0,2026-06-15
64996,8.0,2026-06-15
3358,8.0,2026-06-15
45233,5.0,2026-06-15
60631,9.0,2026-06-15
44271,7.0,2026-06-15
69325,9.0,2026-06-15
3797,5.0,2026-06-15
53753,9.0,2026-06-15
65495,7.0,2026-06-15
21808,6.0,2026-06-15
38696,4.0,2026-06-15
70124,10.0,2026-06-15
50260,8.0,2026-06-15
57717,9.0,2026-06-15
58173,9.0,2026-06-15
40603,7.0,2026-06-15
11562,7.0,2026-06-15
2262,8.0,2026-06-15
39589,7.0,2026-06-15
77171,7.0,2026-06-15
13540,8.0,2026-06-15
64655,7.0,2026-06-15
8817,9.0,2026-06-15
5478,5.0,2026-06-15
61296,7.0,2026-06-15
60282,10.0,2026-06-15
23015,6.0,2026-06-15
44772,4.0,2026-06-15
47734,10.0,2026-06-15
78350,6.0,2026-06-15
64837,8.0,2026-06-15
4599,9.0,2026-06-15
8704,10.0,2026-06-15
43724,8.0,2026-06-15
57055,8.0,2026-06-15
33972,9.0,2026-06-15
49494,9.0,2026-06-15
63483,7.0,2026-06-15
49872,7.0,2026-06-15
34418,6.0,2026-06-15
28017,7.0,2026-06-15
2268,8.0,2026-06-15
13128,8.0,2026-06-15
42390,7.0,2026-06-15
25652,8.0,2026-06-15
28781,8.0,2026-06-15
27554,7.0,2026-06-15
48264,8.0,2026-06-15
71503,6.0,2026-06-15
18057,8.0,2026-06-15
31578,5.0,2026-06-15
33092,6.0,2026-06-15
70250,7.0,2026-06-15
50371,7.0,2026-06-15
70562,6.0,2026-06-15
23552,6.0,2026-06-15
63343,8.0,2026-06-15
3697,8.0,2026-06-15
22077,8.0,2026-06-15
51836,5.0,2026-06-15
66611,8.0,2026-06-15
33869,8.0,2026-06-15
48148,5.0,2026-06-15
56779,7.0,2026-06-15
74494,5.0,2026-06-15
24423,10.0,2026-06-15
63094,8.0,2026-06-15
74521,10.0,2026-06-15
13154,9.0,2026-06-15
22438,7.0,2026-06-15
71765,9.0,2026-06-15
75399,9.0,2026-06-15
54196,7.0,2026-06-15
8249,9.0,2026-06-15
45360,6.0,2026-06-15
37763,9.0,2026-06-15
17541,6.0,2026-06-15
34826,8.0,2026-06-15
50274,6.0,2026-06-15
11711,10.0,2026-06-15
38770,9.0,2026-06-15
30966,8.0,2026-06-15
11644,9.0,2026-06-15
64867,9.0,2026-06-15
45325,8.0,2026-06-15
19143,9.0,2026-06-15
79178,9.0,2026-06-15
48373,7.0,2026-06-15
54091,7.0,2026-06-15
14674,9.0,2026-06-15
47686,7.0,2026-06-15
12463,6.0,2026-06-15
18865,6.0,2026-06-15
70653,7.0,2026-06-15
38463,9.0,2026-06-15
58463,7.0,2026-06-15
66350,7.0,2026-06-15
166,9.0,2026-06-15
9365,8.0,2026-06-15
46832,9.0,2026-06-15
75252,5.0,2026-06-15
60599,7.0,2026-06-15
5810,7.0,2026-06-15
11437,7.0,2026-06-15
31091,5.0,2026-06-15
11008,9.0,2026-06-15
13870,8.0,2026-06-15
19665,8.0,2026-06-15
58842,10.0,2026-06-15
67626,9.0,2026-06-15
34846,6.0,2026-06-15
73253,7.0,2026-06-15
23023,8.0,2026-06-15
23420,8.0,2026-06-15
5074,8.0,2026-06-15
6644,5.0,2026-06-15
34615,8.0,2026-06-15
59300,8.0,2026-06-15
61533,8.0,2026-06-15
29633,9.0,2026-06-15
3122,8.0,2026-06-15
37159,7.0,2026-06-15
69066,7.0,2026-06-15
52700,7.0,2026-06-15
45914,6.0,2026-06-15
78865,10.0,2026-06-15
48168,8.0,2026-06-15
53635,8.0,2026-06-15
40812,6.0,2026-06-15
14620,9.0,2026-06-15
54253,5.0,2026-06-15
55440,9.0,2026-06-15
79005,7.0,2026-06-15
67475,8.0,2026-06-15
30506,7.0,2026-06-15
9761,6.0,2026-06-15
40421,10.0,2026-06-15
27604,7.0,2026-06-15
32061,7.0,2026-06-15
32493,7.0,2026-06-15
74929,7.0,2026-06-15
27087,10.0,2026-06-15
60870,6.0,2026-06-15
39594,7.0,2026-06-15
25886,7.0,2026-06-15
7322,9.0,2026-06-15
20168,8.0,2026-06-15
58534,6.0,2026-06-15
46830,9.0,2026-06-15
65085,7.0,2026-06-15
13541,7.0,2026-06-15
58191,8.0,2026-06-15
59416,9.0,2026-06-15
76105,8.0,2026-06-15
22919,7.0,2026-06-15
20546,10.0,2026-06-15
77440,8.0,2026-06-15
8179,7.0,2026-06-15
4861,5.0,2026-06-15
47288,8.0,2026-06-15
15408,7.0,2026-06-15
43001,8.0,2026-06-15
79217,9.0,2026-06-15
73825,8.0,2026-06-15
62247,8.0,2026-06-15
15221,8.0,2026-06-15
15772,8.0,2026-06-15
53200,9.0,2026-06-15
34517,8.0,2026-06-15
