"fournisseur","categorie","volume_annuel","duree_accord","taux_service","part_marque_nationale","exercice","negociateur","taux_remise","attendu","borne_basse","ecart","signale","enjeu_euros"
"F0036","A",1647644,12,0.983,0.233,2025,"N17",33.23,33.7970681300206,31.8312122267148,-0.567068130020566,FALSE,9343.26402019605
"F0037","E",748994,12,0.894,0.233,2025,"N32",32.06,32.3376788598585,30.3724845003953,-0.277678859858511,FALSE,2079.79799960866
"F0038","E",156217,36,0.945,0.261,2024,"N18",30.25,30.5325297414671,28.5685981400157,-0.28252974146713,FALSE,441.359486227706
"F0039","C",1200909,12,0.863,0.458,2025,"N17",34.58,33.7857282216476,31.8197328428025,0.794271778352353,FALSE,0
"F0040","C",153240,24,0.954,0.406,2024,"N29",31.79,30.7784828042898,28.8152508941923,1.01151719571019,FALSE,0
"F0041","B",57265,24,0.962,0.539,2025,"N30",28.42,29.5239173711124,27.5603768818229,-1.1039173711124,FALSE,632.158282567517
"F0042","B",165574,24,1,0.098,2025,"N18",29.65,30.0570442811809,28.0924052620773,-0.407044281180902,FALSE,673.959498122466
"F0043","B",474414,12,0.979,0.504,2025,"N26",33.93,32.5798842152215,30.6152215016295,1.35011578477851,FALSE,0
"F0044","D",23234,12,0.885,0.542,2026,"N32",25.89,27.632317404164,25.6676242634059,-1.74231740416403,FALSE,404.81002568347
"F0045","B",388721,36,0.94,0.475,2024,"N37",32.86,32.6363663465269,30.672249474795,0.223633653473065,FALSE,0
"F0046","E",368868,12,0.971,0.488,2025,"N30",31.41,32.0656221639049,30.1011796721994,-0.655622163904869,FALSE,2418.38036355261
"F0047","B",540751,36,0.907,0.231,2025,"N13",32.25,32.4168859251118,30.452323314736,-0.166885925111792,FALSE,902.437308901268
"F0048","C",162093,36,0.912,0.341,2025,"N33",30.44,30.8719872192547,28.9082107229908,-0.431987219254729,FALSE,700.221043306569
"F0049","B",345329,36,0.936,0.311,2025,"N07",30.89,31.9781884188861,30.0141821269883,-1.08818841888615,FALSE,3757.83018505534
"F0050","D",11671,12,0.939,0.26,2026,"N03",27.33,25.8385357679451,23.8737782961119,1.49146423205495,FALSE,0
"F0051","B",86189,24,0.869,0.306,2026,"N20",31.61,29.2991895975949,27.3351432188578,2.31081040240515,FALSE,0
"F0052","E",317266,24,0.95,0.475,2025,"N24",32.73,32.013473280521,30.0497992050613,0.716526719478978,FALSE,0
"F0053","D",180160,36,0.981,0.767,2024,"N23",31.97,32.3081736549534,30.3431615199885,-0.338173654953444,FALSE,609.253656764124
"F0054","A",129305,36,0.924,0.789,2025,"N12",33.24,31.7022887542271,29.7374375152236,1.53771124577289,FALSE,0
"F0055","E",21236,36,0.957,0.404,2024,"N38",29.13,27.7599812192549,25.7956149329556,1.37001878074511,FALSE,0
"F0056","C",76992,24,0.962,0.404,2025,"N28",30.2,29.6853476576713,27.7220799826889,0.514652342328741,FALSE,0
"F0057","D",11957,12,0.943,0.408,2024,"N08",24.8,26.3494128496149,24.384992970421,-1.5494128496149,FALSE,185.263294428454
"F0058","E",70728,24,0.909,0.347,2026,"N22",30.42,29.122528371607,27.1591162907688,1.29747162839298,FALSE,0
"F0059","B",140679,24,0.91,0.186,2026,"N31",30.48,29.8244266041778,27.8606841323879,0.65557339582217,FALSE,0
"F0060","A",51020,24,1,0.16,2026,"N07",27.56,28.2733775522271,26.3089116494059,-0.713377552227058,FALSE,363.965227146245
"F0061","D",168518,24,1,0.264,2024,"N27",29.67,30.557153748296,28.5933395777092,-0.887153748295997,FALSE,1495.01375355345
"F0062","B",95709,36,0.861,0.297,2026,"N12",27.28,29.6922346104566,27.7275612577221,-2.41223461045664,TRUE,2308.72562332195
"F0063","A",276361,24,0.911,0.731,2024,"N32",32.06,32.4657499843586,30.5014726338571,-0.405749984358593,FALSE,1121.33471427325
"F0064","C",62634,24,0.961,0.414,2026,"N13",29.14,29.332324695195,27.3690453103385,-0.192324695195008,FALSE,120.460649588442
"F0065","C",14024,24,0.947,0.608,2026,"N15",26.31,27.4535180802995,25.4891820380686,-1.1435180802995,FALSE,160.366975581201
"F0066","D",21144,12,1,0.828,2026,"N38",29.13,28.503241464929,26.5370147941165,0.626758535070977,FALSE,0
"F0067","E",38392,12,0.89,0.572,2025,"N33",30.36,28.5231604902509,26.5585775437406,1.83683950974905,FALSE,0
"F0068","C",95631,36,0.965,0.592,2026,"N09",30.94,30.7840885300941,28.820114884493,0.155911469905895,FALSE,0
"F0069","B",107763,24,0.951,0.326,2025,"N09",31.26,29.9171939180445,27.953926902416,1.3428060819555,FALSE,0
"F0070","C",39663,12,0.945,0.331,2025,"N32",27.48,28.1195172077828,26.1555888037866,-0.639517207782806,FALSE,253.651710122894
"F0071","A",110163,36,0.899,0.329,2024,"N36",30.81,30.1046346808966,28.1407202908764,0.705365319103386,FALSE,0
"F0072","A",44025,24,0.891,0.175,2026,"N34",24.8,27.8728734890311,25.9087052393628,-3.0728734890311,TRUE,1352.83255354594
"F0073","A",208985,12,0.923,0.701,2025,"N06",30.73,31.6909236997773,29.7265237817897,-0.96092369977729,FALSE,2008.18639397957
"F0074","D",19787,24,0.839,0.404,2025,"N28",27.45,27.2140637260743,25.2488284295959,0.235936273925656,FALSE,0
"F0075","E",392365,36,1,0.562,2025,"N15",34.3,32.9588231313607,30.993684552046,1.3411768686393,FALSE,0
"F0076","B",137301,36,0.949,0.356,2024,"N02",30,30.6513442946723,28.6876274974848,-0.651344294672295,FALSE,894.302230028008
"F0077","A",61427,24,0.995,0.73,2024,"N29",28.7,30.212429074312,28.2479041634725,-1.51242907431203,FALSE,929.039807477651
"F0078","A",27362,36,0.952,0.651,2026,"N29",28.55,28.8304097200116,26.8657163434277,-0.280409720011608,FALSE,76.7257075895762
"F0079","A",193101,24,1,0.234,2024,"N38",28.76,30.6624226538799,28.6983799106671,-1.90242265387989,FALSE,3673.5971688686
"F0080","E",49167,24,0.955,0.425,2026,"N24",30.38,28.8463497952789,26.8829107588151,1.53365020472111,FALSE,0
"F0081","A",219421,12,0.948,0.726,2024,"N21",33,31.8864564436443,29.9219438335751,1.11354355635573,FALSE,0
"F0082","D",909857,24,1,0.471,2026,"N02",34.77,33.7926522451758,31.8278075030723,0.977347754824201,FALSE,0
"F0083","D",125953,36,0.98,0.679,2024,"N33",29.73,31.4853318678147,29.5208682135307,-1.75533186781467,FALSE,2210.89314746861
"F0084","C",137744,36,1,0.259,2026,"N34",31.74,30.4987072326644,28.5342365175821,1.2412927673356,FALSE,0
"F0085","C",199076,24,0.949,0.306,2026,"N17",30.37,30.8587496364038,28.8954078588345,-0.488749636403767,FALSE,972.983226167164
"F0086","D",55523,12,0.949,0.761,2026,"N29",30.01,29.7651313805979,27.8003926644211,0.244868619402066,FALSE,0
"F0087","E",1076097,36,0.981,0.61,2024,"N38",34.61,34.6741676489921,32.708475221981,-0.0641676489921181,FALSE,690.506145774713
"F0088","C",83013,12,0.953,0.711,2026,"N28",29.17,30.3379833742361,28.3736516312711,-1.16798337423612,FALSE,969.578038454626
"F0089","D",247933,24,0.954,0.158,2025,"N28",29.75,30.7908386847507,28.8270479921959,-1.04083868475071,FALSE,2580.58257626299
"F0090","A",164095,12,0.973,0.116,2025,"N35",29.16,29.7532538213741,27.7887469600231,-0.59325382137413,FALSE,973.499858183879
"F0091","E",55221,24,0.882,0.518,2025,"N15",29.32,29.2042126128213,27.2402540409548,0.115787387178724,FALSE,0
"F0092","D",570554,24,0.935,0.216,2026,"N01",33.19,32.2048043312974,30.240765479964,0.985195668702559,FALSE,0
"F0093","D",176928,24,0.969,0.358,2024,"N05",31.42,30.8407884712943,28.8775398891894,0.579211528705706,FALSE,0
"F0094","D",52413,12,0.901,0.101,2024,"N05",26.77,27.7744614355502,25.8099422251239,-1.0044614355502,FALSE,526.468372214929
"F0095","B",53124,36,0.881,0.097,2026,"N39",28.14,28.2245283294346,26.259504371714,-0.0845283294346437,FALSE,44.9048297288601
"F0096","D",11684,24,0.822,0.525,2026,"N29",25.96,26.6295133425103,24.6630674967303,-0.669513342510317,FALSE,78.2259389389055
"F0097","E",32631,12,0.916,0.292,2025,"N28",29.12,27.5245934189639,25.5603899259719,1.59540658103608,FALSE,0
"F0098","C",319631,36,0.919,0.141,2024,"N35",31.78,31.4106390374664,29.4460736044866,0.369360962533626,FALSE,0
"F0099","B",325554,24,0.912,0.652,2024,"N36",31.3,32.5312608354301,30.5671011649215,-1.23126083543007,FALSE,4008.41890017602
"F0100","E",39271,36,1,0.317,2026,"N19",29.12,28.5334430342268,26.5686915854562,0.586556965773177,FALSE,0
"F0101","D",252375,24,1,0.34,2025,"N27",32.57,31.4181478724351,29.4541555921486,1.15185212756487,FALSE,0
"F0102","E",385901,36,0.895,0.454,2026,"N23",30.25,32.3811415825884,30.416766213369,-2.13114158258845,TRUE,8224.09667862465
"F0103","D",304721,36,0.887,0.115,2024,"N18",29.01,31.1389522214095,29.1741499462376,-2.12895222140949,TRUE,6487.36449860122
"F0104","E",539138,24,0.952,0.482,2024,"N26",32.01,32.886336068284,30.922336309763,-0.876336068284019,FALSE,4724.66075182509
"F0105","D",12546,24,0.968,0.831,2025,"N14",27.39,27.928998587937,25.9632059402933,-0.538998587937026,FALSE,67.6227628425793
"F0106","B",154622,24,0.891,0.432,2025,"N15",31.77,30.6801184581892,28.7165754514624,1.08988154181082,FALSE,0
"F0107","D",38946,24,0.912,0.603,2025,"N23",29.48,28.9967957567622,27.0330317994662,0.483204243237825,FALSE,0
"F0108","B",272074,24,0.948,0.304,2025,"N30",33.47,31.3335784123123,29.370079014997,2.13642158768766,FALSE,0
"F0109","E",50094,24,0.852,0.796,2026,"N29",30.03,29.724401168399,27.7586479188942,0.305598831601035,FALSE,0
"F0110","C",136799,36,0.889,0.296,2024,"N31",30.35,30.4298814088391,28.4657318405135,-0.0798814088390749,FALSE,109.276968477766
"F0111","C",344158,24,0.96,0.701,2026,"N14",31.01,32.8673454830825,30.9032276384952,-1.85734548308254,FALSE,6392.2030676672
"F0112","D",18426,36,0.978,0.344,2026,"N30",26.2,27.4114846037098,25.4468674981475,-1.21148460370976,FALSE,223.228153079561
"F0113","B",55110,12,0.934,0.685,2025,"N19",27.4,29.5543234007931,27.5898827964046,-2.15432340079308,TRUE,1187.24762617707
"F0114","A",51600,24,0.921,0.441,2024,"N28",32.43,28.9803698927702,27.0171153608017,3.44963010722984,FALSE,0
"F0115","D",113384,36,0.977,0.828,2025,"N04",30.85,31.7303471702781,29.7649155277127,-0.880347170278135,FALSE,998.172835548161
"F0116","C",18012,36,0.935,0.366,2025,"N11",27.35,27.4654982254206,25.5011612710793,-0.115498225420634,FALSE,20.8035403627646
"F0117","D",297360,12,0.867,0.784,2024,"N32",33.46,32.4117227924668,30.4458116658628,1.04827720753321,FALSE,0
"F0118","C",1153060,36,0.959,0.298,2026,"N31",31.98,33.9352012513326,31.9701985106871,-1.95520125133264,FALSE,22544.6435486161
"F0119","C",82079,24,0.991,0.224,2026,"N13",29,29.2881034929542,27.3241953079522,-0.288103492954228,FALSE,236.472465981901
"F0120","A",211094,36,0.959,0.23,2024,"N04",30.54,30.9819124012835,29.0178497602788,-0.441912401283457,FALSE,932.8505643653
"F0121","D",4725,24,0.919,0.205,2025,"N32",26.29,24.5115555929525,22.5460619452087,1.77844440704753,FALSE,0
"F0122","C",26632,12,0.92,0.519,2025,"N35",28.34,27.9626154000586,25.9984174039598,0.37738459994139,FALSE,0
"F0123","A",244039,12,0.871,0.457,2024,"N03",33.68,31.15464763818,29.1901109620485,2.52535236182004,FALSE,0
"F0124","B",156024,24,0.879,0.417,2025,"N22",29.24,30.6296798386941,28.6659464403302,-1.38967983869412,FALSE,2168.23407152412
"F0125","A",242265,36,0.908,0.428,2026,"N19",32.17,31.6143778339993,29.6503890933243,0.555622166000724,FALSE,0
"F0126","E",534252,36,0.918,0.033,2025,"N09",30.82,31.8106832154648,29.8452604786017,-0.990683215464774,FALSE,5292.74489228486
"F0127","B",121254,36,0.904,0.271,2024,"N01",29.87,30.1279825455819,28.1640302657284,-0.257982545581889,FALSE,312.814155819864
"F0128","A",80498,12,0.934,0.127,2026,"N04",30.53,28.5206226847739,26.5563348631867,2.00937731522605,FALSE,0
"F0129","D",61361,24,0.931,0.289,2025,"N22",26.64,28.878251398491,26.914989283319,-2.23825139849101,TRUE,1373.41344062807
"F0130","E",120742,24,0.95,0.198,2025,"N27",30.03,29.6866780542808,27.7230371782999,0.343321945719222,FALSE,0
"F0131","B",8442,36,0.86,0.453,2025,"N35",26.8,26.2872240157008,24.3213145738939,0.512775984299214,FALSE,0
"F0132","E",618064,36,0.972,0.443,2024,"N11",33.67,33.2990861350102,31.3343872087388,0.370913864989845,FALSE,0
"F0133","B",7822,24,1,0.325,2026,"N10",25.93,25.7560433596727,23.7906142679476,0.173956640327308,FALSE,0
"F0134","C",15598,36,0.942,0.691,2026,"N38",27.13,28.1134875976751,26.1484364963533,-0.983487597675147,FALSE,153.404395485369
"F0135","D",111999,12,0.986,0.22,2025,"N37",28.04,29.486863354741,27.5226215441942,-1.44686335474099,FALSE,1620.47248867637
"F0136","A",315491,12,0.946,0.25,2026,"N24",30.02,31.0777320058981,29.1136312424877,-1.05773200589806,FALSE,3337.04928272786
"F0137","A",196965,36,0.848,0.782,2025,"N23",33.03,32.2130027679586,30.2469468166692,0.816997232041423,FALSE,0
"F0138","D",610497,36,0.993,0.756,2025,"N21",34.37,34.2556111279395,32.2896975534845,0.114388872060516,FALSE,0
"F0139","C",60066,12,0.931,0.168,2026,"N21",30.76,28.2511029778357,26.2868612303448,2.5088970221643,FALSE,0
"F0140","A",46714,36,0.866,0.194,2024,"N24",30.4,28.2879475731233,26.3229879565327,2.11205242687667,FALSE,0
"F0141","E",195082,24,0.841,0.345,2025,"N14",28.9,30.6623083786834,28.6974664044916,-1.76230837868338,FALSE,3437.94643130312
"F0142","B",26213,36,0.975,0.313,2026,"N16",28.53,27.8781078645949,25.9136304172228,0.651892135405095,FALSE,0
"F0143","B",128653,24,0.967,0.111,2025,"N30",29.31,29.6268541824917,27.6628388328437,-0.316854182491717,FALSE,407.642411401069
"F0144","D",184725,24,0.91,0.392,2024,"N37",30.21,30.8937593290237,28.9305151541557,-0.683759329023687,FALSE,1263.07442053901
"F0145","B",142386,36,0.906,0.756,2026,"N38",31.11,31.7045310887111,29.7396904413753,-0.59453108871109,FALSE,846.529035972172
"F0146","C",8719,24,0.979,0.802,2026,"N20",27.36,27.2981660412571,25.3322071228092,0.0618339587428771,FALSE,0
"F0147","D",75134,24,0.932,0.656,2024,"N28",32.07,30.2363448235178,28.272762521902,1.83365517648219,FALSE,0
"F0148","C",8589,36,0.911,0.176,2025,"N40",23.99,25.6993291776509,23.7337461513761,-1.70932917765088,FALSE,146.814283068434
"F0149","C",275529,36,0.884,0.23,2025,"N22",31.21,31.3568955503008,29.3923767686291,-0.14689555030078,FALSE,404.739840788236
"F0150","B",58361,12,0.932,0.211,2024,"N39",27.59,28.3093986291048,26.345328636557,-0.719398629104766,FALSE,419.848233931833
"F0151","E",323569,12,0.845,0.166,2025,"N26",30.39,30.7116776025688,28.7457946580506,-0.321677602568759,FALSE,1040.84900185571
"F0152","A",476319,36,0.99,0.054,2025,"N39",31.73,31.8498297328883,29.8842128215748,-0.119829732888313,FALSE,570.771785396283
"F0153","A",19594,24,0.936,0.574,2025,"N02",25.55,27.8314939171244,25.8675116243347,-2.28149391712443,TRUE,447.03591812136
"F0154","B",293320,24,0.941,0.712,2025,"N23",33.51,32.5880091552046,30.6237755028539,0.921990844795381,FALSE,0
"F0155","D",158260,36,0.887,0.528,2026,"N10",30.46,31.2021135706533,29.237935575889,-0.742113570653316,FALSE,1174.46893691594
"F0156","E",588516,12,0.935,0.456,2026,"N34",33.59,32.6074463602449,30.6430335354544,0.982553639755132,FALSE,0
"F0157","C",21714,12,0.899,0.293,2024,"N03",27.89,26.960097626855,24.9955083587792,0.92990237314504,FALSE,0
"F0158","E",21411,24,0.921,0.709,2024,"N22",27.47,28.2969217498991,26.332308948562,-0.826921749899149,FALSE,177.052215870907
"F0159","D",38361,36,0.871,0.44,2024,"N14",29.81,28.7020313035413,26.7376188116143,1.10796869645872,FALSE,0
"F0160","A",10837,24,0.933,0.827,2026,"N14",29.29,27.5397490020612,25.5740154225531,1.75025099793882,FALSE,0
"F0161","D",114397,36,0.899,0.359,2026,"N35",30.57,30.2296062021283,28.2657497261199,0.340393797871734,FALSE,0
"F0162","C",41387,24,0.917,0.848,2024,"N09",28.08,29.8538119524132,27.8889210328616,-1.77381195241321,FALSE,734.127552745254
"F0163","D",123944,12,0.901,0.347,2024,"N03",29.47,29.8451865576802,27.8813783936362,-0.375186557680173,FALSE,465.021227051114
"F0164","B",147274,36,0.855,0.225,2025,"N29",31.51,30.2175238840654,28.2526274272858,1.29247611593462,FALSE,0
"F0165","B",266837,24,1,0.204,2026,"N19",30.65,31.0711773826174,29.1067657852089,-0.42117738261744,FALSE,1123.8570924549
"F0166","B",19982,12,0.851,0.623,2025,"N18",29.24,27.5973550723601,25.6315286149776,1.64264492763994,FALSE,0
"F0167","B",233971,24,0.853,0.582,2024,"N22",32.77,31.6934260179508,29.728613464897,1.07657398204919,FALSE,0
"F0168","E",231949,24,0.867,0.402,2025,"N16",31.4,31.1491661275726,29.1849730836117,0.250833872427375,FALSE,0
"F0169","A",29564,36,0.998,0.426,2024,"N14",29.65,28.4572516122529,26.4926457222054,1.19274838774708,FALSE,0
"F0170","E",46198,36,0.955,0.644,2024,"N25",30.15,29.6763364386065,27.7118692370722,0.473663561393508,FALSE,0
"F0171","C",16943,12,0.904,0.346,2025,"N27",26.02,26.7212657174241,24.7566570921134,-0.701265717424075,FALSE,118.815450503161
"F0172","C",416458,36,0.911,0.306,2026,"N35",34.61,32.2350572077982,30.2708458415733,2.37494279220184,FALSE,0
"F0173","A",478656,36,0.995,0.026,2025,"N27",31.99,31.7884101893202,29.8225336107016,0.20158981067981,FALSE,0
"F0174","C",34793,36,0.927,0.535,2025,"N24",29.05,28.9804038798121,27.01638900601,0.069596120187903,FALSE,0
"F0175","E",84375,36,0.894,0.501,2026,"N06",29.99,30.0754569701274,28.1113405966573,-0.0854569701273817,FALSE,72.1043185449783
"F0176","E",154955,36,0.896,0.287,2025,"N33",31.76,30.5000313624163,28.5358979252765,1.25996863758366,FALSE,0
"F0177","C",220811,36,1,0.235,2025,"N31",30.07,31.2359040147026,29.2712663127152,-1.1659040147026,FALSE,2574.44431390497
"F0178","B",87631,12,0.866,0.688,2025,"N22",30.74,30.1771187874264,28.2119430414369,0.562881212573558,FALSE,0
"F0179","E",687873,12,1,0.189,2025,"N14",34.24,32.2782960792781,30.3126937558582,1.96170392072186,FALSE,0
"F0180","D",31064,24,0.936,0.291,2024,"N10",27.48,27.8024749213818,25.839113912411,-0.322474921381843,FALSE,100.173609578056
"F0181","E",266187,36,1,0.432,2026,"N20",31.77,31.9230658329289,29.9584233335339,-0.153065832928888,FALSE,407.44134869842
"F0182","D",106683,24,0.94,0.766,2024,"N21",33.05,31.1225261497089,29.1583983245424,1.92747385029114,FALSE,0
"F0183","E",135077,24,0.917,0.064,2025,"N23",29.09,29.4271620679513,27.4629377345997,-0.337162067951262,FALSE,455.428406526526
"F0184","D",39500,24,0.848,0.38,2024,"N29",29.83,28.2710166922084,26.3064922035844,1.55898330779163,FALSE,0
"F0185","A",12044,12,0.835,0.639,2025,"N12",25.87,26.7776554504195,24.8109675301175,-0.90765545041948,FALSE,109.318022448522
"F0186","C",51215,12,0.917,0.767,2026,"N26",29.8,29.6534381999908,27.688673830637,0.146561800009206,FALSE,0
"F0187","C",167697,36,0.889,0.702,2025,"N12",32.21,31.8979481447966,29.9333037268115,0.312051855203375,FALSE,0
"F0188","D",35139,12,0.898,0.663,2026,"N31",29.18,28.6599937575245,26.6953354711257,0.520006242475532,FALSE,0
"F0189","C",12582,36,0.893,0.422,2025,"N07",27.39,26.9686102928464,25.0036855905891,0.421389707153569,FALSE,0
"F0190","E",77778,36,0.91,0.523,2026,"N26",28.58,30.0371717307613,28.0731703920876,-1.45717173076125,FALSE,1133.35902875149
"F0191","A",92642,24,0.868,0.261,2025,"N18",30.78,29.3117371279353,27.3476783955527,1.4682628720647,FALSE,0
"F0192","B",28726,36,1,0.429,2025,"N12",28.05,28.4468496519286,26.4820968572723,-0.396849651928562,FALSE,113.999031012999
"F0193","E",82797,12,0.95,0.242,2024,"N22",30.38,28.9401053120028,26.9761567848427,1.43989468799722,FALSE,0
"F0194","D",155743,36,1,0.286,2024,"N36",31.17,30.7583300029225,28.7940775148786,0.411669997077539,FALSE,0
"F0195","D",122050,36,0.95,0.492,2026,"N09",30.21,30.8039098432077,28.8401816026726,-0.593909843207669,FALSE,724.86696363496
"F0196","C",284634,12,0.902,0.637,2025,"N29",31.83,32.0562095094228,30.0916982100289,-0.226209509422844,FALSE,643.869175050618
"F0197","A",391557,36,0.987,0.352,2024,"N20",30.52,32.3679034283155,30.4034618207757,-1.84790342831545,FALSE,7235.59522680913
"F0198","C",91351,36,1,0.454,2025,"N06",32.17,30.4375291035185,28.4732322735535,1.73247089648146,FALSE,0
"F0199","A",36249,24,0.934,0.334,2024,"N29",27.69,28.1383588559562,26.1749853274547,-0.448358855956187,FALSE,162.525601695558
"F0200","C",11843,12,0.965,0.195,2025,"N35",24.39,25.8384371043421,23.8732522118303,-1.44843710434211,FALSE,171.538406267236
"F0201","B",314559,36,0.956,0.333,2025,"N21",32.91,31.9283882639928,29.9643721563557,0.981611736007245,FALSE,0
"F0202","B",143514,12,0.941,0.234,2026,"N14",29.91,29.7844335538523,27.8204274047041,0.125566446147715,FALSE,0
"F0203","B",316751,36,0.988,0.428,2025,"N27",32.16,32.2672338742938,30.3028294768838,-0.107233874293755,FALSE,339.664369164211
"F0204","D",35624,12,0.966,0.369,2024,"N35",28.97,28.0324311809752,26.0686150956899,0.937568819024801,FALSE,0
"F0205","C",110253,36,0.998,0.421,2026,"N21",30.95,30.5937352574246,28.6295200972236,0.35626474257537,FALSE,0
"F0206","B",35967,12,0.89,0.655,2024,"N05",27.17,28.702739657962,26.7379015143873,-1.53273965796201,FALSE,551.280472779195
"F0207","E",32416,12,0.904,0.237,2025,"N15",26.86,27.3366285886536,25.3722072446716,-0.47662858865365,FALSE,154.503923297967
"F0208","A",16646,12,0.998,0.26,2025,"N18",24.57,26.5391256913931,24.5740493753888,-1.96912569139305,TRUE,327.780662589288
"F0209","C",72152,24,0.926,0.656,2026,"N05",29.15,30.173164778915,28.209542276591,-1.023164778915,FALSE,738.233851282753
"F0210","D",167350,24,0.962,0.351,2024,"N20",32.17,30.7186749672972,28.7554973693467,1.4513250327028,FALSE,0
"F0211","C",239419,24,0.878,0.358,2025,"N29",30.55,31.2147269972009,29.2508181854835,-0.66472699720093,FALSE,1591.48272942849
"F0212","B",125785,36,0.969,0.569,2024,"N30",30.89,31.1477693982315,29.183679568132,-0.25776939823151,FALSE,324.235237565504
"F0213","C",67538,36,1,0.651,2025,"N30",28.07,30.5075401890467,28.5427602770777,-2.43754018904674,TRUE,1646.26589287839
