reference,fournisseur,couleur,matiere,motif,saison,col,finition,style,usage
REF00091,F090,vert,synthetique,imprime,hiver,v,standard,classique,soiree
REF00092,F091,bleu,laine,uni,hiver,v,standard,classique,sport
REF00093,F092,vert,lin,uni,ete,montant,standard,sportif,ville
REF00094,F093,bleu,coton,uni,mi-saison,montant,premium,chic,ville
REF00095,F094,bleu,lin,imprime,hiver,montant,standard,classique,sport
REF00096,F095,bleu,laine,imprime,mi-saison,rond,premium,sportif,ville
REF00097,F096,rouge,synthetique,uni,hiver,montant,premium,sportif,ville
REF00098,F097,bleu,synthetique,raye,mi-saison,rond,premium,chic,soiree
REF00099,F098,noir,synthetique,uni,mi-saison,rond,premium,chic,soiree
REF00100,F099,bleu,coton,raye,ete,rond,premium,sportif,ville
REF00101,F100,noir,lin,raye,hiver,v,premium,sportif,ville
REF00102,F101,vert,lin,raye,ete,rond,standard,sportif,ville
REF00103,F102,vert,coton,raye,mi-saison,v,standard,chic,soiree
REF00104,F103,vert,coton,raye,ete,v,premium,sportif,ville
REF00105,F104,vert,synthetique,imprime,hiver,rond,premium,sportif,ville
REF00106,F105,vert,lin,imprime,mi-saison,rond,premium,classique,soiree
REF00107,F106,vert,coton,imprime,hiver,montant,premium,chic,sport
REF00108,F107,bleu,coton,uni,ete,v,premium,chic,ville
REF00109,F108,bleu,synthetique,uni,ete,montant,standard,sportif,soiree
REF00110,F109,rouge,laine,raye,ete,montant,premium,chic,soiree
REF00111,F110,bleu,synthetique,raye,ete,v,standard,classique,sport
REF00112,F111,bleu,coton,uni,ete,montant,standard,classique,ville
REF00113,F112,vert,lin,uni,hiver,v,standard,classique,sport
REF00114,F113,rouge,synthetique,imprime,mi-saison,montant,standard,sportif,soiree
REF00115,F114,vert,laine,imprime,ete,rond,premium,sportif,soiree
REF00116,F115,vert,laine,raye,hiver,montant,standard,classique,sport
REF00117,F116,bleu,coton,imprime,mi-saison,v,premium,sportif,ville
REF00118,F117,noir,coton,imprime,mi-saison,v,standard,chic,soiree
REF00119,F118,noir,coton,uni,mi-saison,v,standard,classique,soiree
REF00120,F119,noir,laine,raye,mi-saison,montant,premium,classique,soiree
REF00121,F120,bleu,lin,raye,mi-saison,montant,standard,classique,sport
REF00122,F121,vert,synthetique,uni,ete,v,standard,classique,soiree
REF00123,F122,noir,lin,raye,hiver,v,standard,classique,sport
REF00124,F123,vert,coton,uni,ete,montant,standard,chic,soiree
REF00125,F124,bleu,coton,uni,hiver,rond,premium,sportif,sport
REF00126,F125,vert,laine,imprime,hiver,v,premium,chic,sport
REF00127,F126,rouge,lin,uni,mi-saison,rond,standard,chic,ville
REF00128,F127,vert,lin,raye,mi-saison,v,standard,chic,ville
REF00129,F128,noir,coton,imprime,mi-saison,montant,standard,classique,sport
REF00130,F129,noir,coton,imprime,hiver,v,standard,sportif,sport
REF00131,F130,rouge,synthetique,imprime,mi-saison,v,premium,chic,soiree
REF00132,F131,vert,lin,imprime,hiver,v,premium,chic,soiree
REF00133,F132,noir,lin,uni,hiver,rond,standard,chic,sport
REF00134,F133,vert,laine,uni,mi-saison,montant,premium,chic,sport
REF00135,F134,vert,synthetique,imprime,mi-saison,v,standard,chic,soiree
REF00136,F135,vert,lin,raye,mi-saison,rond,standard,chic,soiree
REF00137,F136,rouge,lin,imprime,ete,v,standard,sportif,ville
REF00138,F137,rouge,lin,uni,hiver,rond,standard,chic,ville
REF00139,F138,vert,coton,imprime,ete,rond,standard,sportif,soiree
REF00140,F139,bleu,lin,raye,mi-saison,v,premium,sportif,soiree
REF00141,F000,bleu,laine,uni,ete,rond,premium,classique,ville
REF00142,F001,rouge,lin,uni,hiver,v,standard,sportif,sport
REF00143,F002,bleu,lin,raye,ete,rond,premium,sportif,soiree
REF00144,F003,noir,coton,uni,hiver,montant,premium,classique,soiree
REF00145,F004,noir,lin,raye,hiver,montant,premium,sportif,sport
REF00146,F005,vert,coton,imprime,ete,rond,premium,sportif,sport
REF00147,F006,noir,coton,imprime,mi-saison,rond,premium,classique,sport
REF00148,F007,noir,coton,uni,mi-saison,v,premium,chic,sport
REF00149,F008,noir,coton,imprime,ete,v,standard,classique,ville
REF00150,F009,noir,laine,imprime,hiver,rond,standard,chic,sport
REF00151,F010,bleu,coton,uni,hiver,rond,standard,classique,ville
REF00152,F011,vert,coton,uni,ete,rond,standard,chic,soiree
REF00153,F012,noir,synthetique,raye,ete,montant,standard,sportif,ville
REF00154,F013,noir,lin,imprime,ete,rond,standard,chic,ville
REF00155,F014,noir,coton,uni,hiver,v,standard,chic,ville
REF00156,F015,vert,coton,uni,ete,montant,premium,classique,sport
REF00157,F016,bleu,coton,raye,mi-saison,montant,premium,chic,soiree
REF00158,F017,noir,coton,uni,ete,montant,standard,sportif,soiree
REF00159,F018,bleu,lin,uni,mi-saison,montant,premium,classique,soiree
REF00160,F019,noir,synthetique,raye,ete,montant,standard,chic,ville
REF00161,F020,bleu,synthetique,imprime,mi-saison,montant,premium,classique,sport
REF00162,F021,rouge,laine,uni,mi-saison,rond,premium,chic,sport
REF00163,F022,rouge,coton,imprime,hiver,v,standard,sportif,soiree
REF00164,F023,bleu,lin,uni,ete,montant,premium,chic,ville
REF00165,F024,vert,laine,raye,ete,v,standard,chic,ville
REF00166,F025,bleu,synthetique,imprime,hiver,v,standard,sportif,sport
REF00167,F026,bleu,synthetique,imprime,mi-saison,v,standard,classique,ville
REF00168,F027,noir,synthetique,raye,hiver,montant,standard,classique,sport
REF00169,F028,noir,synthetique,raye,ete,rond,standard,classique,sport
REF00170,F029,noir,lin,raye,hiver,v,standard,classique,ville
REF00171,F030,noir,synthetique,raye,ete,rond,premium,chic,soiree
REF00172,F031,noir,synthetique,uni,ete,v,premium,classique,soiree
REF00173,F032,bleu,laine,uni,ete,v,standard,classique,soiree
REF00174,F033,bleu,lin,imprime,ete,montant,standard,chic,sport
REF00175,F034,rouge,laine,raye,ete,v,standard,classique,sport
REF00176,F035,vert,laine,raye,ete,rond,standard,chic,soiree
REF00177,F036,bleu,synthetique,imprime,ete,rond,standard,sportif,sport
REF00178,F037,vert,synthetique,uni,hiver,montant,premium,sportif,sport
REF00179,F038,rouge,coton,imprime,ete,rond,premium,sportif,soiree
REF00180,F039,noir,lin,imprime,mi-saison,montant,premium,sportif,sport
REF00181,F040,bleu,synthetique,imprime,mi-saison,v,standard,sportif,sport
REF00182,F041,bleu,laine,imprime,mi-saison,montant,premium,classique,ville
REF00183,F042,vert,laine,raye,hiver,rond,premium,classique,ville
REF00184,F043,rouge,laine,raye,ete,rond,premium,classique,ville
REF00185,F044,bleu,lin,imprime,mi-saison,v,standard,sportif,sport
REF00186,F045,vert,synthetique,imprime,mi-saison,montant,premium,sportif,ville
REF00187,F046,bleu,synthetique,raye,mi-saison,rond,standard,classique,sport
REF00188,F047,noir,laine,raye,ete,rond,standard,classique,sport
REF00189,F048,bleu,coton,uni,hiver,rond,standard,chic,ville
REF00190,F049,vert,coton,uni,mi-saison,rond,premium,chic,soiree
REF00191,F050,rouge,lin,uni,hiver,montant,premium,sportif,soiree
REF00192,F051,noir,coton,imprime,ete,rond,premium,classique,soiree
REF00193,F052,bleu,synthetique,uni,mi-saison,v,standard,classique,sport
REF00194,F053,vert,coton,raye,ete,v,premium,sportif,sport
REF00195,F054,rouge,laine,uni,hiver,v,standard,chic,sport
REF00196,F055,vert,coton,raye,ete,rond,premium,sportif,sport
REF00197,F056,vert,lin,raye,mi-saison,montant,standard,chic,sport
REF00198,F057,noir,lin,imprime,ete,rond,premium,chic,soiree
REF00199,F058,rouge,synthetique,uni,mi-saison,montant,standard,classique,ville
REF00200,F059,noir,coton,uni,mi-saison,v,premium,sportif,sport
REF00201,F060,noir,synthetique,uni,mi-saison,rond,standard,sportif,ville
REF00202,F061,bleu,lin,uni,mi-saison,v,standard,classique,soiree
REF00203,F062,rouge,coton,imprime,ete,rond,standard,classique,sport
REF00204,F063,noir,synthetique,raye,mi-saison,montant,standard,sportif,ville
REF00205,F064,bleu,laine,raye,mi-saison,rond,standard,chic,sport
REF00206,F065,bleu,synthetique,imprime,mi-saison,montant,standard,classique,soiree
REF00207,F066,rouge,lin,uni,hiver,v,standard,chic,sport
REF00208,F067,noir,lin,raye,mi-saison,v,standard,chic,soiree
REF00209,F068,vert,laine,imprime,mi-saison,v,premium,chic,ville
REF00210,F069,bleu,coton,raye,ete,v,standard,classique,sport
REF00211,F070,noir,synthetique,raye,mi-saison,rond,premium,sportif,sport
REF00212,F071,noir,lin,imprime,ete,montant,standard,classique,sport
REF00213,F072,noir,coton,raye,mi-saison,montant,premium,chic,ville
REF00214,F073,vert,lin,raye,ete,montant,standard,classique,sport
REF00215,F074,bleu,coton,uni,hiver,rond,standard,classique,sport
REF00216,F075,noir,laine,uni,mi-saison,v,premium,chic,ville
REF00217,F076,vert,coton,imprime,mi-saison,v,standard,chic,sport
REF00218,F077,bleu,laine,uni,hiver,montant,standard,chic,sport
REF00219,F078,vert,laine,uni,mi-saison,v,standard,sportif,soiree
REF00220,F079,bleu,synthetique,raye,ete,montant,standard,chic,ville
REF00221,F080,vert,lin,imprime,ete,rond,standard,sportif,soiree
REF00222,F081,vert,coton,imprime,ete,montant,standard,sportif,sport
REF00223,F082,bleu,coton,raye,hiver,rond,premium,sportif,soiree
REF00224,F083,rouge,coton,raye,mi-saison,v,premium,sportif,sport
REF00225,F084,rouge,coton,raye,ete,rond,premium,sportif,soiree
REF00226,F085,vert,coton,uni,hiver,rond,standard,sportif,sport
REF00227,F086,noir,synthetique,imprime,mi-saison,v,premium,classique,soiree
REF00228,F087,bleu,synthetique,uni,mi-saison,rond,premium,classique,sport
REF00229,F088,vert,synthetique,raye,mi-saison,montant,premium,sportif,soiree
REF00230,F089,rouge,lin,raye,hiver,rond,premium,chic,ville
REF00231,F090,noir,lin,uni,hiver,v,premium,sportif,sport
REF00232,F091,bleu,lin,uni,ete,rond,standard,chic,sport
REF00233,F092,bleu,synthetique,uni,mi-saison,montant,standard,chic,sport
REF00234,F093,bleu,coton,raye,ete,montant,standard,classique,ville
REF00235,F094,vert,synthetique,imprime,mi-saison,v,premium,classique,soiree
REF00236,F095,noir,lin,raye,ete,rond,standard,sportif,sport
REF00237,F096,bleu,coton,imprime,ete,rond,standard,chic,ville
REF00238,F097,vert,coton,imprime,mi-saison,v,premium,sportif,ville
REF00239,F098,bleu,synthetique,raye,ete,v,premium,classique,ville
REF00240,F099,bleu,coton,raye,hiver,v,standard,classique,soiree
REF00241,F100,noir,synthetique,uni,mi-saison,rond,premium,classique,soiree
REF00242,F101,vert,lin,raye,mi-saison,montant,premium,sportif,ville
REF00243,F102,rouge,laine,imprime,ete,v,standard,classique,ville
REF00244,F103,noir,coton,uni,ete,rond,premium,sportif,ville
REF00245,F104,noir,coton,uni,ete,v,standard,classique,soiree
REF00246,F105,bleu,lin,uni,hiver,v,standard,chic,sport
REF00247,F106,bleu,laine,imprime,hiver,v,premium,classique,ville
REF00248,F107,bleu,coton,uni,ete,rond,standard,classique,ville
REF00249,F108,rouge,laine,raye,mi-saison,v,standard,chic,sport
REF00250,F109,vert,laine,imprime,mi-saison,rond,standard,sportif,ville
REF00251,F110,bleu,synthetique,raye,hiver,montant,premium,sportif,sport
REF00252,F111,noir,coton,raye,mi-saison,rond,premium,chic,sport
REF00253,F112,noir,synthetique,raye,mi-saison,v,premium,chic,soiree
REF00254,F113,noir,lin,raye,hiver,v,standard,chic,soiree
REF00255,F114,vert,coton,uni,hiver,rond,premium,sportif,soiree
REF00256,F115,vert,synthetique,raye,mi-saison,rond,premium,classique,soiree
REF00257,F116,rouge,laine,imprime,ete,montant,premium,chic,ville
REF00258,F117,vert,laine,uni,hiver,v,premium,sportif,ville
REF00259,F118,rouge,lin,imprime,hiver,rond,standard,sportif,ville
REF00260,F119,bleu,coton,raye,ete,v,premium,sportif,soiree
REF00261,F120,rouge,synthetique,uni,mi-saison,v,standard,sportif,sport
REF00262,F121,noir,lin,imprime,ete,v,premium,classique,soiree
REF00263,F122,rouge,lin,imprime,ete,montant,standard,chic,sport
REF00264,F123,noir,laine,uni,hiver,rond,premium,chic,soiree
REF00265,F124,vert,laine,uni,mi-saison,v,standard,chic,ville
REF00266,F125,rouge,coton,uni,mi-saison,montant,standard,classique,soiree
REF00267,F126,vert,lin,uni,mi-saison,v,premium,classique,sport
REF00268,F127,rouge,coton,imprime,ete,rond,premium,chic,ville
REF00269,F128,vert,coton,imprime,hiver,v,premium,sportif,ville
REF00270,F129,vert,synthetique,uni,hiver,v,premium,chic,ville
REF00271,F130,noir,laine,imprime,mi-saison,montant,premium,classique,soiree
REF00272,F131,noir,synthetique,imprime,hiver,montant,standard,chic,soiree
REF00273,F132,vert,synthetique,raye,mi-saison,montant,premium,classique,sport
REF00274,F133,bleu,synthetique,imprime,ete,montant,standard,sportif,ville
REF00275,F134,noir,lin,raye,ete,rond,standard,sportif,sport
REF00276,F135,vert,lin,raye,ete,v,standard,classique,sport
REF00277,F136,rouge,coton,imprime,hiver,v,standard,classique,ville
REF00278,F137,rouge,coton,imprime,mi-saison,rond,standard,sportif,ville
REF00279,F138,bleu,synthetique,imprime,ete,v,premium,classique,soiree
REF00280,F139,vert,lin,imprime,mi-saison,montant,premium,chic,soiree
REF00281,F000,bleu,coton,raye,ete,rond,standard,chic,sport
REF00282,F001,vert,coton,imprime,hiver,v,premium,classique,ville
REF00283,F002,vert,coton,raye,hiver,montant,standard,classique,sport
REF00284,F003,rouge,laine,raye,ete,rond,premium,chic,ville
REF00285,F004,vert,lin,uni,ete,montant,premium,chic,ville
REF00286,F005,bleu,laine,raye,ete,montant,premium,classique,soiree
REF00287,F006,rouge,coton,raye,mi-saison,montant,standard,classique,sport
REF00288,F007,bleu,synthetique,uni,mi-saison,montant,premium,sportif,sport
REF00289,F008,vert,laine,uni,hiver,montant,premium,chic,sport
REF00290,F009,vert,laine,raye,ete,montant,standard,classique,ville
REF00291,F010,rouge,laine,imprime,ete,rond,premium,classique,ville
REF00292,F011,rouge,lin,uni,mi-saison,v,standard,sportif,soiree
REF00293,F012,rouge,coton,raye,mi-saison,v,premium,chic,ville
REF00294,F013,bleu,synthetique,imprime,ete,v,standard,classique,soiree
REF00295,F014,noir,synthetique,uni,mi-saison,v,standard,sportif,soiree
REF00296,F015,noir,lin,uni,mi-saison,rond,premium,classique,soiree
REF00297,F016,noir,coton,raye,mi-saison,v,standard,classique,sport
REF00298,F017,bleu,synthetique,imprime,hiver,v,standard,chic,sport
REF00299,F018,rouge,synthetique,uni,hiver,montant,standard,sportif,ville
REF00300,F019,noir,synthetique,uni,ete,montant,standard,sportif,ville
REF00301,F020,bleu,laine,uni,ete,v,standard,classique,sport
REF00302,F021,vert,synthetique,uni,hiver,v,premium,chic,soiree
REF00303,F022,vert,coton,raye,mi-saison,v,premium,chic,sport
REF00304,F023,bleu,lin,uni,mi-saison,v,standard,classique,soiree
REF00305,F024,rouge,laine,uni,ete,rond,standard,classique,soiree
REF00306,F025,rouge,laine,raye,ete,rond,standard,classique,sport
REF00307,F026,bleu,synthetique,uni,ete,montant,standard,sportif,soiree
REF00308,F027,vert,laine,imprime,hiver,v,premium,chic,ville
REF00309,F028,rouge,synthetique,imprime,mi-saison,rond,premium,chic,sport
REF00310,F029,bleu,laine,raye,mi-saison,montant,standard,sportif,soiree
REF00311,F030,rouge,synthetique,raye,hiver,rond,premium,sportif,sport
REF00312,F031,rouge,synthetique,uni,ete,montant,standard,chic,sport
REF00313,F032,bleu,coton,uni,ete,v,standard,sportif,soiree
REF00314,F033,vert,synthetique,raye,ete,rond,premium,classique,soiree
REF00315,F034,vert,coton,uni,mi-saison,rond,premium,classique,sport
REF00316,F035,noir,synthetique,imprime,hiver,v,standard,sportif,ville
REF00317,F036,bleu,coton,imprime,hiver,rond,premium,chic,soiree
REF00318,F037,rouge,laine,imprime,ete,rond,standard,sportif,sport
REF00319,F038,bleu,laine,uni,ete,v,standard,sportif,ville
REF00320,F039,bleu,laine,raye,mi-saison,montant,standard,chic,soiree
REF00321,F040,bleu,coton,imprime,mi-saison,rond,standard,sportif,ville
REF00322,F041,noir,coton,raye,hiver,montant,premium,sportif,sport
REF00323,F042,bleu,coton,imprime,mi-saison,v,premium,chic,ville
REF00324,F043,vert,lin,imprime,mi-saison,montant,standard,classique,ville
REF00325,F044,bleu,lin,raye,ete,v,standard,sportif,ville
REF00326,F045,vert,synthetique,imprime,hiver,v,standard,classique,sport
REF00327,F046,noir,coton,raye,ete,v,premium,sportif,sport
REF00328,F047,vert,lin,uni,ete,montant,premium,classique,sport
REF00329,F048,vert,coton,imprime,mi-saison,v,standard,sportif,soiree
REF00330,F049,vert,coton,raye,hiver,rond,premium,chic,ville
REF00331,F050,bleu,synthetique,imprime,mi-saison,v,standard,sportif,sport
REF00332,F051,vert,coton,raye,mi-saison,rond,premium,classique,sport
REF00333,F052,noir,synthetique,raye,hiver,v,standard,classique,soiree
REF00334,F053,vert,laine,uni,mi-saison,rond,standard,chic,soiree
REF00335,F054,vert,coton,imprime,ete,montant,standard,chic,soiree
REF00336,F055,noir,laine,imprime,ete,rond,standard,classique,sport
REF00337,F056,bleu,lin,imprime,ete,rond,standard,sportif,ville
REF00338,F057,rouge,lin,uni,hiver,v,premium,chic,sport
REF00339,F058,vert,lin,imprime,hiver,rond,standard,sportif,soiree
REF00340,F059,vert,coton,raye,hiver,rond,premium,classique,soiree
REF00341,F060,rouge,lin,raye,hiver,rond,premium,classique,sport
REF00342,F061,rouge,lin,raye,hiver,montant,standard,chic,soiree
REF00343,F062,noir,lin,imprime,mi-saison,montant,premium,chic,soiree
REF00344,F063,bleu,coton,raye,hiver,v,standard,chic,soiree
REF00345,F064,bleu,lin,raye,hiver,v,standard,classique,soiree
REF00346,F065,vert,coton,raye,hiver,v,standard,sportif,sport
REF00347,F066,vert,synthetique,imprime,hiver,montant,standard,sportif,ville
REF00348,F067,rouge,synthetique,raye,mi-saison,v,premium,chic,sport
REF00349,F068,rouge,synthetique,raye,ete,montant,standard,classique,sport
REF00350,F069,rouge,coton,imprime,ete,rond,premium,sportif,ville
REF00351,F070,bleu,lin,raye,ete,v,standard,classique,ville
REF00352,F071,noir,laine,raye,ete,montant,standard,classique,ville
REF00353,F072,bleu,synthetique,uni,mi-saison,rond,standard,chic,soiree
REF00354,F073,vert,coton,imprime,mi-saison,v,premium,classique,soiree
REF00355,F074,noir,laine,imprime,ete,montant,standard,chic,sport
REF00356,F075,rouge,coton,uni,ete,montant,premium,sportif,soiree
REF00357,F076,noir,coton,raye,ete,montant,premium,classique,sport
REF00358,F077,rouge,synthetique,imprime,ete,rond,standard,chic,ville
REF00359,F078,noir,synthetique,imprime,hiver,v,premium,sportif,sport
REF00360,F079,vert,coton,uni,hiver,montant,standard,classique,ville
REF00361,F080,vert,lin,raye,ete,montant,premium,classique,sport
REF00362,F081,bleu,synthetique,raye,ete,montant,standard,classique,ville
REF00363,F082,rouge,synthetique,imprime,ete,montant,standard,classique,ville
REF00364,F083,bleu,synthetique,raye,hiver,montant,standard,chic,sport
REF00365,F084,noir,lin,raye,hiver,montant,premium,chic,soiree
REF00366,F085,vert,laine,uni,ete,v,premium,chic,ville
REF00367,F086,bleu,laine,uni,hiver,v,standard,sportif,soiree
REF00368,F087,rouge,lin,uni,mi-saison,rond,premium,sportif,ville
REF00369,F088,noir,lin,imprime,mi-saison,montant,standard,chic,ville
REF00370,F089,rouge,synthetique,imprime,hiver,v,premium,classique,sport
REF00371,F090,vert,synthetique,uni,ete,montant,premium,sportif,ville
REF00372,F091,bleu,laine,uni,hiver,rond,standard,sportif,soiree
REF00373,F092,bleu,synthetique,imprime,hiver,rond,standard,sportif,sport
REF00374,F093,vert,synthetique,raye,hiver,montant,standard,classique,sport
REF00375,F094,rouge,laine,raye,hiver,v,standard,chic,sport
REF00376,F095,vert,laine,uni,ete,montant,premium,sportif,soiree
REF00377,F096,vert,coton,raye,ete,v,premium,chic,sport
REF00378,F097,vert,coton,uni,ete,v,premium,chic,ville
REF00379,F098,vert,laine,imprime,ete,v,premium,chic,soiree
REF00380,F099,bleu,synthetique,raye,mi-saison,v,premium,classique,ville
REF00381,F100,vert,laine,imprime,hiver,rond,standard,classique,soiree
REF00382,F101,noir,laine,uni,mi-saison,montant,standard,sportif,ville
REF00383,F102,vert,laine,imprime,hiver,rond,standard,sportif,sport
REF00384,F103,rouge,coton,uni,mi-saison,rond,standard,classique,soiree
REF00385,F104,vert,synthetique,imprime,mi-saison,v,premium,chic,sport
REF00386,F105,bleu,lin,imprime,ete,v,premium,chic,soiree
REF00387,F106,bleu,coton,raye,mi-saison,rond,standard,classique,soiree
REF00388,F107,bleu,synthetique,raye,ete,rond,standard,sportif,sport
REF00389,F108,vert,laine,uni,hiver,rond,premium,chic,ville
REF00390,F109,rouge,synthetique,raye,ete,rond,standard,sportif,ville
REF00391,F110,noir,synthetique,imprime,hiver,rond,standard,sportif,ville
REF00392,F111,rouge,synthetique,imprime,mi-saison,v,premium,sportif,ville
REF00393,F112,bleu,coton,raye,hiver,v,standard,chic,soiree
REF00394,F113,bleu,synthetique,uni,mi-saison,rond,standard,chic,soiree
REF00395,F114,noir,synthetique,raye,mi-saison,v,standard,sportif,soiree
REF00396,F115,bleu,synthetique,uni,hiver,rond,premium,chic,sport
REF00397,F116,bleu,lin,raye,ete,v,premium,classique,soiree
REF00398,F117,vert,lin,uni,mi-saison,montant,standard,classique,sport
REF00399,F118,rouge,synthetique,imprime,ete,v,standard,classique,soiree
